Date,HIL
2013-01-01,492.8
2013-01-02,489.55
2013-01-03,497.7
2013-01-04,503.55
2013-01-07,527.9
2013-01-08,528.8
2013-01-09,522.55
2013-01-10,515.6
2013-01-11,509.65
2013-01-14,517.6
2013-01-15,520.95
2013-01-16,514.65
2013-01-17,505.6
2013-01-18,507.85
2013-01-21,510.85
2013-01-22,506.2
2013-01-23,489.95
2013-01-24,449.8
2013-01-25,465.2
2013-01-28,456.5
2013-01-29,456.95
2013-01-30,454.2
2013-01-31,452.45
2013-02-01,449.6
2013-02-04,452.3
2013-02-05,444.45
2013-02-06,442.0
2013-02-07,432.9
2013-02-08,421.0
2013-02-11,420.5
2013-02-12,416.2
2013-02-13,419.8
2013-02-14,406.65
2013-02-15,405.25
2013-02-18,413.15
2013-02-19,409.35
2013-02-20,412.1
2013-02-21,405.3
2013-02-22,404.65
2013-02-25,391.1
2013-02-26,381.6
2013-02-27,390.35
2013-02-28,387.85
2013-03-01,389.95
2013-03-04,382.05
2013-03-05,378.25
2013-03-06,384.75
2013-03-07,387.4
2013-03-08,384.15
2013-03-11,389.8
2013-03-12,376.85
2013-03-13,376.4
2013-03-14,376.6
2013-03-15,372.3
2013-03-18,377.0
2013-03-19,370.25
2013-03-20,363.9
2013-03-21,363.5
2013-03-22,362.85
2013-03-25,350.65
2013-03-26,358.15
2013-03-28,370.7
2013-04-01,377.7
2013-04-02,381.85
2013-04-03,395.15
2013-04-04,384.9
2013-04-05,378.75
2013-04-08,377.15
2013-04-09,377.6
2013-04-10,372.45
2013-04-11,373.3
2013-04-12,378.1
2013-04-15,377.95
2013-04-16,382.65
2013-04-17,379.15
2013-04-18,381.95
2013-04-22,377.5
2013-04-23,386.95
2013-04-25,402.75
2013-04-26,395.4
2013-04-29,396.55
2013-04-30,396.95
2013-05-02,398.7
2013-05-03,378.65
2013-05-06,390.6
2013-05-07,391.2
2013-05-08,390.55
2013-05-09,391.95
2013-05-10,392.75
2013-05-11,391.95
2013-05-13,381.15
2013-05-14,379.4
2013-05-15,376.35
2013-05-16,377.4
2013-05-17,379.55
2013-05-20,379.55
2013-05-21,381.25
2013-05-22,378.95
2013-05-23,377.25
2013-05-24,379.6
2013-05-27,377.8
2013-05-28,381.85
2013-05-29,380.75
2013-05-30,376.1
2013-05-31,365.0
2013-06-03,363.5
2013-06-04,366.1
2013-06-05,364.5
2013-06-06,365.55
2013-06-07,369.1
2013-06-10,361.9
2013-06-11,352.7
2013-06-12,350.25
2013-06-13,346.8
2013-06-14,352.2
2013-06-17,351.75
2013-06-18,353.05
2013-06-19,357.85
2013-06-20,349.05
2013-06-21,352.75
2013-06-24,347.65
2013-06-25,346.8
2013-06-26,346.35
2013-06-27,352.95
2013-06-28,354.3
2013-07-01,360.9
2013-07-02,358.4
2013-07-03,355.95
2013-07-04,352.4
2013-07-05,353.2
2013-07-08,351.35
2013-07-09,349.95
2013-07-10,351.0
2013-07-11,354.85
2013-07-12,356.5
2013-07-15,362.35
2013-07-16,358.9
2013-07-17,358.4
2013-07-18,360.4
2013-07-19,361.5
2013-07-22,346.8
2013-07-23,343.55
2013-07-24,336.45
2013-07-25,331.95
2013-07-26,330.25
2013-07-29,316.55
2013-07-30,295.9
2013-07-31,299.05
2013-08-01,300.3
2013-08-02,298.05
2013-08-05,297.95
2013-08-06,290.3
2013-08-07,288.6
2013-08-08,289.7
2013-08-12,291.7
2013-08-13,291.5
2013-08-14,289.35
