Date,DOLPHINOFF
2013-01-01,105.75
2013-01-02,107.8
2013-01-03,110.8
2013-01-04,122.9
2013-01-07,123.3
2013-01-08,122.6
2013-01-09,122.3
2013-01-10,117.65
2013-01-11,114.8
2013-01-14,116.8
2013-01-15,120.6
2013-01-16,119.7
2013-01-17,120.25
2013-01-18,117.8
2013-01-21,123.4
2013-01-22,117.05
2013-01-23,121.55
2013-01-24,114.65
2013-01-25,114.35
2013-01-28,113.3
2013-01-29,112.95
2013-01-30,111.95
2013-01-31,114.65
2013-02-01,111.8
2013-02-04,115.5
2013-02-05,114.25
2013-02-06,113.55
2013-02-07,117.0
2013-02-08,117.75
2013-02-11,120.9
2013-02-12,115.65
2013-02-13,115.15
2013-02-14,112.15
2013-02-15,112.9
2013-02-18,112.5
2013-02-19,113.95
2013-02-20,114.0
2013-02-21,110.6
2013-02-22,112.95
2013-02-25,112.35
2013-02-26,112.0
2013-02-27,109.7
2013-02-28,109.95
2013-03-01,105.4
2013-03-04,102.15
2013-03-05,100.75
2013-03-06,103.7
2013-03-07,103.85
2013-03-08,104.05
2013-03-11,104.35
2013-03-12,107.65
2013-03-13,101.85
2013-03-14,98.6
2013-03-15,98.3
2013-03-18,98.55
2013-03-19,94.8
2013-03-20,88.3
2013-03-21,86.8
2013-03-22,89.15
2013-03-25,88.3
2013-03-26,89.8
2013-03-28,90.3
2013-04-01,94.85
2013-04-02,99.7
2013-04-03,99.0
2013-04-04,100.95
2013-04-05,98.3
2013-04-08,98.1
2013-04-09,98.7
2013-04-10,99.1
2013-04-11,98.5
2013-04-12,97.55
2013-04-15,98.1
2013-04-16,97.6
2013-04-17,99.35
2013-04-18,100.0
2013-04-22,98.2
2013-04-23,99.05
2013-04-25,99.1
2013-04-26,101.1
2013-04-29,104.5
2013-04-30,103.1
2013-05-02,103.0
2013-05-03,98.8
2013-05-06,97.45
2013-05-07,95.75
2013-05-08,94.45
2013-05-09,94.2
2013-05-10,93.25
2013-05-11,92.3
2013-05-13,91.5
2013-05-14,91.25
2013-05-15,95.0
2013-05-16,94.4
2013-05-17,92.95
2013-05-20,97.05
2013-05-21,97.35
2013-05-22,96.1
2013-05-23,94.05
2013-05-24,93.55
2013-05-27,95.2
2013-05-28,97.2
2013-05-29,98.55
2013-05-30,97.55
2013-05-31,96.6
2013-06-03,97.9
2013-06-04,95.25
2013-06-05,97.95
2013-06-06,109.65
2013-06-07,110.05
2013-06-10,115.15
2013-06-11,111.05
2013-06-12,104.0
2013-06-13,104.0
2013-06-14,102.9
2013-06-17,107.2
2013-06-18,106.65
2013-06-19,107.9
2013-06-20,98.85
2013-06-21,99.1
2013-06-24,100.1
2013-06-25,100.1
2013-06-26,96.05
2013-06-27,94.1
2013-06-28,94.35
2013-07-01,95.05
2013-07-02,95.15
2013-07-03,94.25
2013-07-04,94.3
2013-07-05,94.35
2013-07-08,93.0
