Date,MEP
2015-05-06,58.4
2015-05-07,51.5
2015-05-08,53.4
2015-05-11,57.8
2015-05-12,58.1
2015-05-13,58.7
2015-05-14,58.45
2015-05-15,59.15
2015-05-18,59.7
2015-05-19,61.3
2015-05-20,59.1
2015-05-21,58.05
2015-05-22,57.35
2015-05-25,59.5
2015-05-26,62.15
2015-05-27,62.7
2015-05-28,59.55
2015-05-29,58.75
2015-06-01,58.25
2015-06-02,55.6
2015-06-03,55.7
2015-06-04,53.1
2015-06-05,53.55
2015-06-08,54.05
2015-06-09,50.5
2015-06-10,54.55
2015-06-11,53.05
2015-06-12,51.6
2015-06-15,53.45
2015-06-16,53.85
2015-06-17,54.05
2015-06-18,52.45
2015-06-19,48.05
2015-06-22,56.4
2015-06-23,53.35
2015-06-24,52.65
2015-06-25,53.6
2015-06-26,58.9
2015-06-29,62.3
2015-06-30,61.4
2015-07-01,63.15
2015-07-02,61.0
2015-07-03,61.5
2015-07-06,61.05
2015-07-07,62.2
2015-07-08,60.75
2015-07-09,59.4
2015-07-10,59.75
2015-07-13,59.8
2015-07-14,59.15
2015-07-15,58.55
2015-07-16,61.85
2015-07-17,64.75
2015-07-20,62.8
2015-07-21,59.8
2015-07-22,59.7
2015-07-23,58.5
2015-07-24,57.35
2015-07-27,57.4
2015-07-28,56.65
2015-07-29,56.95
2015-07-30,56.95
2015-07-31,56.75
2015-08-03,57.6
2015-08-04,56.7
2015-08-05,54.95
2015-08-06,55.4
2015-08-07,54.55
2015-08-10,55.25
2015-08-11,53.9
2015-08-12,53.9
2015-08-13,52.75
2015-08-14,59.95
2015-08-17,56.05
2015-08-18,55.8
2015-08-19,56.6
2015-08-20,54.2
2015-08-21,52.05
2015-08-24,43.5
2015-08-25,47.55
2015-08-26,42.65
2015-08-27,51.0
2015-08-28,51.0
2015-08-31,52.3
2015-09-01,47.95
2015-09-02,49.55
2015-09-03,51.2
2015-09-04,51.0
2015-09-07,49.85
2015-09-08,48.65
2015-09-09,48.4
2015-09-10,47.5
2015-09-11,48.6
2015-09-14,47.0
2015-09-15,47.45
2015-09-16,47.7
2015-09-18,50.15
2015-09-21,52.7
2015-09-22,50.55
2015-09-23,51.25
2015-09-24,50.25
2015-09-28,49.0
2015-09-29,49.2
2015-09-30,53.15
2015-10-01,51.75
2015-10-05,51.5
2015-10-06,53.5
2015-10-07,53.3
2015-10-08,51.15
2015-10-09,51.05
2015-10-12,51.1
2015-10-13,51.25
2015-10-14,56.1
2015-10-15,54.9
2015-10-16,57.3
2015-10-19,56.55
2015-10-20,56.05
2015-10-21,57.1
2015-10-23,56.0
2015-10-26,58.3
2015-10-27,57.5
2015-10-28,55.75
2015-10-29,54.8
2015-10-30,52.9
2015-11-02,54.5
2015-11-03,54.85
2015-11-04,54.2
2015-11-05,52.35
2015-11-06,52.25
2015-11-09,52.1
2015-11-10,50.8
2015-11-11,51.1
2015-11-13,50.8
2015-11-16,51.25
2015-11-17,51.65
2015-11-18,51.0
2015-11-19,50.8
2015-11-20,51.2
2015-11-23,50.35
2015-11-24,49.65
2015-11-26,50.1
2015-11-27,49.85
2015-11-30,48.85
2015-12-01,48.65
2015-12-02,51.8
2015-12-03,49.9
2015-12-04,49.8
2015-12-07,49.75
2015-12-08,49.45
2015-12-09,47.45
2015-12-10,47.75
2015-12-11,47.75
2015-12-14,46.6
2015-12-15,46.05
2015-12-16,46.65
2015-12-17,47.1
2015-12-18,46.7
2015-12-21,47.4
2015-12-22,47.45
2015-12-23,47.55
2015-12-24,46.7
2015-12-28,47.6
2015-12-29,47.2
2015-12-30,46.6
2015-12-31,45.45
2016-01-01,45.75
2016-01-04,45.45
2016-01-05,46.15
2016-01-06,47.45
2016-01-07,44.1
2016-01-08,44.7
2016-01-11,45.75
2016-01-12,44.15
2016-01-13,43.6
2016-01-14,42.7
2016-01-15,41.4
2016-01-18,42.5
2016-01-19,41.85
2016-01-20,41.25
2016-01-21,43.7
2016-01-22,43.35
2016-01-25,42.85
2016-01-27,43.1
2016-01-28,43.95
2016-01-29,43.25
2016-02-01,44.6
2016-02-02,43.6
2016-02-03,42.2
2016-02-04,41.6
2016-02-05,40.6
2016-02-08,40.65
2016-02-09,41.05
2016-02-10,40.35
2016-02-11,36.95
2016-02-12,39.4
2016-02-15,45.1
2016-02-16,42.25
2016-02-17,41.1
2016-02-18,42.3
2016-02-19,40.2
2016-02-22,40.3
2016-02-23,39.1
2016-02-24,38.65
2016-02-25,37.9
2016-02-26,38.5
2016-02-29,38.25
2016-03-01,39.4
2016-03-02,40.25
2016-03-03,41.0
2016-03-04,40.5
2016-03-08,40.2
2016-03-09,39.8
2016-03-10,39.3
2016-03-11,39.3
2016-03-14,38.45
2016-03-15,39.1
2016-03-16,38.8
2016-03-17,38.1
2016-03-18,38.15
2016-03-21,38.75
2016-03-22,39.25
2016-03-23,38.6
2016-03-28,37.7
2016-03-29,36.35
2016-03-30,38.65
2016-03-31,37.95
2016-04-01,38.9
2016-04-04,38.6
2016-04-05,38.4
2016-04-06,39.4
2016-04-07,40.4
2016-04-08,42.2
2016-04-11,42.0
2016-04-12,41.9
2016-04-13,41.1
2016-04-18,41.2
2016-04-20,40.95
2016-04-21,40.0
2016-04-22,41.75
2016-04-25,43.3
2016-04-26,44.75
2016-04-27,44.0
2016-04-28,44.55
2016-04-29,42.35
2016-05-02,41.95
2016-05-03,41.2
2016-05-04,41.85
2016-05-05,41.4
2016-05-06,40.7
2016-05-09,41.2
2016-05-10,40.6
2016-05-11,40.1
2016-05-12,40.95
2016-05-13,40.2
2016-05-16,40.4
2016-05-17,40.6
2016-05-18,40.1
2016-05-19,40.4
2016-05-20,39.95
2016-05-23,42.05
2016-05-24,41.45
2016-05-25,41.0
2016-05-26,40.95
2016-05-27,41.05
2016-05-30,40.5
2016-05-31,39.9
2016-06-01,39.6
2016-06-02,36.7
2016-06-03,36.85
2016-06-06,36.7
2016-06-07,38.55
2016-06-08,37.8
2016-06-09,37.9
2016-06-10,38.15
2016-06-13,37.35
2016-06-14,37.35
2016-06-15,37.6
2016-06-16,36.8
2016-06-17,37.35
2016-06-20,37.65
2016-06-21,39.25
2016-06-22,38.15
2016-06-23,37.95
2016-06-24,36.25
2016-06-27,38.55
2016-06-28,39.9
2016-06-29,40.05
2016-06-30,42.25
2016-07-01,43.8
2016-07-04,42.75
2016-07-05,42.85
2016-07-07,43.2
2016-07-08,45.15
2016-07-11,46.6
2016-07-12,45.1
2016-07-13,43.6
2016-07-14,46.4
2016-07-15,44.95
2016-07-18,43.65
2016-07-19,43.75
2016-07-20,44.65
2016-07-21,44.3
2016-07-22,44.4
2016-07-25,45.6
2016-07-26,44.65
2016-07-27,44.55
2016-07-28,44.65
2016-07-29,44.6
2016-08-01,43.85
2016-08-02,43.6
2016-08-03,42.5
2016-08-04,43.35
2016-08-05,43.2
2016-08-08,43.3
2016-08-09,42.65
2016-08-10,41.3
2016-08-11,40.4
2016-08-12,40.85
2016-08-16,40.6
2016-08-17,40.95
2016-08-18,41.2
2016-08-19,41.85
2016-08-22,42.6
2016-08-23,43.55
2016-08-24,43.95
2016-08-25,42.75
2016-08-26,43.6
2016-08-29,44.1
2016-08-30,43.8
2016-08-31,43.6
2016-09-01,43.0
2016-09-02,43.05
2016-09-06,44.1
2016-09-07,43.05
2016-09-08,43.65
2016-09-09,43.35
2016-09-12,42.75
2016-09-14,43.55
2016-09-15,43.55
2016-09-16,43.25
2016-09-19,43.25
2016-09-20,44.3
2016-09-21,42.7
2016-09-22,42.75
2016-09-23,47.2
2016-09-26,44.35
2016-09-27,43.2
2016-09-28,43.75
2016-09-29,39.8
2016-09-30,40.85
2016-10-03,42.2
2016-10-04,42.35
2016-10-05,42.0
2016-10-06,41.7
2016-10-07,41.75
2016-10-10,43.0
2016-10-13,41.55
2016-10-14,42.9
2016-10-17,42.65
2016-10-18,43.5
2016-10-19,43.35
2016-10-20,43.4
2016-10-21,42.95
2016-10-24,42.95
2016-10-25,42.65
2016-10-26,42.5
2016-10-27,42.0
2016-10-28,41.8
2016-10-30,42.45
2016-11-01,42.8
2016-11-02,41.45
2016-11-03,41.05
2016-11-04,41.15
2016-11-07,40.15
2016-11-08,39.95
2016-11-09,38.9
2016-11-10,38.85
2016-11-11,38.85
2016-11-15,34.8
2016-11-16,35.15
2016-11-17,37.95
2016-11-18,37.35
2016-11-21,35.3
2016-11-22,35.9
2016-11-23,35.8
2016-11-24,35.3
2016-11-25,35.8
2016-11-28,35.9
2016-11-29,36.7
2016-11-30,36.75
2016-12-01,35.7
2016-12-02,34.95
2016-12-05,35.15
2016-12-06,34.6
2016-12-07,35.75
2016-12-08,36.6
2016-12-09,35.35
2016-12-12,36.1
2016-12-13,38.6
2016-12-14,38.65
2016-12-15,38.4
2016-12-16,38.35
2016-12-19,37.9
2016-12-20,36.6
2016-12-21,35.95
2016-12-22,36.0
2016-12-23,35.85
2016-12-26,35.35
2016-12-27,35.3
2016-12-28,36.1
2016-12-29,36.15
2016-12-30,36.05
2017-01-02,36.5
2017-01-03,37.6
2017-01-04,37.8
2017-01-05,40.25
2017-01-06,39.05
2017-01-09,39.35
2017-01-10,39.85
2017-01-11,41.55
2017-01-12,41.3
2017-01-13,40.35
2017-01-16,41.1
2017-01-17,40.7
2017-01-18,40.4
2017-01-19,41.05
2017-01-20,41.7
2017-01-23,41.65
2017-01-24,41.2
