Date,EMKAY
2013-01-01,22.45
2013-01-02,23.1
2013-01-03,23.0
2013-01-04,23.7
2013-01-07,24.4
2013-01-08,24.25
2013-01-09,23.6
2013-01-10,23.6
2013-01-11,23.25
2013-01-14,22.9
2013-01-15,23.5
2013-01-16,22.9
2013-01-17,22.95
2013-01-18,23.15
2013-01-21,24.85
2013-01-22,23.4
2013-01-23,22.6
2013-01-24,22.35
2013-01-25,22.5
2013-01-28,21.9
2013-01-29,22.2
2013-01-30,21.6
2013-01-31,21.4
2013-02-01,21.5
2013-02-04,21.1
2013-02-05,21.1
2013-02-06,20.95
2013-02-07,20.5
2013-02-08,20.0
2013-02-11,19.85
2013-02-12,19.4
2013-02-13,18.1
2013-02-14,16.95
2013-02-15,17.5
2013-02-18,17.75
2013-02-19,16.9
2013-02-20,17.45
2013-02-21,17.95
2013-02-22,18.15
2013-02-25,18.95
2013-02-26,19.0
2013-02-27,18.9
2013-02-28,18.0
2013-03-01,19.0
2013-03-04,19.2
2013-03-05,19.2
2013-03-06,20.5
2013-03-07,21.5
2013-03-08,20.4
2013-03-11,20.25
2013-03-12,19.9
2013-03-13,18.25
2013-03-14,17.1
2013-03-15,17.75
2013-03-18,16.4
2013-03-19,17.15
2013-03-20,16.7
2013-03-21,16.8
2013-03-22,16.5
2013-03-25,16.8
2013-03-26,16.5
2013-03-28,16.55
2013-04-01,16.55
2013-04-02,17.0
2013-04-03,17.25
2013-04-04,17.0
2013-04-05,18.5
2013-04-08,18.3
2013-04-09,18.65
2013-04-10,18.1
2013-04-11,19.65
2013-04-12,19.45
2013-04-15,21.0
2013-04-16,20.8
2013-04-17,20.5
2013-04-18,20.0
2013-04-22,20.0
2013-04-23,18.95
2013-04-25,18.0
2013-04-26,17.7
2013-04-29,17.05
2013-04-30,18.5
2013-05-02,17.35
2013-05-03,17.5
2013-05-06,17.2
2013-05-07,17.3
2013-05-08,17.35
2013-05-09,18.2
2013-05-10,18.35
2013-05-11,19.0
2013-05-13,18.25
2013-05-14,18.6
2013-05-15,17.6
2013-05-16,18.45
2013-05-17,18.05
2013-05-20,16.55
2013-05-21,16.35
2013-05-22,15.8
2013-05-23,15.0
2013-05-24,15.8
2013-05-27,15.1
2013-05-28,14.95
2013-05-29,15.0
2013-05-30,14.85
2013-05-31,14.15
2013-06-03,13.5
2013-06-04,13.0
2013-06-05,12.5
2013-06-06,12.45
2013-06-07,12.8
2013-06-10,12.7
2013-06-11,11.65
2013-06-12,11.8
2013-06-13,13.0
2013-06-14,13.25
