Date,RMCL
2013-03-01,2.65
2013-03-04,2.65
2013-03-05,2.65
2013-03-06,2.55
2013-03-07,2.35
2013-03-08,2.55
2013-03-11,2.5
2013-03-12,2.45
2013-03-13,2.6
2013-03-14,2.65
2013-03-18,2.65
2013-03-19,2.45
2013-03-20,2.45
2013-03-21,2.45
2013-03-22,2.3
2013-03-25,2.1
2013-03-28,1.95
2013-04-01,1.9
2013-04-02,1.95
2013-04-03,2.0
2013-04-04,2.05
2013-04-05,2.05
2013-04-08,2.05
2013-04-09,2.0
2013-04-10,2.0
2013-04-11,2.05
2013-04-12,2.15
2013-04-16,2.25
2013-04-17,2.25
2013-04-18,2.3
2013-04-22,2.4
2013-04-23,2.3
2013-04-25,2.25
2013-04-26,2.25
2013-04-30,2.35
2013-05-02,2.25
2013-05-03,2.35
2013-05-07,2.25
2013-05-08,2.3
2013-05-09,2.25
2013-05-10,2.4
2013-05-13,2.25
2013-05-14,2.05
2013-05-15,2.25
2013-05-16,2.3
2013-05-17,2.5
2013-05-20,2.3
2013-05-21,2.5
2013-05-22,2.75
2013-05-23,2.5
2013-05-24,2.5
2013-05-27,2.45
2013-05-28,2.4
2013-05-29,2.4
2013-05-30,2.3
2013-05-31,2.4
2013-06-03,2.35
2013-06-04,2.35
2013-06-05,2.45
2013-06-06,2.55
2013-06-07,2.65
2013-06-10,2.75
2013-06-11,2.85
2013-06-12,2.95
2013-06-14,3.05
2013-06-17,3.2
2013-06-18,3.35
2013-06-19,3.5
2013-06-20,3.35
2014-06-30,28.35
2014-07-01,29.65
2014-07-02,31.1
2014-07-03,31.65
2014-07-04,30.55
2014-07-07,31.55
2014-07-08,30.0
2014-07-09,29.0
2014-07-10,28.75
2014-07-11,27.85
2014-07-14,26.95
2014-07-15,26.15
2014-07-16,27.45
2014-07-17,28.05
2014-07-18,28.15
2014-07-21,28.8
2014-07-22,28.1
2014-07-23,29.25
2014-07-24,29.95
2014-07-25,29.0
2014-07-28,28.75
2014-07-30,28.75
2014-07-31,30.15
2014-08-01,31.65
2014-08-04,34.8
2014-08-05,38.25
2014-08-06,37.7
2014-08-07,37.9
2014-08-08,36.6
2014-08-11,40.25
2014-08-12,44.25
2014-08-13,42.1
2014-08-14,40.9
2014-08-18,42.8
2014-08-19,40.9
2014-08-20,41.8
2014-08-21,41.2
2014-08-22,39.35
2014-08-25,38.45
2014-08-26,36.85
2014-08-27,37.3
2014-08-28,35.6
2014-09-01,37.3
2014-09-02,38.4
2014-09-03,38.3
2014-09-04,39.25
2014-09-05,40.3
2014-09-08,44.3
2014-09-09,43.4
2014-09-10,42.25
2014-09-11,42.6
2014-09-12,41.05
2014-09-15,44.95
2014-09-16,42.35
2014-09-17,42.25
2014-09-18,42.65
2014-09-19,41.9
2014-09-22,40.45
2014-09-23,39.0
2014-09-24,38.25
2014-09-25,38.1
2014-09-26,36.45
2014-09-29,38.2
2014-09-30,37.1
2014-10-01,37.5
2014-10-07,36.1
2014-10-08,37.25
2014-10-09,38.15
2014-10-10,37.8
2014-10-13,37.0
2014-10-14,37.2
2014-10-16,35.05
2014-10-17,35.3
2014-10-20,36.55
2014-10-21,35.95
2014-10-22,35.95
2014-10-23,36.8
2014-10-27,35.95
2014-10-28,35.85
2014-10-29,35.15
2014-10-30,35.1
2014-10-31,35.6
2014-11-03,35.3
2014-11-05,35.45
2014-11-07,38.25
2014-11-10,36.85
2014-11-11,36.6
2014-11-12,36.35
2014-11-13,36.65
2014-11-14,36.75
2014-11-17,35.3
2014-11-18,33.65
2014-11-19,33.25
2014-11-20,32.8
2014-11-21,33.55
2014-11-24,33.4
2014-11-25,32.1
2014-11-26,31.6
2014-11-27,37.85
2014-11-28,38.4
2014-12-01,36.2
2014-12-02,38.85
2014-12-03,41.5
2014-12-04,39.5
2014-12-05,41.6
2014-12-08,40.05
2014-12-09,38.65
2014-12-10,38.8
2014-12-11,39.1
2014-12-12,39.55
2014-12-15,38.3
2014-12-16,33.85
2014-12-17,33.2
2014-12-18,36.0
2014-12-19,35.9
2014-12-22,36.0
2014-12-23,35.6
2014-12-24,35.15
2014-12-26,34.0
2014-12-29,33.65
2014-12-30,33.65
2014-12-31,33.65
2015-01-01,38.3
2015-01-02,37.45
2015-01-05,36.95
2015-01-06,35.8
2015-01-07,35.35
2015-01-08,39.3
2015-01-09,40.65
2015-01-12,41.1
2015-01-13,40.4
2015-01-14,41.1
2015-01-15,43.25
2015-01-16,47.15
2015-01-19,48.7
2015-01-20,47.5
2015-01-21,46.0
2015-01-22,47.35
2015-01-23,45.5
2015-01-27,44.9
2015-01-28,43.7
2015-01-29,44.05
2015-01-30,42.95
2015-02-02,42.9
2015-02-03,42.65
2015-02-04,42.6
2015-02-05,42.3
2015-02-06,39.8
2015-02-09,40.45
2015-02-10,41.0
2015-02-11,39.65
2015-02-12,40.55
2015-02-13,40.2
2015-02-16,39.45
2015-02-18,39.45
2015-02-19,38.55
2015-02-20,38.15
2015-02-23,37.0
2015-02-24,37.25
2015-02-25,36.75
2015-02-26,36.65
2015-02-27,36.8
2015-02-28,36.85
2015-03-02,37.3
2015-03-03,38.2
2015-03-04,37.1
2015-03-05,36.55
2015-03-09,35.3
2015-03-10,34.35
2015-03-11,33.8
2015-03-12,33.3
2015-03-13,32.05
2015-03-16,30.3
2015-03-17,28.35
2015-03-18,31.65
2015-03-19,31.2
2015-03-20,30.1
2015-03-23,29.2
2015-03-24,28.85
2015-03-25,27.45
2015-03-26,26.8
2015-03-27,26.2
2015-03-30,31.15
2015-03-31,32.15
2015-04-01,32.45
2015-04-06,36.2
2015-04-07,37.65
2015-04-08,37.95
2015-04-09,36.6
2015-04-10,38.65
2015-04-13,38.65
2015-04-15,37.3
2015-04-16,34.95
2015-04-17,33.15
2015-04-20,31.8
2015-04-21,33.75
2015-04-22,31.95
2015-04-23,31.7
2015-04-24,30.95
2015-04-27,30.75
2015-04-28,30.9
2015-04-29,30.15
2015-04-30,29.8
2015-05-04,30.5
2015-05-05,31.65
2015-05-06,30.2
2015-05-07,27.4
2015-05-08,28.7
2015-05-11,29.55
2015-05-12,28.4
2015-05-13,32.7
2015-05-14,36.25
2015-05-15,37.55
2015-05-18,39.8
2015-05-19,37.75
2015-05-20,36.4
2015-05-21,33.7
2015-05-22,32.65
2015-05-25,31.9
2015-05-26,32.0
2015-05-27,33.0
2015-05-28,32.45
2015-05-29,32.6
2015-06-01,31.4
2015-06-02,30.1
2015-06-03,29.0
2015-06-04,29.35
2015-06-05,28.9
2015-06-08,28.7
2015-06-09,27.55
2015-06-10,27.5
2015-06-11,27.4
2015-06-12,26.7
2015-06-15,27.2
2015-06-16,27.1
2015-06-17,27.1
2015-06-18,31.05
2015-06-19,31.55
2015-06-22,32.85
2015-06-23,31.95
2015-06-24,29.7
2015-06-25,28.2
2015-06-26,28.3
2015-06-29,29.0
2015-06-30,29.15
2015-07-01,30.1
2015-07-02,31.2
2015-07-03,31.15
2015-07-06,32.4
2015-07-07,32.25
2015-07-08,31.05
2015-07-09,31.65
2015-07-10,34.45
2015-07-13,34.45
2015-07-14,33.55
2015-07-15,33.3
2015-07-16,33.3
2015-07-17,33.0
2015-07-20,31.8
2015-07-21,30.3
2015-07-22,31.1
2015-07-23,31.2
2015-07-24,32.85
2015-07-27,31.65
2015-07-28,32.1
2015-07-29,32.65
2015-07-30,33.4
2015-07-31,35.05
2015-08-03,37.7
2015-08-04,36.65
2015-08-05,40.25
2015-08-06,39.4
2015-08-07,38.75
2015-08-10,39.95
2015-08-11,38.9
2015-08-12,39.0
2015-08-13,38.55
2015-08-14,37.5
2015-08-17,36.5
2015-08-18,36.05
2015-08-19,38.4
2015-08-20,36.45
2015-08-21,35.25
2015-08-24,29.9
2015-08-25,29.2
2015-08-26,28.85
2015-08-27,30.1
2015-08-28,30.85
2015-08-31,31.15
2015-09-01,30.5
2015-09-02,30.2
2015-09-03,29.95
2015-09-04,28.55
2015-09-07,28.5
2015-09-08,28.25
2015-09-09,29.5
2015-09-10,28.65
2015-09-11,29.55
2015-09-14,29.85
2015-09-15,28.7
2015-09-16,28.3
2015-09-18,28.6
2015-09-21,29.15
2015-09-22,29.7
2015-09-23,31.0
2015-09-24,30.3
2015-09-28,29.0
2015-09-29,29.5
2015-09-30,28.9
2015-10-01,28.55
2015-10-05,28.8
2015-10-06,27.8
2015-10-07,27.8
2015-10-08,27.7
2015-10-09,26.75
2015-10-12,26.3
2015-10-13,24.7
2015-10-14,26.75
2015-10-15,26.95
2015-10-16,25.15
2015-10-19,24.95
2015-10-20,24.8
2015-10-21,24.85
2015-10-23,24.75
2015-10-26,23.45
2015-10-27,25.0
2015-10-28,25.7
2015-10-29,25.45
2015-10-30,24.65
2015-11-02,24.3
2015-11-03,23.4
2015-11-04,23.55
2015-11-05,23.1
2015-11-06,22.6
2015-11-09,22.75
2015-11-10,22.45
2015-11-11,22.85
2015-11-13,22.4
2015-11-16,20.75
2015-11-17,23.55
2015-11-18,22.8
2015-11-19,22.85
2015-11-20,22.35
2015-11-23,23.4
2015-11-24,25.0
