Date,8KMILES
2014-01-29,98.35
2014-01-30,98.2
2014-01-31,101.95
2014-02-03,111.2
2014-02-04,116.5
2014-02-05,116.85
2014-02-06,111.3
2014-02-07,112.0
2014-02-10,116.0
2014-02-11,113.9
2014-02-12,115.05
2014-02-13,117.25
2014-02-14,98.4
2014-02-17,104.8
2014-02-18,110.35
2014-02-19,112.05
2014-02-20,113.7
2014-02-21,115.25
2014-02-24,113.15
2014-02-25,112.5
2014-02-26,111.65
2014-02-28,108.45
2014-03-03,112.35
2014-03-04,112.15
2014-03-05,116.0
2014-03-06,115.6
2014-03-07,111.2
2014-03-10,112.05
2014-03-11,111.05
2014-03-12,109.85
2014-03-13,106.6
2014-03-14,103.5
2014-03-18,109.15
2014-03-19,110.05
2014-03-20,109.95
2014-03-21,106.85
2014-03-24,105.05
2014-03-25,106.95
2014-03-26,101.25
2014-03-27,104.45
2014-03-28,105.2
2014-03-31,104.95
2014-04-01,103.3
2014-04-02,106.35
2014-04-03,102.95
2014-04-04,106.85
2014-04-07,107.0
2014-04-09,107.25
2014-04-10,106.1
2014-04-11,105.0
2014-04-15,105.0
2014-04-16,104.25
2014-04-17,105.45
2014-04-21,105.0
2014-04-22,106.0
2014-04-23,106.45
2014-04-25,107.05
2014-04-28,119.25
2014-04-29,127.9
2014-04-30,122.9
2014-05-02,128.5
2014-05-05,127.6
2014-05-06,127.1
2014-05-07,128.05
2014-05-08,126.7
2014-05-09,126.0
2014-05-12,117.3
2014-05-13,118.9
2014-05-14,120.0
2014-05-15,118.75
2014-05-16,116.5
2014-05-19,120.0
2014-05-20,121.0
2014-05-21,131.25
2014-05-22,136.3
2014-05-23,143.05
2014-05-26,130.6
2014-05-27,136.85
2014-05-28,135.0
2014-05-29,136.5
2014-05-30,134.45
2014-06-02,134.2
2014-06-03,133.7
2014-06-04,133.3
2014-06-05,153.15
2014-06-06,169.65
2014-06-09,167.9
2014-06-10,164.7
2014-06-11,162.75
2014-06-12,161.45
2014-06-13,159.6
2014-06-16,156.0
2014-06-17,160.75
2014-06-18,159.0
2014-06-19,157.85
2014-06-20,156.0
2014-06-23,162.75
2014-06-24,159.65
2014-06-25,179.65
2014-06-26,174.5
2014-06-27,181.05
2014-06-30,184.6
2014-07-01,183.95
2014-07-02,187.65
2014-07-03,189.55
2014-07-04,185.3
2014-07-07,180.85
2014-07-08,177.4
2014-07-09,172.15
2014-07-10,177.2
2014-07-11,161.1
2014-07-14,160.4
2014-07-15,162.1
2014-07-16,162.4
2014-07-17,164.25
2014-07-18,170.2
2014-07-21,184.6
2014-07-22,183.0
2014-07-23,183.35
2014-07-24,178.6
2014-07-25,167.55
2014-07-28,173.65
2014-07-30,169.95
2014-07-31,172.35
2014-08-01,167.95
2014-08-04,170.1
2014-08-05,181.6
2014-08-06,176.5
2014-08-07,177.25
2014-08-08,198.75
2014-08-11,217.6
2014-08-12,252.4
2014-08-13,240.55
2014-08-14,242.95
2014-08-18,237.2
2014-08-19,226.25
2014-08-20,233.75
2014-08-21,266.75
2014-08-22,281.85
2014-08-25,287.35
2014-08-26,274.95
2014-08-27,285.65
2014-08-28,314.2
2014-09-01,330.15
2014-09-02,342.8
2014-09-03,344.65
2014-09-04,336.45
2014-09-05,329.25
2014-09-08,331.15
2014-09-09,315.75
2014-09-10,347.3
2014-09-11,336.5
2014-09-12,329.95
2014-09-15,347.6
2014-09-16,325.95
2014-09-17,355.0
2014-09-18,390.5
2014-09-19,429.55
2014-09-22,451.0
2014-09-23,452.15
2014-09-24,452.4
2014-09-25,447.55
2014-09-26,469.9
2014-09-29,493.35
2014-09-30,518.0
2014-10-01,543.9
2014-10-07,517.7
2014-10-08,543.55
2014-10-09,570.7
2014-10-10,599.2
2014-10-13,629.15
2014-10-14,660.6
2014-10-16,654.55
2014-10-17,633.65
2014-10-20,665.3
2014-10-21,698.55
2014-10-22,733.45
2014-10-23,770.1
2014-10-27,775.05
2014-10-28,740.5
2014-10-29,765.9
2014-10-30,745.5
2014-10-31,735.9
2014-11-03,731.15
2014-11-05,694.6
2014-11-07,659.9
2014-11-10,626.95
2014-11-11,591.85
2014-11-12,532.7
2014-11-13,552.5
2014-11-14,602.45
2014-11-17,624.65
2014-11-18,589.55
2014-11-19,573.7
2014-11-20,588.6
2014-11-21,567.35
2014-11-24,551.35
2014-11-25,515.6
2014-11-26,567.15
2014-11-27,623.85
2014-11-28,629.9
2014-12-01,625.5
2014-12-02,599.95
2014-12-03,612.2
2014-12-04,606.4
2014-12-05,613.25
2014-12-08,659.8
2014-12-09,620.35
2014-12-10,625.05
2014-12-11,612.65
2014-12-12,588.3
2014-12-15,580.75
2014-12-16,541.2
2014-12-17,542.15
2014-12-18,571.85
2014-12-19,588.25
2014-12-22,604.0
2014-12-23,590.4
2014-12-24,578.9
2014-12-26,580.3
2014-12-29,578.4
2014-12-30,591.25
2014-12-31,629.8
2015-01-01,727.3
2015-01-02,807.65
2015-01-05,776.25
2015-01-06,820.75
2015-01-07,823.2
2015-01-08,738.55
2015-01-09,764.95
2015-01-12,758.1
2015-01-13,743.45
2015-01-14,707.05
2015-01-15,711.65
2015-01-16,716.4
2015-01-19,716.9
2015-01-20,712.15
2015-01-21,687.75
