Date,RADICO
2013-01-01,148.55
2013-01-02,146.95
2013-01-03,144.9
2013-01-04,144.4
2013-01-07,143.85
2013-01-08,139.65
2013-01-09,143.3
2013-01-10,142.9
2013-01-11,142.45
2013-01-14,145.95
2013-01-15,146.3
2013-01-16,145.6
2013-01-17,143.5
2013-01-18,140.45
2013-01-21,144.65
2013-01-22,144.65
2013-01-23,140.6
2013-01-24,139.5
2013-01-25,139.8
2013-01-28,145.05
2013-01-29,146.45
2013-01-30,146.25
2013-01-31,148.3
2013-02-01,146.6
2013-02-04,146.4
2013-02-05,144.8
2013-02-06,145.85
2013-02-07,144.7
2013-02-08,145.0
2013-02-11,144.15
2013-02-12,141.75
2013-02-13,140.35
2013-02-14,139.25
2013-02-15,139.0
2013-02-18,140.45
2013-02-19,140.85
2013-02-20,139.35
2013-02-21,138.15
2013-02-22,138.05
2013-02-25,139.05
2013-02-26,137.6
2013-02-27,137.8
2013-02-28,136.2
2013-03-01,136.25
2013-03-04,136.05
2013-03-05,137.0
2013-03-06,136.95
2013-03-07,136.0
2013-03-08,136.95
2013-03-11,135.55
2013-03-12,135.5
2013-03-13,136.5
2013-03-14,134.55
2013-03-15,136.1
2013-03-18,135.35
2013-03-19,134.05
2013-03-20,131.0
2013-03-21,130.05
2013-03-22,127.3
2013-03-25,125.15
2013-03-26,127.85
2013-03-28,129.9
2013-04-01,129.25
2013-04-02,129.2
2013-04-03,128.9
2013-04-04,127.15
2013-04-05,127.4
2013-04-08,127.15
2013-04-09,125.15
2013-04-10,125.7
2013-04-11,124.2
2013-04-12,123.15
2013-04-15,124.4
2013-04-16,124.3
2013-04-17,128.25
2013-04-18,127.9
2013-04-22,128.15
2013-04-23,126.35
2013-04-25,127.0
2013-04-26,125.5
2013-04-29,125.1
2013-04-30,124.65
2013-05-02,124.6
2013-05-03,125.95
2013-05-06,127.15
2013-05-07,127.55
2013-05-08,127.55
2013-05-09,125.35
2013-05-10,126.9
2013-05-11,127.85
2013-05-13,126.6
2013-05-14,124.95
2013-05-15,127.85
