Date,GODREJIND
2013-01-01,312.45
2013-01-02,311.2
2013-01-03,323.1
2013-01-04,321.15
2013-01-07,327.2
2013-01-08,330.6
2013-01-09,325.3
2013-01-10,320.2
2013-01-11,321.3
2013-01-14,321.8
2013-01-15,322.6
2013-01-16,314.0
2013-01-17,319.75
2013-01-18,319.8
2013-01-21,317.0
2013-01-22,315.0
2013-01-23,314.55
2013-01-24,311.2
2013-01-25,316.75
2013-01-28,311.5
2013-01-29,306.15
2013-01-30,303.45
2013-01-31,304.25
2013-02-01,303.05
2013-02-04,303.5
2013-02-05,304.0
2013-02-06,301.55
2013-02-07,307.95
2013-02-08,312.55
2013-02-11,313.65
2013-02-12,310.35
2013-02-13,316.6
2013-02-14,313.65
2013-02-15,312.55
2013-02-18,312.8
2013-02-19,310.6
2013-02-20,302.55
2013-02-21,294.6
2013-02-22,290.7
2013-02-25,285.2
2013-02-26,279.15
2013-02-27,275.9
2013-02-28,270.6
2013-03-01,273.75
2013-03-04,273.8
2013-03-05,279.45
2013-03-06,287.15
2013-03-07,290.45
2013-03-08,297.9
2013-03-11,292.95
2013-03-12,292.8
2013-03-13,291.6
2013-03-14,294.0
2013-03-15,289.2
2013-03-18,292.15
2013-03-19,289.35
2013-03-20,293.95
2013-03-21,290.8
2013-03-22,292.1
2013-03-25,293.15
2013-03-26,296.0
2013-03-28,294.1
2013-04-01,303.2
2013-04-02,305.65
2013-04-03,299.9
2013-04-04,292.65
2013-04-05,290.05
2013-04-08,293.55
2013-04-09,295.6
2013-04-10,293.45
2013-04-11,303.15
2013-04-12,308.05
2013-04-15,305.1
2013-04-16,307.1
2013-04-17,303.2
2013-04-18,305.9
2013-04-22,315.25
2013-04-23,312.05
2013-04-25,310.1
2013-04-26,309.8
2013-04-29,310.95
2013-04-30,310.05
2013-05-02,310.55
2013-05-03,306.15
2013-05-06,306.5
2013-05-07,311.75
2013-05-08,315.2
2013-05-09,310.1
2013-05-10,313.0
2013-05-11,313.75
2013-05-13,310.2
2013-05-14,310.1
2013-05-15,312.95
2013-05-16,316.6
2013-05-17,315.8
2013-05-20,305.4
2013-05-21,301.1
2013-05-22,296.45
2013-05-23,290.85
2013-05-24,293.55
2013-05-27,302.7
2013-05-28,296.5
2013-05-29,305.9
2013-05-30,306.6
2013-05-31,294.15
2013-06-03,295.95
2013-06-04,297.95
2013-06-05,301.2
2013-06-06,305.15
2013-06-07,297.2
2013-06-10,293.95
2013-06-11,293.35
2013-06-12,296.35
2013-06-13,295.5
2013-06-14,297.0
2013-06-17,298.15
2013-06-18,296.85
2013-06-19,298.1
2013-06-20,296.05
2013-06-21,299.25
2013-06-24,294.95
2013-06-25,296.95
2013-06-26,296.45
2013-06-27,306.2
2013-06-28,309.45
2013-07-01,312.95
2013-07-02,312.1
2013-07-03,305.35
2013-07-04,315.4
2013-07-05,318.9
2013-07-08,309.65
2013-07-09,308.8
2013-07-10,305.35
2013-07-11,301.8
2013-07-12,298.6
2013-07-15,306.2
2013-07-16,304.0
2013-07-17,297.55
2013-07-18,299.25
2013-07-19,295.7
2013-07-22,295.2
2013-07-23,289.55
2013-07-24,278.4
2013-07-25,274.5
2013-07-26,271.9
2013-07-29,269.75
2013-07-30,252.3
2013-07-31,262.65
2013-08-01,258.6
2013-08-02,256.9
2013-08-05,255.85
2013-08-06,234.05
2013-08-07,241.0
2013-08-08,240.65
2013-08-12,244.5
2013-08-13,251.6
2013-08-14,256.25
2013-08-16,248.05
2013-08-19,251.4
2013-08-20,245.45
2013-08-21,239.4
2013-08-22,240.65
2013-08-23,241.8
2013-08-26,245.4
2013-08-27,236.95
2013-08-28,229.2
2013-08-29,228.7
2013-08-30,235.75
2013-09-02,242.05
2013-09-03,242.5
2013-09-04,254.05
2013-09-05,264.9
2013-09-06,266.9
2013-09-10,276.15
2013-09-11,284.4
2013-09-12,287.65
2013-09-13,291.45
2013-09-16,284.6
2013-09-17,290.7
2013-09-18,289.85
2013-09-19,295.45
2013-09-20,291.9
2013-09-23,288.75
2013-09-24,289.1
2013-09-25,287.25
2013-09-26,277.75
2013-09-27,272.6
2013-09-30,268.2
2013-10-01,263.7
2013-10-03,265.2
2013-10-04,265.05
2013-10-07,265.7
