Date,AURIONPRO
2013-01-01,114.35
2013-01-02,113.25
2013-01-03,112.0
2013-01-04,111.55
2013-01-07,112.5
2013-01-08,111.0
2013-01-09,112.45
2013-01-10,110.55
2013-01-11,109.05
2013-01-14,109.25
2013-01-15,110.0
2013-01-16,104.3
2013-01-17,106.15
2013-01-18,100.5
2013-01-21,101.5
2013-01-22,99.15
2013-01-23,99.45
2013-01-24,101.4
2013-01-25,100.1
2013-01-28,98.9
2013-01-29,98.4
2013-01-30,96.75
2013-01-31,96.2
2013-02-01,94.6
2013-02-04,96.4
2013-02-05,96.95
2013-02-06,97.15
2013-02-07,94.85
2013-02-08,95.5
2013-02-11,94.7
2013-02-12,93.7
2013-02-13,93.75
2013-02-14,88.55
2013-02-15,93.75
2013-02-18,94.0
2013-02-19,95.0
2013-02-20,90.75
2013-02-21,90.15
2013-02-22,94.0
2013-02-25,88.5
2013-02-26,90.8
2013-02-28,90.75
2013-03-01,95.65
2013-03-04,88.75
2013-03-05,89.25
2013-03-06,89.0
2013-03-07,96.0
2013-03-08,88.95
2013-03-11,88.95
2013-03-12,87.3
2013-03-13,88.1
2013-03-15,92.65
2013-03-18,87.35
2013-03-19,90.0
2013-03-20,83.75
2013-03-21,78.65
2013-03-22,76.9
2013-03-25,83.45
2013-03-26,80.65
2013-03-28,75.6
2013-04-01,74.15
2013-04-02,69.45
2013-04-03,70.45
2013-04-04,71.0
2013-04-05,70.4
2013-04-08,69.95
2013-04-09,71.0
2013-04-10,71.25
2013-04-12,74.0
2013-04-15,71.8
2013-04-16,71.05
2013-04-17,71.9
2013-04-18,74.9
2013-04-22,74.0
2013-04-23,75.0
2013-04-25,69.9
2013-04-26,68.15
2013-04-29,66.95
2013-05-02,67.25
2013-05-07,69.0
2013-05-08,67.9
2013-05-09,68.6
2013-05-10,65.45
2013-05-11,70.0
2013-05-13,66.3
2013-05-14,67.95
2013-05-15,64.5
2013-05-16,64.15
2013-05-20,65.9
2013-05-21,69.5
2013-05-22,67.5
2013-05-23,65.6
2013-05-24,69.75
2013-05-27,64.4
2013-05-28,66.55
2013-05-29,71.35
2013-05-30,70.0
2013-05-31,68.05
2013-06-03,70.0
2013-06-04,62.1
2013-06-05,65.5
2013-06-06,63.4
2013-06-07,55.95
2013-06-10,59.5
2013-06-11,59.5
2013-06-12,59.95
2013-06-13,59.2
2013-06-14,62.4
2013-06-17,62.95
2013-06-18,61.05
2013-06-19,60.05
2013-06-20,60.0
2013-06-21,63.95
2013-06-24,63.95
2013-06-25,63.9
2013-06-26,63.4
2013-06-27,64.35
2013-06-28,61.95
2013-07-01,62.4
2013-07-02,59.45
2013-07-03,62.65
2013-07-04,63.0
2013-07-05,63.6
2013-07-12,60.0
2013-07-18,60.0
2013-07-29,58.0
2013-07-30,55.0
2013-08-01,58.0
2013-08-02,58.5
2013-08-07,57.0
2013-08-08,55.0
2013-08-12,55.0
2013-08-13,55.0
2013-08-14,55.0
2013-08-16,55.0
2013-08-19,55.0
2013-08-20,55.0
2013-08-21,55.0
2013-08-22,55.0
2013-08-23,55.0
2013-08-26,55.0
2013-08-27,55.0
2013-08-28,54.95
2013-08-29,54.9
2013-08-30,55.0
2013-09-02,55.0
2013-09-03,55.0
2013-09-10,55.0
2013-09-11,55.0
2013-09-12,55.0
2013-09-13,54.5
2013-09-24,52.0
2013-09-25,52.0
2013-09-27,50.0
2013-10-08,50.0
2013-10-21,50.0
2013-10-22,50.0
2013-10-23,50.0
2013-10-25,50.0
2013-10-31,50.0
2013-11-03,55.0
2013-11-05,50.0
2013-11-06,50.0
2013-11-07,50.0
2013-11-08,50.0
2013-11-11,50.0
2013-11-12,52.5
2013-11-13,55.1
2013-11-14,57.85
2013-11-18,60.7
2013-11-19,63.7
2013-11-20,66.85
2013-11-21,70.15
2013-11-22,73.65
2013-11-25,77.3
2013-11-26,81.15
2013-11-27,83.0
2013-11-28,85.0
2013-11-29,84.8
2013-12-05,80.6
2013-12-06,76.6
2013-12-09,78.6
2013-12-10,75.0
2013-12-11,75.0
2013-12-12,71.55
2013-12-13,71.5
2013-12-16,75.05
2013-12-17,78.8
2013-12-23,82.7
2013-12-27,85.0
2014-01-07,89.25
2014-01-09,93.7
2014-01-10,98.35
2014-01-13,103.25
2014-01-14,108.4
2014-01-15,113.8
2014-01-16,119.45
2014-01-17,125.4
2014-01-20,131.65
2014-01-21,138.2
2014-01-22,145.1
2014-01-23,147.95
2014-01-24,145.45
2014-01-27,144.75
2014-01-28,144.3
2014-01-29,141.7
2014-01-30,135.05
2014-01-31,138.8
2014-02-03,134.6
2014-02-04,139.75
2014-02-05,135.85
2014-02-06,136.9
2014-02-07,134.4
2014-02-10,139.0
2014-02-11,132.05
2014-02-12,133.0
2014-02-13,130.6
2014-02-14,128.15
2014-02-17,126.25
2014-02-18,130.75
2014-02-19,133.05
2014-02-20,132.6
2014-02-21,131.85
2014-02-24,129.65
2014-02-25,134.4
2014-02-26,133.25
2014-02-28,134.7
2014-03-03,138.7
2014-03-04,145.6
2014-03-05,152.85
2014-03-06,153.45
2014-03-07,159.2
2014-03-10,175.1
2014-03-11,192.6
2014-03-12,196.65
2014-03-13,192.1
2014-03-14,189.7
2014-03-18,199.15
2014-03-19,198.95
2014-03-20,195.2
2014-03-21,195.5
2014-03-22,191.4
2014-03-24,187.55
2014-03-25,192.3
2014-03-26,186.9
2014-03-27,177.85
2014-03-28,170.4
2014-03-31,170.0
2014-04-01,167.15
2014-04-02,165.4
2014-04-03,173.6
2014-04-04,178.95
2014-04-07,177.0
2014-04-09,177.0
2014-04-10,185.85
2014-04-11,194.9
2014-04-15,191.5
2014-04-16,191.0
2014-04-17,185.2
2014-04-21,183.0
2014-04-22,181.0
2014-04-23,184.3
