Date,PLASTIBLEN
2013-01-01,78.55
2013-01-02,78.3
2013-01-03,78.15
2013-01-04,78.95
2013-01-07,77.25
2013-01-08,77.65
2013-01-09,77.7
2013-01-10,77.0
2013-01-11,76.6
2013-01-14,77.0
2013-01-15,77.45
2013-01-16,76.8
2013-01-17,78.5
2013-01-18,76.5
2013-01-21,76.2
2013-01-22,75.9
2013-01-23,75.25
2013-01-24,74.0
2013-01-25,73.1
2013-01-28,73.25
2013-01-29,72.5
2013-01-30,73.3
2013-01-31,73.15
2013-02-01,72.2
2013-02-04,72.5
2013-02-05,74.4
2013-02-06,73.05
2013-02-07,72.9
2013-02-08,73.0
2013-02-11,71.5
2013-02-12,73.0
2013-02-13,70.5
2013-02-14,70.35
2013-02-15,71.0
2013-02-18,71.65
2013-02-19,71.4
2013-02-20,71.0
2013-02-21,70.5
2013-02-22,70.65
2013-02-25,71.5
2013-02-26,68.85
2013-02-27,68.25
2013-02-28,69.0
2013-03-01,69.95
2013-03-04,68.5
2013-03-05,69.05
2013-03-06,69.1
2013-03-07,71.25
2013-03-08,69.75
2013-03-11,70.0
2013-03-12,69.75
2013-03-13,70.0
2013-03-14,70.5
2013-03-15,70.95
2013-03-18,69.45
2013-03-19,68.2
2013-03-20,69.0
2013-03-21,68.1
2013-03-22,67.2
2013-03-25,67.7
2013-03-26,68.0
2013-03-28,68.85
2013-04-01,67.95
2013-04-02,66.05
2013-04-03,65.0
2013-04-04,61.0
2013-04-05,62.25
2013-04-08,64.0
2013-04-10,62.05
2013-04-11,62.25
2013-04-15,64.5
2013-04-16,64.55
2013-04-17,64.15
2013-04-18,64.5
2013-04-22,65.0
2013-04-23,63.25
2013-04-25,64.0
2013-04-26,66.0
2013-04-29,64.25
2013-05-02,66.3
2013-05-03,66.0
2013-05-06,70.0
2013-05-07,69.0
2013-05-08,69.0
2013-05-09,69.0
2013-05-13,69.0
2013-05-14,69.0
2013-05-15,69.0
2013-05-16,69.0
2013-05-20,70.2
2013-05-21,71.0
2013-05-22,70.95
2013-05-29,68.0
