Date,SARLAPOLY
2013-01-02,170.0
2013-01-03,170.0
2013-01-04,165.5
2013-01-07,163.0
2013-01-08,157.0
2013-01-09,159.95
2013-01-10,157.15
2013-01-11,160.05
2013-01-14,162.0
2013-01-15,162.05
2013-01-16,160.0
2013-01-17,160.0
2013-01-18,162.0
2013-01-21,165.0
2013-01-22,156.25
2013-01-23,162.0
2013-01-24,165.0
2013-01-25,158.0
2013-01-28,156.9
2013-01-29,156.75
2013-01-30,156.75
2013-02-01,164.3
2013-02-04,160.05
2013-02-05,163.95
2013-02-06,177.05
2013-02-07,181.75
2013-02-08,175.15
2013-02-11,175.0
2013-02-12,176.5
2013-02-13,172.15
2013-02-14,170.1
2013-02-15,174.0
2013-02-18,170.0
2013-02-20,165.1
2013-02-25,160.0
2013-02-26,160.0
2013-02-27,160.0
2013-02-28,160.1
2013-03-01,160.1
2013-03-04,167.85
2013-03-05,167.95
2013-03-06,165.0
2013-03-07,169.75
2013-03-08,159.95
2013-03-11,169.25
2013-03-12,160.3
2013-03-13,156.0
2013-03-14,159.7
2013-03-15,165.0
2013-03-18,165.0
2013-03-19,159.0
2013-03-20,151.95
2013-03-21,151.95
2013-03-22,147.5
2013-03-25,145.0
2013-03-26,145.0
2013-03-28,145.0
2013-04-01,156.75
2013-04-02,148.1
2013-04-03,164.05
2013-04-04,150.25
2013-04-05,163.75
2013-04-25,157.0
2013-04-29,158.05
2013-04-30,160.0
2013-05-23,160.0
2013-05-30,160.0
2013-05-31,155.0
2013-06-10,155.0
2013-06-28,160.0
2013-07-03,165.0
2013-07-04,165.0
2013-07-15,173.25
2013-07-16,172.0
2013-07-24,175.0
2013-07-25,167.0
2013-07-26,170.0
2013-07-29,165.0
2013-07-30,160.0
2013-08-08,162.1
2013-08-20,155.0
2013-09-10,162.0
2013-09-13,170.0
2013-09-26,170.0
2013-11-08,169.0
2013-11-13,167.0
2013-12-02,170.95
2013-12-03,171.0
2013-12-12,165.0
2013-12-27,165.0
2013-12-30,173.05
2013-12-31,173.05
2014-01-15,175.05
2014-01-20,183.75
2014-01-22,184.8
2014-01-23,186.5
2014-01-24,184.0
2014-01-28,175.5
2014-01-31,175.35
2014-02-05,175.75
2014-02-06,175.85
2014-02-07,175.85
2014-02-11,175.85
2014-02-18,178.05
2014-02-19,178.0
2014-02-20,184.6
2014-02-21,180.0
2014-02-25,173.05
2014-03-07,190.35
2014-03-10,179.45
2014-03-12,184.0
2014-03-13,180.0
2014-03-14,180.0
2014-03-18,169.4
2014-03-19,167.0
2014-03-20,179.0
2014-03-27,164.2
2014-03-28,180.0
2014-03-31,180.0
2014-04-01,180.0
2014-04-04,190.0
2014-04-07,201.0
2014-04-09,200.0
2014-04-10,197.0
2014-04-11,201.0
2014-04-15,200.0
2014-04-16,200.1
2014-04-17,204.0
2014-04-21,205.0
2014-04-22,205.0
2014-04-23,209.25
2014-04-25,205.0
2014-04-28,215.0
2014-04-29,215.0
2014-04-30,225.0
2014-05-02,215.8
2014-05-05,230.15
2014-05-06,220.0
2014-05-07,220.0
2014-05-08,227.75
2014-05-09,233.0
2014-05-12,229.0
2014-05-13,215.45
2014-05-14,210.95
2014-05-15,204.8
2014-05-16,200.0
2014-05-19,210.05
2014-05-20,200.0
2014-05-22,201.6
2014-05-23,211.0
2014-05-27,218.8
2014-05-28,203.0
2014-05-29,229.9
2014-05-30,223.3
2014-06-02,229.95
2014-06-03,230.0
2014-06-04,230.2
2014-06-05,245.0
2014-06-06,236.95
2014-06-10,230.95
2014-06-12,242.8
2014-06-16,225.5
2014-06-18,224.0
2014-06-19,237.8
2014-06-23,232.0
2014-06-24,231.1
2014-06-26,230.25
2014-06-27,229.75
2014-06-30,243.55
2014-07-01,233.15
2014-07-02,261.25
2014-07-03,270.0
2014-07-04,268.0
2014-07-07,314.3
2014-07-08,300.6
2014-07-09,298.25
2014-07-10,298.25
2014-07-11,307.75
2014-07-14,310.95
2014-07-15,300.35
2014-07-16,299.7
2014-07-17,305.0
2014-07-18,302.0
2014-07-21,310.3
2014-07-22,310.0
2014-07-23,320.4
2014-07-24,342.4
2014-07-25,344.0
2014-07-28,331.0
2014-07-30,339.9
2014-07-31,340.0
2014-08-01,332.0
2014-08-04,314.4
2014-08-05,310.3
2014-08-06,337.3
2014-08-07,362.0
2014-08-08,346.5
2014-08-11,340.1
2014-08-12,332.2
2014-08-13,333.5
2014-08-14,314.2
2014-08-18,306.5
2014-08-19,319.55
2014-08-20,315.35
2014-08-21,332.0
2014-08-22,321.05
2014-08-25,316.7
2014-08-26,318.9
2014-08-27,315.9
2014-08-28,318.0
2014-09-01,352.55
2014-09-02,340.0
2014-09-03,348.15
2014-09-04,344.5
2014-09-05,345.0
2014-09-08,350.05
2014-09-09,345.2
2014-09-10,356.35
2014-09-11,362.65
2014-09-12,366.95
2014-09-15,366.05
2014-09-16,372.0
2014-09-17,365.6
2014-09-18,366.8
2014-09-19,341.3
2014-09-22,339.1
2014-09-23,329.95
2014-09-24,327.5
2014-09-25,322.35
2014-09-26,327.0
2014-09-29,332.85
2014-09-30,332.5
2014-10-01,320.35
2014-10-07,329.9
2014-10-08,308.8
2014-10-09,331.9
2014-10-10,355.3
2014-10-13,378.4
2014-10-14,366.9
2014-10-16,359.65
2014-10-17,368.0
2014-10-20,365.05
2014-10-21,363.5
2014-10-22,367.9
2014-10-23,370.05
2014-10-27,396.05
2014-10-28,404.5
2014-10-29,398.65
2014-10-30,400.35
2014-10-31,389.1
2014-11-03,427.7
2014-11-05,427.75
2014-11-07,436.5
2014-11-10,453.4
2014-11-11,443.15
2014-11-12,443.25
2014-11-13,441.9
2014-11-14,433.9
2014-11-17,433.0
2014-11-18,430.05
2014-11-19,421.3
2014-11-20,409.55
2014-11-21,417.15
2014-11-24,418.9
2014-11-25,418.9
2014-11-26,412.35
2014-11-27,401.45
2014-11-28,400.45
2014-12-01,404.35
2014-12-02,396.9
2014-12-03,400.75
2014-12-04,400.0
2014-12-05,400.05
2014-12-08,411.2
2014-12-09,397.1
2014-12-10,401.75
2014-12-11,390.95
2014-12-12,400.15
2014-12-15,386.65
2014-12-16,362.45
2014-12-17,363.65
2014-12-18,363.05
2014-12-19,391.15
2014-12-22,392.25
2014-12-23,392.9
2014-12-24,387.05
2014-12-26,386.15
2014-12-29,398.75
2014-12-30,415.0
2014-12-31,435.8
2015-01-01,449.5
2015-01-02,450.35
2015-01-05,446.0
2015-01-06,432.8
2015-01-07,427.6
2015-01-08,430.3
2015-01-09,443.0
2015-01-12,441.1
2015-01-13,440.0
2015-01-14,440.0
2015-01-15,440.1
2015-01-16,447.1
2015-01-19,440.4
2015-01-20,435.0
2015-01-21,422.45
