Date,JINDALPHOT
2013-01-01,121.9
2013-01-02,122.9
2013-01-03,123.65
2013-01-04,125.0
2013-01-07,123.65
2013-01-08,122.85
2013-01-09,123.5
2013-01-10,119.6
2013-01-11,116.4
2013-01-14,117.85
2013-01-15,116.95
2013-01-16,117.25
2013-01-17,117.65
2013-01-18,116.85
2013-01-21,114.45
2013-01-22,112.1
2013-01-23,110.4
2013-01-24,105.35
2013-01-25,107.7
2013-01-28,112.65
2013-01-29,112.45
2013-01-30,109.85
2013-01-31,114.0
2013-02-01,115.05
2013-02-04,113.05
2013-02-05,108.85
2013-02-06,106.85
2013-02-07,107.05
2013-02-08,105.5
2013-02-11,104.25
2013-02-12,102.4
2013-02-13,102.35
2013-02-14,100.4
2013-02-15,99.65
2013-02-18,100.3
2013-02-19,118.95
2013-02-20,121.1
2013-02-21,112.95
2013-02-22,124.5
2013-02-25,120.05
2013-02-26,113.65
2013-02-27,111.3
2013-02-28,108.05
2013-03-01,105.8
2013-03-04,99.6
2013-03-05,104.35
2013-03-06,105.75
2013-03-07,122.35
2013-03-08,117.35
2013-03-11,119.35
2013-03-12,120.25
2013-03-13,116.45
2013-03-14,119.55
2013-03-15,114.5
2013-03-18,112.6
2013-03-19,106.75
2013-03-20,101.4
2013-03-21,102.2
2013-03-22,100.65
2013-03-25,98.75
2013-03-26,98.15
2013-03-28,102.05
2013-04-01,104.7
2013-04-02,115.0
2013-04-03,110.1
2013-04-04,110.0
2013-04-05,107.05
2013-04-08,105.75
2013-04-09,105.8
2013-04-10,105.75
2013-04-11,107.65
2013-04-12,108.25
2013-04-15,106.6
2013-04-16,108.7
2013-04-17,111.05
2013-04-18,110.35
2013-04-22,110.5
2013-04-23,109.55
2013-04-25,111.05
2013-04-26,107.45
2013-04-29,109.05
2013-04-30,107.5
2013-05-02,107.8
2013-05-03,108.65
2013-05-06,113.15
2013-05-07,110.2
2013-05-08,112.25
2013-05-09,111.3
2013-05-10,111.15
2013-05-11,111.1
2013-05-13,107.45
2013-05-14,109.0
2013-05-15,110.35
2013-05-16,112.05
2013-05-17,110.15
2013-05-20,110.75
2013-05-21,108.85
2013-05-22,108.15
2013-05-23,103.35
2013-05-24,103.5
2013-05-27,104.2
2013-05-28,105.0
2013-05-29,104.55
2013-05-30,104.2
2013-05-31,99.6
2013-06-03,97.35
2013-06-04,96.95
2013-06-05,96.85
2013-06-06,94.8
2013-06-07,94.9
2013-06-10,91.7
2013-06-11,84.85
2013-06-12,84.9
2013-06-13,81.8
2013-06-14,82.1
2013-06-17,80.4
2013-06-18,78.8
2013-06-19,90.6
2013-06-20,83.45
2013-06-21,81.4
2013-06-24,77.35
2013-06-25,76.75
2013-06-26,73.65
2013-06-27,74.6
2013-06-28,79.3
2013-07-01,80.9
2013-07-02,82.25
2013-07-03,79.05
2013-07-04,77.85
2013-07-05,77.7
2013-07-08,75.4
2013-07-09,76.4
2013-07-10,76.7
2013-07-11,77.45
2013-07-12,76.75
2013-07-15,77.4
2013-07-16,75.55
2013-07-17,72.3
2013-07-18,73.2
2013-07-19,72.5
2013-07-22,71.35
2013-07-23,71.35
2013-07-24,70.65
2013-07-25,69.2
2013-07-26,67.95
2013-07-29,64.7
2013-07-30,64.55
2013-07-31,65.3
2013-08-01,67.35
2013-08-02,68.4
2013-08-05,67.9
2013-08-06,68.6
2013-08-07,67.3
2013-08-08,66.7
2013-08-12,70.35
2013-08-13,71.75
2013-08-14,71.85
2013-08-16,70.05
2013-08-19,70.05
2013-08-20,70.85
2013-08-21,70.5
2013-08-22,70.45
2013-08-23,70.45
2013-08-26,72.0
2013-08-27,74.15
2013-08-28,75.2
2013-08-29,75.05
2013-08-30,74.9
2013-09-02,75.15
2013-09-03,75.0
2013-09-04,75.0
2013-09-05,76.0
2013-09-06,80.15
2013-09-10,83.5
2013-09-11,86.35
2013-09-12,96.0
2013-09-13,100.25
2013-09-16,96.1
2013-09-17,95.65
2013-09-18,93.0
2013-09-19,95.85
2013-09-20,93.5
2013-09-23,96.15
2013-09-24,99.85
2013-09-25,99.5
2013-09-26,100.45
2013-09-27,100.2
2013-09-30,100.3
2013-10-01,100.35
2013-10-03,100.85
2013-10-04,99.5
2013-10-07,101.0
2013-10-08,101.3
2013-10-09,100.25
2013-10-10,101.25
2013-10-11,100.0
2013-10-14,100.95
2013-10-15,100.0
2013-10-17,99.9
2013-10-18,100.0
2013-10-21,100.75
2013-10-22,100.55
2013-10-23,100.0
2013-10-24,111.85
2013-10-25,108.3
2013-10-28,108.0
2013-10-29,106.45
2013-10-30,107.65
2013-10-31,107.35
2013-11-01,107.0
2013-11-03,106.95
2013-11-05,108.3
2013-11-06,110.4
2013-11-07,108.9
2013-11-08,106.05
2013-11-11,104.8
2013-11-12,103.35
2013-11-13,101.05
2013-11-14,102.9
2013-11-18,102.1
2013-11-19,100.25
2013-11-20,101.65
2013-11-21,100.25
2013-11-22,100.65
2013-11-25,103.2
2013-11-26,101.85
2013-11-27,101.05
2013-11-28,100.5
2013-11-29,101.0
2013-12-02,121.2
2013-12-03,144.95
2013-12-04,132.55
2013-12-05,133.1
2013-12-06,129.4
2013-12-09,128.35
2013-12-10,124.85
2013-12-11,122.35
2013-12-12,134.35
2013-12-13,126.15
2013-12-16,125.8
2013-12-17,123.8
2013-12-18,122.7
2013-12-19,119.85
2014-03-03,99.55
2014-03-04,100.0
2014-03-05,100.65
2014-03-06,101.3
2014-03-07,102.1
2014-03-10,112.3
2014-03-11,110.5
2014-03-12,112.05
2014-03-13,113.3
2014-03-14,112.1
2014-03-18,112.1
2014-03-19,111.3
2014-03-20,109.4
2014-03-21,112.8
2014-03-22,113.25
2014-03-24,114.0
2014-03-25,111.9
2014-03-26,111.95
2014-03-27,114.3
2014-03-28,113.45
2014-03-31,120.05
2014-04-01,131.0
2014-04-02,132.6
2014-04-03,134.0
2014-04-04,147.4
2014-04-07,141.45
2014-04-09,136.8
2014-04-10,133.35
2014-04-11,134.6
2014-08-06,226.05
2014-08-07,222.35
2014-08-08,211.25
2014-08-11,219.25
2014-08-12,218.95
2014-08-13,213.8
2014-08-14,215.4
2014-08-18,214.7
2014-08-19,222.4
2014-08-20,226.15
2014-08-21,234.8
2014-08-22,246.5
2014-08-25,242.55
2014-08-26,235.55
2014-08-27,235.35
2014-08-28,234.6
2014-09-01,238.75
2014-09-02,237.25
2014-09-03,225.4
2014-09-04,224.05
2014-09-05,214.65
2014-09-08,212.65
2014-09-09,215.6
2014-09-10,210.7
2014-09-11,217.3
2014-09-12,215.85
2014-09-15,212.9
2014-09-16,207.5
2014-09-17,205.15
2014-09-18,201.8
2014-09-19,205.85
2014-09-22,201.95
2014-09-23,195.2
2014-09-24,184.05
2014-09-25,168.0
2014-09-26,159.0
2014-09-29,163.0
2014-09-30,166.55
2014-10-01,174.85
2014-10-07,183.55
2014-10-08,186.6
2014-10-09,194.3
2014-10-10,203.55
2014-10-13,197.9
2014-10-14,190.6
2014-10-16,181.15
2014-10-17,177.35
2014-10-20,171.85
2014-10-21,179.9
2014-10-22,188.85
2014-10-23,195.95
2014-10-27,205.7
2014-10-28,209.25
2014-10-29,203.45
2014-10-30,196.8
2014-10-31,198.6
2014-11-03,201.45
2014-11-05,204.7
2014-11-07,201.4
2014-11-10,200.5
2014-11-11,195.3
2014-11-12,197.25
2014-11-13,191.4
2014-11-14,189.8
2014-11-17,200.35
2014-11-18,197.3
2014-11-19,200.4
2014-11-20,195.35
2014-11-21,186.5
2014-11-24,191.4
2014-11-25,189.35
2014-11-26,184.85
2014-11-27,182.95
2014-11-28,180.25
2014-12-01,177.1
2014-12-02,174.95
2014-12-03,175.5
2014-12-04,175.7
2014-12-05,177.95
2014-12-08,173.55
2014-12-09,174.7
2014-12-10,172.7
2014-12-11,170.15
2014-12-12,170.45
2014-12-15,168.15
2014-12-16,169.0
2014-12-17,171.8
2014-12-18,175.5
2014-12-19,210.6
2014-12-22,245.0
2014-12-23,227.4
2014-12-24,232.75
2014-12-26,236.65
2014-12-29,233.1
2014-12-30,215.05
2014-12-31,208.15
2015-01-01,214.35
2015-01-02,218.55
2015-01-05,224.85
2015-01-06,217.2
2015-01-07,215.05
2015-01-08,212.05
2015-01-09,202.35
2015-01-12,182.95
2015-01-13,178.4
2015-01-14,177.25
2015-01-15,176.5
2015-01-16,175.15
2015-01-19,173.5
2015-01-20,168.75
2015-01-21,170.35
2015-01-22,164.3
2015-01-23,158.0
2015-01-27,157.9
2015-01-28,150.45
2015-01-29,146.5
2015-01-30,145.15
2015-02-02,143.7
2015-02-03,140.5
2015-02-04,142.45
2015-02-05,149.55
2015-02-06,156.2
2015-02-09,148.4
2015-02-10,146.05
2015-02-11,149.5
2015-02-12,143.25
2015-02-13,140.7
2015-02-16,137.85
2015-02-18,141.85
2015-02-19,143.75
2015-02-20,145.45
2015-02-23,151.5
2015-02-24,148.55
2015-02-25,145.85
2015-02-26,147.4
2015-02-27,147.65
2015-02-28,147.4
2015-03-02,147.65
2015-03-03,146.15
2015-03-04,147.0
2015-03-05,152.35
2015-03-09,162.0
2015-03-10,160.15
2015-03-11,158.7
2015-03-12,159.75
2015-03-13,155.25
2015-03-16,152.15
2015-03-17,148.25
2015-03-18,149.2
2015-03-19,148.1
2015-03-20,145.5
2015-03-23,136.9
2015-03-24,137.15
2015-03-25,131.8
2015-03-26,128.45
2015-03-27,122.75
2015-03-30,128.15
2015-03-31,124.95
2015-04-01,137.4
2015-04-06,130.85
2015-04-07,131.45
2015-04-08,150.55
2015-04-09,147.8
2015-04-10,141.75
2015-04-13,141.05
2015-04-15,153.1
2015-04-16,144.95
2015-04-17,140.6
2015-04-20,140.05
2015-04-21,139.6
2015-04-22,140.7
2015-04-23,140.7
2015-04-24,135.7
2015-04-27,131.3
2015-04-28,132.75
2015-04-29,132.0
2015-04-30,130.45
2015-05-04,136.5
2015-05-05,137.55
2015-05-06,131.35
2015-05-07,128.6
2015-05-08,131.95
2015-05-11,139.95
2015-05-12,134.05
2015-05-13,144.25
2015-05-14,146.75
2015-05-15,140.75
2015-05-18,140.45
2015-05-19,138.95
2015-05-20,137.8
2015-05-21,135.05
2015-05-22,141.45
2015-05-25,136.4
2015-05-26,132.45
2015-05-27,134.55
2015-05-28,133.65
2015-05-29,133.45
2015-06-01,129.75
2015-06-02,132.3
2015-06-03,121.15
2015-06-04,122.75
2015-06-05,121.85
2015-06-08,121.0
2015-06-09,117.05
2015-06-10,118.25
2015-06-11,115.75
2015-06-12,113.95
2015-06-15,114.75
2015-06-16,114.55
2015-06-17,119.5
2015-06-18,121.3
2015-06-19,122.9
2015-06-22,126.05
2015-06-23,128.7
2015-06-24,127.55
2015-06-25,125.15
2015-06-26,122.75
2015-06-29,120.6
