Date,MOLDTKPAC
2015-02-23,242.75
2015-02-24,243.1
2015-02-25,233.35
2015-02-26,223.05
2015-02-27,225.85
2015-02-28,225.3
2015-03-02,225.35
2015-03-03,226.4
2015-03-04,225.3
2015-03-05,224.65
2015-03-09,225.7
2015-03-10,224.8
2015-03-11,219.1
2015-03-12,238.0
2015-03-13,227.1
2015-03-16,220.1
2015-03-17,217.5
2015-03-18,217.75
2015-03-19,221.05
2015-03-20,219.45
2015-03-23,217.1
2015-03-24,209.05
2015-03-25,205.7
2015-03-26,210.25
2015-03-27,204.0
2015-03-30,211.55
2015-03-31,211.95
2015-04-01,213.65
2015-04-06,224.25
2015-04-07,235.05
2015-04-08,241.4
2015-04-09,238.9
2015-04-10,232.2
2015-04-13,228.35
2015-04-15,227.9
2015-04-16,226.5
2015-04-17,229.05
2015-04-20,225.15
2015-04-21,221.45
2015-04-22,214.15
2015-04-23,218.3
2015-04-24,211.15
2015-04-27,200.15
2015-04-28,202.7
2015-04-29,206.1
2015-04-30,202.9
2015-05-04,202.45
2015-05-05,201.65
2015-05-06,196.25
2015-05-07,184.55
2015-05-08,198.3
2015-05-11,200.05
2015-05-12,190.3
2015-05-13,196.55
2015-05-14,196.75
2015-05-15,205.4
2015-05-18,210.25
2015-05-19,203.4
2015-05-20,196.9
2015-05-21,197.75
2015-05-22,193.4
2015-05-25,189.05
2015-05-26,188.95
2015-05-27,181.85
2015-05-28,178.8
2015-05-29,183.9
2015-06-01,201.3
2015-06-02,197.45
2015-06-03,188.1
2015-06-04,189.35
2015-06-05,187.95
2015-06-08,183.2
2015-06-09,183.6
2015-06-10,183.75
2015-06-11,182.45
2015-06-12,181.65
2015-06-15,182.3
2015-06-16,181.35
2015-06-17,181.1
2015-06-18,178.15
2015-06-19,182.75
2015-06-22,178.05
2015-06-23,175.7
2015-06-24,171.85
2015-06-25,173.2
2015-06-26,171.55
2015-06-29,166.35
2015-06-30,175.35
2015-07-01,179.35
2015-07-02,187.55
2015-07-03,199.0
2015-07-06,190.55
2015-07-07,191.25
2015-07-08,189.2
2015-07-09,189.9
2015-07-10,191.7
2015-07-13,191.4
2015-07-14,189.0
2015-07-15,202.45
2015-07-16,198.6
2015-07-17,192.35
2015-07-20,196.65
2015-07-21,195.6
2015-07-22,195.25
2015-07-23,194.45
2015-07-24,192.55
2015-07-27,190.55
2015-07-28,194.4
2015-07-29,195.4
2015-07-30,194.15
2015-07-31,214.9
2015-08-03,231.9
2015-08-04,239.0
2015-08-05,250.2
2015-08-06,241.1
2015-08-07,238.0
2015-08-10,228.45
2015-08-11,222.05
2015-08-12,213.55
2015-08-13,220.2
2015-08-14,225.1
2015-08-17,233.45
2015-08-18,231.45
2015-08-19,230.95
2015-08-20,240.5
2015-08-21,235.9
2015-08-24,210.3
2015-08-25,208.3
2015-08-26,210.5
2015-08-27,219.35
2015-08-28,216.6
2015-08-31,213.65
2015-09-01,209.0
2015-09-02,208.25
2015-09-03,214.45
2015-09-04,208.8
2015-09-07,206.35
2015-09-08,207.1
2015-09-09,207.4
2015-09-10,212.85
2015-09-11,214.5
2015-09-14,215.25
2015-09-15,216.7
2015-09-16,214.65
2015-09-18,212.85
2015-09-21,212.3
2015-09-22,210.45
2015-09-23,207.65
2015-09-24,213.25
2015-09-28,214.0
2015-09-29,214.3
2015-09-30,213.55
2015-10-01,210.65
