Date,ORIENTREF
2013-01-01,37.8
2013-01-02,38.3
2013-01-03,38.7
2013-01-04,40.45
2013-01-07,40.7
2013-01-08,40.1
2013-01-09,39.95
2013-01-10,39.85
2013-01-11,38.85
2013-01-14,39.05
2013-01-15,36.6
2013-01-16,38.75
2013-01-17,38.8
2013-01-18,38.9
2013-01-21,38.85
2013-01-22,38.55
2013-01-23,38.5
2013-01-24,38.3
2013-01-25,37.95
2013-01-28,37.65
2013-01-29,37.4
2013-01-30,37.6
2013-01-31,37.6
2013-02-01,37.6
2013-02-04,37.65
2013-02-05,37.75
2013-02-06,37.75
2013-02-07,37.75
2013-02-08,37.8
2013-02-11,38.05
2013-02-12,38.1
2013-02-13,38.55
2013-02-14,38.75
2013-02-15,38.85
2013-02-18,39.0
2013-02-19,38.9
2013-02-20,38.8
2013-02-21,38.6
2013-02-22,38.8
2013-02-25,38.75
2013-02-26,38.75
2013-02-27,38.8
2013-02-28,38.8
2013-03-01,38.75
2013-03-04,38.75
2013-03-05,38.75
2013-03-06,38.7
2013-03-07,38.7
2013-03-08,38.6
2013-03-11,38.85
2013-03-12,38.85
2013-03-13,38.85
2013-03-14,38.9
2013-03-15,38.85
2013-03-18,38.7
2013-03-19,38.6
2013-03-20,38.6
2013-03-21,38.65
2013-03-22,38.6
2013-03-25,38.6
2013-03-26,38.55
2013-03-28,38.55
2013-04-01,39.0
2013-04-02,39.25
2013-04-03,39.05
2013-04-04,38.75
2013-04-05,38.65
2013-04-08,38.2
2013-04-09,34.95
2013-04-10,35.1
2013-04-11,35.5
2013-04-12,35.65
2013-04-15,35.65
2013-04-16,34.8
2013-04-17,35.15
2013-04-18,36.0
2013-04-22,34.95
2013-04-23,30.3
2013-04-25,28.75
2013-04-26,29.15
2013-04-29,29.6
2013-04-30,31.35
2013-05-02,32.0
2013-05-03,33.0
2013-05-06,32.25
2013-05-07,32.5
2013-05-08,31.5
2013-05-09,31.2
2013-05-10,31.3
2013-05-11,31.2
2013-05-13,31.0
2013-05-14,31.05
2013-05-15,31.5
2013-05-16,31.65
2013-05-17,31.8
2013-05-20,31.65
2013-05-21,31.65
2013-05-22,31.6
2013-05-23,31.7
2013-05-24,31.55
2013-05-27,31.5
2013-05-28,31.5
2013-05-29,31.5
2013-05-30,31.05
2013-05-31,31.0
2013-06-03,30.7
2013-06-04,30.2
2013-06-05,30.65
2013-06-06,29.75
2013-06-07,29.5
2013-06-10,30.0
2013-06-11,29.85
2013-06-12,29.75
2013-06-13,29.05
2013-06-17,29.15
2013-06-18,28.85
2013-06-19,29.1
2013-06-20,28.4
2013-06-21,29.05
2013-06-24,27.35
2013-06-25,26.8
2013-06-26,26.65
2013-06-27,26.7
2013-06-28,26.2
2013-07-01,26.65
2013-07-02,26.3
2013-07-03,26.95
2013-07-04,26.8
2013-07-08,26.25
2013-07-09,26.4
2013-07-10,26.9
2013-07-11,27.85
2013-07-12,26.5
2013-07-15,27.2
2013-07-16,27.9
2013-07-17,27.7
2013-07-18,28.2
2013-07-19,28.0
2013-07-22,27.45
2013-07-23,27.8
2013-07-24,26.3
2013-07-25,27.5
2013-07-26,27.55
2013-07-29,27.4
2013-07-30,26.25
2013-07-31,25.55
2013-08-01,25.65
2013-08-02,25.05
2013-08-05,26.0
2013-08-06,24.5
2013-08-07,24.2
2013-08-08,25.5
2013-08-12,24.2
2013-08-13,24.75
2013-08-14,24.5
2013-08-16,23.7
2013-08-19,24.0
2013-08-20,24.0
2013-08-21,24.2
2013-08-22,23.75
2013-08-23,23.7
2013-08-26,24.1
2013-08-27,23.95
2013-08-28,23.8
2013-08-29,24.85
2013-08-30,25.0
2013-09-02,25.0
2013-09-03,24.6
2013-09-04,25.25
2013-09-05,25.45
2013-09-06,27.25
2013-09-10,25.3
2013-09-11,25.85
2013-09-12,26.0
2013-09-13,26.45
2013-09-16,27.0
2013-09-17,26.65
2013-09-18,25.75
2013-09-19,25.75
2013-09-20,25.55
2013-09-23,25.4
2013-09-24,26.4
2013-09-25,26.75
2013-09-26,26.7
2013-09-27,26.5
2013-09-30,25.9
2013-10-01,26.65
2013-10-03,26.7
2013-10-04,26.2
2013-10-07,28.3
2013-10-08,28.0
2013-10-09,28.05
2013-10-10,28.65
2013-10-11,28.75
2013-10-14,29.2
2013-10-15,29.0
2013-10-17,28.2
2013-10-18,27.9
2013-10-21,29.85
2013-10-22,29.8
2013-10-23,29.15
2013-10-24,29.8
2013-10-25,29.45
2013-10-28,29.75
2013-10-29,29.85
2013-10-30,30.85
2013-10-31,31.05
2013-11-01,30.95
2013-11-03,32.35
2013-11-05,34.4
2013-11-06,34.3
2013-11-07,33.65
2013-11-08,35.3
2013-11-11,36.95
2013-11-12,37.9
2013-11-13,36.3
2013-11-14,37.45
2013-11-18,39.7
2013-11-19,39.45
2013-11-20,39.2
2013-11-21,37.7
2013-11-22,37.4
2013-11-25,37.5
2013-11-26,37.0
2013-11-27,37.65
2013-11-28,37.5
2014-03-03,49.45
2014-03-04,50.7
2014-03-05,53.1
2014-03-06,55.75
2014-03-07,55.05
2014-03-10,54.1
2014-03-11,53.7
2014-03-12,53.75
2014-03-13,53.85
2014-03-14,54.6
2014-03-18,52.45
2014-03-19,51.9
2014-03-20,51.55
2014-03-21,51.95
2014-03-22,51.7
2014-03-24,51.05
2014-03-25,51.9
2014-03-26,52.7
2014-03-27,54.3
2014-03-28,58.85
2014-03-31,62.75
2014-04-01,62.95
2014-04-02,64.4
2014-04-03,63.4
2014-04-04,63.8
2014-04-07,68.45
2014-04-09,66.7
2014-04-10,64.4
2014-04-11,65.0
2014-04-15,64.45
2014-04-16,62.6
2014-04-17,63.9
2014-04-21,63.95
2014-04-22,63.15
2014-04-23,62.85
2014-04-25,60.95
2014-04-28,60.95
2014-04-29,62.4
2014-04-30,62.05
2014-05-02,60.7
2014-05-05,60.8
2014-05-06,62.0
2014-05-07,61.5
2014-05-08,62.05
2014-05-09,62.75
2014-05-12,62.95
2014-05-13,63.0
2014-05-14,63.0
2014-05-15,63.45
2014-05-16,65.4
2014-05-19,66.95
2014-05-20,74.9
2014-05-21,73.8
2014-05-22,72.35
2014-05-23,71.7
2014-05-26,68.15
2014-05-27,67.75
2014-05-28,66.95
2014-05-29,67.7
2014-05-30,66.3
2014-06-02,68.85
2014-06-03,69.95
2014-06-04,70.05
2014-06-05,73.6
2014-06-06,78.65
2014-06-09,82.85
2014-06-10,79.9
2014-06-11,78.25
2014-06-12,78.0
2014-06-13,77.25
2014-06-16,78.0
2014-06-17,78.9
2014-06-18,77.9
2014-06-19,74.55
2014-06-20,74.9
2014-06-23,77.35
2014-06-24,77.05
2014-06-25,81.05
2014-06-26,82.95
2014-06-27,85.3
2014-06-30,89.55
2014-07-01,93.75
2014-07-02,90.85
2014-07-03,91.6
2014-07-04,93.15
2014-07-07,92.55
2014-07-08,87.75
2014-07-09,88.5
2014-07-10,88.65
2014-07-11,86.05
2014-07-14,87.2
2014-07-15,89.1
2014-07-16,92.3
2014-07-17,90.75
2014-07-18,90.8
2014-07-21,88.5
2014-07-22,90.1
2014-07-23,88.85
2014-07-24,95.0
2014-07-25,96.0
2014-07-28,92.6
2014-07-30,95.85
2014-07-31,94.45
2014-08-01,91.6
2014-08-04,90.2
2014-08-05,89.0
2014-08-06,86.3
2014-08-07,86.05
2014-08-08,82.9
2014-08-11,81.5
2014-08-12,88.4
2014-08-13,88.15
2014-08-14,86.85
2014-08-18,89.15
2014-08-19,84.45
2014-08-20,88.25
2014-08-21,85.1
2014-08-22,87.8
2014-08-25,88.6
2014-08-26,86.65
2014-08-27,86.7
2014-08-28,87.8
2014-09-01,87.15
2014-09-02,86.8
2014-09-03,88.05
2014-09-04,88.05
2014-09-05,96.65
2014-09-08,100.0
2014-09-09,97.4
2014-09-10,95.1
2014-09-11,95.1
2014-09-12,97.1
2014-09-15,94.25
2014-09-16,92.5
2014-09-17,89.2
2014-09-18,89.65
2014-09-19,89.75
2014-09-22,95.15
2014-09-23,91.1
2014-09-24,88.1
2014-09-25,87.2
2014-09-26,87.2
2014-09-29,90.5
2014-09-30,88.25
2014-10-01,91.3
2014-10-07,87.7
2014-10-08,87.0
2014-10-09,86.4
2014-10-10,86.0
2014-10-13,87.9
2014-10-14,89.0
2014-10-16,83.95
2014-10-17,84.5
2014-10-20,87.65
2014-10-21,87.9
2014-10-22,87.5
2014-10-23,93.75
2014-10-27,95.7
2014-10-28,94.95
2014-10-29,94.35
2014-10-30,95.4
2014-10-31,98.35
2014-11-03,100.35
2014-11-05,100.05
2014-11-07,101.1
2014-11-10,101.35
2014-11-11,101.3
2014-11-12,102.65
2014-11-13,97.0
2014-11-14,97.1
2014-11-17,97.3
2014-11-18,97.4
2014-11-19,99.25
2014-11-20,101.9
2014-11-21,105.4
2014-11-24,107.6
2014-11-25,103.6
2014-11-26,101.75
2014-11-27,101.95
2014-11-28,102.15
2014-12-01,102.9
2014-12-02,103.55
2014-12-03,103.7
2014-12-04,101.45
2014-12-05,100.55
2014-12-08,101.1
2014-12-09,98.9
2014-12-10,98.75
2014-12-11,100.05
2014-12-12,98.0
2014-12-15,94.5
2014-12-16,91.0
2014-12-17,87.6
2014-12-18,91.7
2014-12-19,93.5
2014-12-22,93.85
2014-12-23,92.55
2014-12-24,93.3
2014-12-26,93.55
2014-12-29,92.3
2014-12-30,92.1
2014-12-31,95.0
2015-01-01,95.3
2015-01-02,95.75
2015-01-05,94.15
2015-01-06,91.55
2015-01-07,90.15
2015-01-08,91.95
2015-01-09,94.25
2015-01-12,95.25
2015-01-13,96.0
2015-01-14,96.2
