Date,GTL
2013-01-01,27.9
2013-01-02,28.2
2013-01-03,28.6
2013-01-04,28.5
2013-01-07,28.6
2013-01-08,28.65
2013-01-09,28.1
2013-01-10,27.8
2013-01-11,26.85
2013-01-14,27.25
2013-01-15,27.25
2013-01-16,26.65
2013-01-17,26.5
2013-01-18,26.1
2013-01-21,26.0
2013-01-22,24.55
2013-01-23,25.2
2013-01-24,24.15
2013-01-25,24.3
2013-01-28,24.4
2013-01-29,24.1
2013-01-30,23.75
2013-01-31,23.65
2013-02-01,23.7
2013-02-04,23.4
2013-02-05,23.05
2013-02-06,25.1
2013-02-07,24.15
2013-02-08,23.5
2013-02-11,23.7
2013-02-12,23.25
2013-02-13,23.0
2013-02-14,22.0
2013-02-15,21.6
2013-02-18,22.3
2013-02-19,22.4
2013-02-20,22.4
2013-02-21,21.8
2013-02-22,21.9
2013-02-25,21.25
2013-02-26,20.85
2013-02-27,20.45
2013-02-28,19.8
2013-03-01,19.4
2013-03-04,18.4
2013-03-05,18.65
2013-03-06,19.2
2013-03-07,19.25
2013-03-08,19.45
2013-03-11,20.15
2013-03-12,20.4
2013-03-13,19.8
2013-03-14,19.6
2013-03-15,19.1
2013-03-18,18.7
2013-03-19,18.1
2013-03-20,16.9
2013-03-21,16.2
2013-03-22,15.6
2013-03-25,15.1
2013-03-26,15.1
2013-03-28,14.85
2013-04-01,15.6
2013-04-02,16.55
2013-04-03,16.75
2013-04-04,16.1
2013-04-05,15.9
2013-04-08,16.1
2013-04-09,15.7
2013-04-10,15.7
2013-04-11,16.15
2013-04-12,16.0
2013-04-15,16.0
2013-04-16,16.3
2013-04-17,16.4
2013-04-18,16.25
2013-04-22,16.3
2013-04-23,16.4
2013-04-25,16.3
2013-04-26,15.9
2013-04-29,16.05
2013-04-30,16.0
2013-05-02,16.8
2013-05-03,16.95
2013-05-06,18.45
2013-05-07,19.4
2013-05-08,18.75
2013-05-09,19.0
2013-05-10,18.6
2013-05-11,18.5
2013-05-13,17.45
2013-05-14,17.1
2013-05-15,17.45
2013-05-16,17.8
2013-05-17,18.8
2013-05-20,18.2
2013-05-21,17.85
2013-05-22,17.4
2013-05-23,16.45
2013-05-24,16.4
2013-05-27,16.35
2013-05-28,16.3
2013-05-29,16.7
2013-05-30,16.3
2013-05-31,15.9
2013-06-03,15.3
2013-06-04,15.55
2013-06-05,15.6
2013-06-06,15.85
2013-06-07,15.35
2013-06-10,15.1
2013-06-11,14.85
2013-06-12,14.75
2013-06-13,14.35
2013-06-14,14.4
2013-06-17,14.6
2013-06-18,14.7
2013-06-19,14.75
2013-06-20,14.25
2013-06-21,16.55
2013-06-24,15.25
2013-06-25,14.8
2013-06-26,14.0
2013-06-27,14.55
2013-06-28,14.65
2013-07-01,15.2
2013-07-02,15.15
2013-07-03,14.85
2013-07-04,14.7
2013-07-05,14.65
2013-07-08,14.45
2013-07-09,14.6
2013-07-10,14.5
2013-07-11,15.05
2013-07-12,15.6
2013-07-15,16.7
2013-07-16,16.5
2013-07-17,16.35
2013-07-18,15.9
2013-07-19,15.6
2013-07-22,15.0
2013-07-23,14.9
2013-07-24,14.6
2013-07-25,14.35
2013-07-26,14.05
2013-07-29,14.25
2013-07-30,13.75
2013-07-31,12.6
2013-08-01,12.1
2013-08-02,12.15
2013-08-05,11.95
2013-08-06,11.4
2013-08-07,11.25
2013-08-08,11.9
2013-08-12,12.05
2013-08-13,12.7
2013-08-14,12.85
2013-08-16,12.05
2013-08-19,11.95
2013-08-20,12.15
2013-08-21,11.7
2013-08-22,11.95
2013-08-23,11.95
2013-08-26,11.95
2013-08-27,11.65
2013-08-28,11.5
2013-08-29,11.45
2013-08-30,11.3
2013-09-02,12.6
2013-09-03,12.1
2013-09-04,11.9
2013-09-05,12.35
2013-09-06,12.55
2013-09-10,12.1
2013-09-11,12.55
2013-09-12,12.95
2013-09-13,12.95
2013-09-16,12.9
2013-09-17,12.7
2013-09-18,13.35
2013-09-19,13.1
2013-09-20,12.1
2013-09-23,12.05
2013-09-24,12.2
2013-09-25,11.9
2013-09-26,12.0
2013-09-27,12.1
2013-09-30,11.85
2013-10-01,11.9
2013-10-03,12.05
2013-10-04,11.95
2013-10-07,11.9
2013-10-08,11.95
2013-10-09,12.55
2013-10-10,12.9
2013-10-11,12.7
2013-10-14,12.55
2013-10-15,12.45
2013-10-17,13.0
2013-10-18,12.9
2013-10-21,14.45
2013-10-22,15.8
2013-10-23,15.1
2013-10-24,15.45
2013-10-25,14.9
2013-10-28,15.55
2013-10-29,14.95
2013-10-30,15.3
2013-10-31,15.2
2013-11-01,15.0
2013-11-03,15.25
2013-11-05,15.05
2013-11-06,15.05
2013-11-07,14.9
2013-11-08,14.85
2013-11-11,14.4
2013-11-12,13.75
2013-11-13,14.4
2013-11-14,14.25
2013-11-18,14.75
2013-11-19,14.4
2013-11-20,14.35
2013-11-21,13.8
2013-11-22,13.65
2013-11-25,13.95
2013-11-26,13.65
2013-11-27,13.35
2013-11-28,13.4
2013-11-29,13.65
2013-12-02,13.7
2013-12-03,13.8
2013-12-04,13.9
2013-12-05,14.05
2013-12-06,14.0
2013-12-09,13.9
2013-12-10,13.65
2013-12-11,13.4
2013-12-12,13.5
2013-12-13,13.15
2013-12-16,13.1
2013-12-17,13.1
2013-12-18,13.1
2013-12-19,12.85
2013-12-20,13.0
2013-12-23,13.35
2013-12-24,13.4
2013-12-26,14.8
2013-12-27,14.5
2013-12-30,16.55
2013-12-31,19.7
2014-01-01,18.8
2014-01-02,17.85
2014-01-03,17.45
2014-01-06,18.15
2014-01-07,17.95
2014-01-08,17.75
2014-01-09,17.0
2014-01-10,16.3
2014-01-13,16.55
