Date,AMJLAND
2013-01-01,14.15
2013-01-02,14.25
2013-01-03,14.4
2013-01-04,14.25
2013-01-07,14.5
2013-01-08,15.0
2013-01-09,15.45
2013-01-10,15.05
2013-01-11,15.1
2013-01-14,14.65
2013-01-15,14.6
2013-01-16,14.5
2013-01-17,14.1
2013-01-18,13.95
2013-01-21,14.0
2013-01-22,13.75
2013-01-23,13.6
2013-01-24,14.2
2013-01-25,14.75
2013-01-28,14.7
2013-01-29,14.55
2013-01-30,14.15
2013-01-31,14.45
2013-02-01,14.45
2013-02-04,14.5
2013-02-05,14.5
2013-02-06,14.65
2013-02-07,14.65
2013-02-08,14.45
2013-02-11,13.75
2013-02-12,14.3
2013-02-13,14.2
2013-02-14,13.9
2013-02-15,14.2
2013-02-18,14.2
2013-02-19,13.7
2013-02-20,13.85
2013-02-21,13.45
2013-02-22,13.75
2013-02-25,13.45
2013-02-26,13.65
2013-02-27,13.8
2013-02-28,13.45
2013-03-01,13.5
2013-03-04,13.5
2013-03-05,13.15
2013-03-06,13.45
2013-03-07,13.25
2013-03-08,13.8
2013-03-11,13.8
2013-03-12,13.25
2013-03-13,12.8
2013-03-14,12.6
2013-03-15,12.8
2013-03-18,12.1
2013-03-19,12.6
2013-03-20,12.3
2013-03-21,11.95
2013-03-22,11.7
2013-03-25,10.95
2013-03-26,10.7
2013-03-28,11.05
2013-04-01,12.7
2013-04-02,11.75
2013-04-03,11.65
2013-04-04,11.2
2013-04-05,11.0
2013-04-08,11.4
2013-04-09,10.75
2013-04-10,10.6
2013-04-11,10.4
2013-04-12,11.0
2013-04-15,11.85
2013-04-16,12.0
2013-04-17,10.7
2013-04-18,10.05
2013-04-22,10.4
2013-04-23,10.45
2013-04-25,10.35
2013-04-26,10.0
2013-04-29,10.0
2013-04-30,10.0
2013-05-02,9.7
2013-05-03,10.1
2013-05-06,10.2
2013-05-07,10.45
2013-05-08,10.95
2013-05-09,10.55
2013-05-10,11.45
2013-05-13,10.9
2013-05-14,10.9
2013-05-15,10.5
2013-05-16,10.4
2013-05-17,10.3
2013-05-20,10.95
2013-05-21,10.9
2013-05-22,11.05
2013-05-23,11.4
2013-05-24,12.3
2013-05-27,13.6
2013-05-28,13.75
2013-05-29,13.45
2013-05-30,13.4
2013-05-31,13.0
2013-06-03,13.0
2013-06-04,13.0
2013-06-05,13.1
2013-06-06,13.3
2013-06-07,13.9
2013-06-10,13.65
2013-06-11,13.5
2013-06-12,13.15
2013-06-13,12.2
2013-06-14,12.0
2013-06-17,11.55
