Date,PUNJABCHEM
2013-01-01,53.55
2013-01-02,53.4
2013-01-03,53.7
2013-01-04,54.9
2013-01-07,55.6
2013-01-08,54.7
2013-01-09,54.95
2013-01-10,54.5
2013-01-11,54.1
2013-01-14,54.55
2013-01-15,55.0
2013-01-16,53.85
2013-01-17,54.0
2013-01-18,55.0
2013-01-21,54.75
2013-01-22,55.0
2013-01-23,52.5
2013-01-24,53.0
2013-01-25,52.55
2013-01-28,52.8
2013-01-29,51.45
2013-01-30,53.35
2013-01-31,51.6
2013-02-01,51.85
2013-02-04,54.0
2013-02-05,53.75
2013-02-06,54.1
2013-02-07,51.9
2013-02-08,51.95
2013-02-11,52.55
2013-02-12,51.5
2013-02-13,52.05
2013-02-14,51.0
2013-02-15,49.25
2013-02-18,49.0
2013-02-19,49.75
2013-02-20,48.3
2013-02-21,49.3
2013-02-22,49.0
2013-02-25,49.1
2013-02-26,48.8
2013-02-27,50.95
2013-02-28,49.45
2013-03-01,49.25
2013-03-04,47.8
2013-03-05,48.25
2013-03-06,50.35
2013-03-07,50.55
2013-03-08,50.95
2013-03-11,52.0
2013-03-12,53.3
2013-03-13,52.05
2013-03-14,52.6
2013-03-15,52.05
2013-03-18,52.95
2013-03-19,52.8
2013-03-20,51.7
2013-03-21,50.15
2013-03-22,48.05
2013-03-25,47.0
2013-03-26,49.65
2013-03-28,45.85
2013-04-01,48.6
2013-04-02,48.6
2013-04-03,49.3
2013-04-04,46.35
2013-04-05,45.0
2013-04-08,47.1
2013-04-09,45.7
2013-04-10,44.9
2013-04-11,47.15
2013-04-12,48.05
2013-04-15,47.65
2013-04-16,47.25
2013-04-17,45.3
2013-04-18,46.05
2013-04-22,45.25
2013-04-23,45.75
2013-04-25,48.5
2013-04-26,49.0
2013-04-29,49.25
2013-04-30,49.2
2013-05-02,50.45
2013-05-03,50.05
2013-05-06,50.25
2013-05-07,49.25
2013-05-08,51.3
2013-05-09,50.55
2013-05-10,52.35
2013-05-11,49.95
2013-05-13,50.5
2013-05-14,50.0
2013-05-15,50.0
2013-05-16,50.1
2013-05-17,50.1
2013-05-20,50.15
2013-05-21,50.05
2013-05-22,50.5
2013-05-23,50.0
2013-05-24,50.0
2013-05-27,50.0
2013-05-28,50.25
2013-05-29,49.9
2013-05-30,48.95
2013-05-31,48.85
2013-06-03,48.25
2013-06-04,48.25
2013-06-05,47.5
2013-06-06,47.55
2013-06-07,48.75
2013-06-10,47.5
2013-06-11,48.8
2013-06-12,45.15
2013-06-13,47.45
2013-06-14,46.75
2013-06-17,47.0
2013-06-18,46.5
2013-06-19,46.15
2013-06-20,46.0
2013-06-21,46.0
2013-06-24,46.2
2013-06-25,45.0
2013-06-26,45.0
2013-06-27,45.05
2013-06-28,45.0
2013-07-01,45.05
2013-07-02,44.3
2013-07-03,46.55
2013-07-04,45.85
2013-07-05,46.85
2013-07-08,41.25
2013-07-09,44.1
2013-07-16,44.0
2013-07-17,44.0
2013-07-18,37.05
2013-07-19,36.5
2013-07-23,43.8
2013-07-24,37.5
2013-07-25,37.0
2013-07-29,33.0
2013-07-30,32.1
2013-07-31,32.1
2013-08-01,30.0
2013-08-05,28.05
2013-08-06,27.5
2013-08-07,25.0
2013-08-08,25.0
2013-08-14,27.5
2013-08-16,30.25
2013-08-19,29.05
2013-08-20,31.95
2013-08-21,33.5
2013-08-23,31.9
2013-08-27,31.9
2014-03-03,63.9
2014-03-04,65.7
2014-03-05,68.95
2014-03-06,72.35
2014-03-07,71.8
2014-03-10,72.8
2014-03-11,71.05
2014-03-12,70.05
2014-03-13,70.05
2014-03-14,70.6
2014-03-18,70.2
2014-03-19,69.8
2014-03-20,69.35
2014-03-21,68.85
2014-03-22,70.55
2014-03-24,69.45
2014-03-25,69.0
2014-03-26,68.5
2014-03-27,69.3
2014-03-28,72.75
2014-03-31,76.1
2014-04-01,74.95
2014-04-02,75.0
2014-04-03,75.85
2014-04-04,77.7
2014-04-07,75.0
2014-04-09,74.45
2014-04-10,74.9
2014-04-11,73.6
2014-04-15,72.5
2014-04-16,70.75
2014-04-17,70.9
2014-04-21,71.9
2014-04-22,72.65
2014-04-23,71.5
2014-04-25,71.5
2014-04-28,72.85
2014-04-29,73.35
2014-04-30,70.55
2014-05-02,70.1
2014-05-05,72.0
2014-05-06,70.0
2014-05-07,70.6
2014-05-08,71.0
2014-05-09,70.05
2014-05-12,69.75
2014-05-13,67.55
2014-05-14,67.65
2014-05-15,67.0
2014-05-16,66.1
2014-05-19,72.35
2014-05-20,75.75
2014-05-21,80.35
2014-05-22,81.9
2014-05-23,82.45
2014-05-26,78.15
2014-05-27,76.95
2014-05-28,77.85
2014-05-29,75.75
2014-05-30,68.2
2014-06-02,64.65
2014-06-03,65.9
2014-06-04,67.7
2014-06-05,70.65
2014-06-06,69.4
2014-06-09,70.05
2014-06-10,69.9
2014-06-11,68.4
2014-06-12,71.05
2014-06-13,70.35
2014-06-16,69.0
2014-06-17,68.6
2014-06-18,68.5
2014-06-19,67.35
2014-06-20,69.55
2014-06-23,68.65
2014-06-24,72.25
2014-06-25,74.15
2014-06-26,74.25
2014-06-27,75.2
2014-06-30,78.25
2014-07-01,81.9
2014-07-02,88.25
2014-07-03,90.45
2014-07-04,99.45
2014-07-07,104.4
2014-07-08,99.7
2014-07-09,94.75
2014-07-10,93.9
2014-07-11,89.25
