Date,BALMLAWRIE
2013-01-01,685.65
2013-01-02,687.5
2013-01-03,680.9
2013-01-04,674.8
2013-01-07,668.15
2013-01-08,678.15
2013-01-09,681.75
2013-01-10,673.4
2013-01-11,675.5
2013-01-14,674.7
2013-01-15,670.65
2013-01-16,668.65
2013-01-17,669.6
2013-01-18,676.25
2013-01-21,675.15
2013-01-22,665.85
2013-01-23,665.15
2013-01-24,655.0
2013-01-25,659.1
2013-01-28,656.65
2013-01-29,661.45
2013-01-30,654.1
2013-01-31,662.45
2013-02-01,660.3
2013-02-04,666.9
2013-02-05,648.15
2013-02-06,631.6
2013-02-07,624.7
2013-02-08,620.9
2013-02-11,619.4
2013-02-12,628.4
2013-02-13,630.0
2013-02-14,629.7
2013-02-15,624.9
2013-02-18,630.0
2013-02-19,641.85
2013-02-20,637.85
2013-02-21,629.15
2013-02-22,633.5
2013-02-25,628.15
2013-02-26,624.4
2013-02-27,624.05
2013-02-28,612.7
2013-03-01,601.95
2013-03-04,577.1
2013-03-05,588.9
2013-03-06,597.4
2013-03-07,594.5
2013-03-08,609.6
2013-03-11,610.6
2013-03-12,596.5
2013-03-13,597.2
2013-03-14,604.45
2013-03-15,593.25
2013-03-18,583.95
2013-03-19,586.6
2013-03-20,577.45
2013-03-21,614.65
2013-03-22,607.15
2013-03-25,598.05
2013-03-26,609.6
2013-03-28,605.2
2013-04-01,619.05
2013-04-02,625.35
2013-04-03,624.6
2013-04-04,624.65
2013-04-05,623.0
2013-04-08,626.0
2013-04-09,623.65
2013-04-10,621.6
2013-04-11,623.5
2013-04-12,626.25
2013-04-15,635.95
2013-04-16,648.15
2013-04-17,649.7
2013-04-18,649.55
2013-04-22,650.75
2013-04-23,654.05
2013-04-25,664.45
2013-04-26,664.35
2013-04-29,670.45
2013-04-30,672.9
2013-05-02,676.5
2013-05-03,667.0
2013-05-06,664.05
2013-05-07,677.35
2013-05-08,669.65
2013-05-09,677.75
2013-05-10,683.3
2013-05-11,687.2
2013-05-13,673.7
2013-05-14,674.85
2013-05-15,684.7
2013-05-16,693.95
