Date,BALAJITELE
2013-01-01,52.55
2013-01-02,53.85
2013-01-03,58.7
2013-01-04,60.0
2013-01-07,60.1
2013-01-08,58.8
2013-01-09,60.05
2013-01-10,62.4
2013-01-11,62.1
2013-01-14,61.75
2013-01-15,59.35
2013-01-16,54.95
2013-01-17,54.9
2013-03-01,43.6
2013-03-04,42.05
2013-03-05,43.1
2013-03-06,43.5
2013-03-07,43.45
2013-03-08,44.55
2013-03-11,44.95
2013-03-12,44.0
2013-03-13,43.15
2013-03-14,43.45
2013-03-15,42.85
2013-03-18,42.45
2013-03-19,42.4
2013-03-20,41.95
2013-03-21,43.35
2013-03-22,41.8
2013-03-25,41.7
2013-03-26,41.4
2013-03-28,42.25
2013-04-01,44.65
2013-04-02,46.6
2013-04-03,45.6
2013-04-04,43.6
2013-04-05,43.45
2013-04-08,43.65
2013-04-09,43.75
2013-04-10,43.0
2013-04-11,42.7
2013-04-12,42.5
2013-04-15,41.6
2013-04-16,42.1
2013-04-17,43.25
2013-04-18,42.45
2013-04-22,43.85
2013-04-23,43.55
2013-04-25,44.55
2013-04-26,44.65
2013-04-29,45.45
2013-04-30,46.0
2013-05-02,44.8
2013-05-03,43.9
2013-05-06,41.55
2013-05-07,41.45
2013-05-08,42.2
2013-05-09,40.95
2013-05-10,41.65
2013-05-11,41.2
2013-05-13,40.3
2013-05-14,39.5
2013-05-15,39.25
2013-05-16,38.4
2013-05-17,36.9
2013-05-20,37.05
2013-05-21,37.45
2013-05-22,36.7
2013-05-23,36.15
2013-05-24,36.65
2013-05-27,36.55
2013-05-28,37.9
2013-05-29,36.55
2013-05-30,36.45
2013-05-31,36.0
2013-06-03,35.15
2013-06-04,35.05
2013-06-05,36.35
2013-06-06,35.95
2013-06-07,35.9
2013-06-10,35.25
2013-06-11,33.9
2013-06-12,33.85
2013-06-13,33.1
2013-06-14,33.55
2013-06-17,33.5
2013-06-18,34.1
2013-06-19,36.45
2013-06-20,34.95
2013-06-21,34.8
2013-06-24,34.0
2013-06-25,32.8
2013-06-26,33.1
2013-06-27,33.4
2013-06-28,33.35
2013-07-01,35.15
2013-07-02,35.0
2013-07-03,34.2
2013-07-04,35.45
2013-07-05,35.8
2013-07-08,35.95
2013-07-09,35.95
2013-07-10,36.05
