Date,GOCLCORP
2014-07-10,175.45
2014-07-11,171.8
2014-07-14,167.7
2014-07-15,171.0
2014-07-16,175.65
2014-07-17,178.8
2014-07-18,172.95
2014-07-21,180.95
2014-07-22,176.1
2014-07-23,177.25
2014-07-24,171.1
2014-07-25,163.5
2014-07-28,157.55
2014-07-30,161.6
2014-07-31,154.25
2014-08-01,151.4
2014-08-04,153.3
2014-08-05,159.35
2014-08-06,153.5
2014-08-07,153.15
2014-08-08,151.2
2014-08-11,150.25
2014-08-12,140.9
2014-08-13,143.1
2014-08-14,139.7
2014-08-18,136.75
2014-08-19,139.05
2014-08-20,137.6
2014-08-21,139.05
2014-08-22,138.35
2014-08-25,132.95
2014-08-26,133.45
2014-08-27,132.25
2014-08-28,133.0
2014-09-01,135.6
2014-09-02,139.0
2014-09-03,166.8
2014-09-04,167.4
2014-09-05,163.15
2014-09-08,172.3
2014-09-09,169.8
2014-09-10,173.85
2014-09-11,174.7
2014-09-12,179.15
2014-09-15,180.55
2014-09-16,168.1
2014-09-17,165.15
2014-09-18,164.95
2014-09-19,162.75
2014-09-22,163.05
2014-09-23,155.6
2014-09-24,149.95
2014-09-25,151.75
2014-09-26,148.3
2014-09-29,147.25
2014-09-30,155.1
2014-10-01,154.0
2014-10-07,158.75
2014-10-08,164.65
2014-10-09,169.55
2014-10-10,172.6
2014-10-13,178.25
2014-10-14,179.7
2014-10-16,169.65
2014-10-17,167.2
2014-10-20,168.35
2014-10-21,163.95
2014-10-22,163.25
2014-10-23,165.3
2014-10-27,164.4
2014-10-28,165.0
2014-10-29,175.55
2014-10-30,173.6
2014-10-31,172.45
2014-11-03,174.95
2014-11-05,177.6
2014-11-07,174.35
2014-11-10,178.15
2014-11-11,179.9
2014-11-12,178.95
2014-11-13,174.65
2014-11-14,175.55
2014-11-17,171.7
2014-11-18,170.55
2014-11-19,181.1
2014-11-20,173.05
2014-11-21,174.35
2014-11-24,171.25
2014-11-25,167.4
2014-11-26,161.85
2014-11-27,159.6
2014-11-28,160.35
2014-12-01,158.25
2014-12-02,157.75
2014-12-03,155.75
2014-12-04,155.9
2014-12-05,157.7
2014-12-08,152.6
2014-12-09,153.6
2014-12-10,162.45
2014-12-11,165.65
2014-12-12,158.5
2014-12-15,158.45
2014-12-16,155.5
2014-12-17,151.35
2014-12-18,156.0
2014-12-19,153.45
2014-12-22,155.55
2014-12-23,150.85
2014-12-24,150.1
2014-12-26,149.0
2014-12-29,154.7
2014-12-30,153.65
2014-12-31,153.6
2015-01-01,163.6
2015-01-02,163.3
2015-01-05,163.85
2015-01-06,156.6
2015-01-07,153.25
2015-01-08,154.2
2015-01-09,155.05
2015-01-12,163.05
2015-01-13,175.75
2015-01-14,182.85
2015-01-15,178.85
2015-01-16,173.4
2015-01-19,170.0
2015-01-20,174.65
2015-01-21,171.8
2015-01-22,173.8
2015-01-23,167.1
2015-01-27,172.9
2015-01-28,167.95
2015-01-29,166.25
2015-01-30,167.4
2015-02-02,172.3
2015-02-03,169.15
2015-02-04,174.35
2015-02-05,169.6
2015-02-06,164.35
2015-02-09,160.35
2015-02-10,163.0
2015-02-11,160.9
2015-02-12,161.2
2015-02-13,157.55
2015-02-16,158.6
2015-02-18,163.4
2015-02-19,166.1
2015-02-20,161.15
2015-02-23,160.85
2015-02-24,162.7
2015-02-25,159.4
2015-02-26,164.7
2015-02-27,159.15
2015-02-28,160.2
2015-03-02,159.3
2015-03-03,160.45
2015-03-04,159.75
2015-03-05,158.95
2015-03-09,153.7
2015-03-10,152.65
2015-03-11,149.75
2015-03-12,145.95
2015-03-13,147.85
2015-03-16,140.7
2015-03-17,153.15
2015-03-18,139.6
2015-03-19,135.35
2015-03-20,134.35
2015-03-23,137.5
2015-03-24,130.5
2015-03-25,127.95
2015-03-26,123.55
2015-03-27,121.85
2015-03-30,123.0
2015-03-31,147.6
2015-04-01,159.9
2015-04-06,159.5
2015-04-07,160.65
2015-04-08,165.45
2015-04-09,167.9
2015-04-10,169.95
2015-04-13,170.45
2015-04-15,172.95
2015-04-16,171.55
2015-04-17,169.95
2015-04-20,169.95
2015-04-21,168.0
2015-04-22,166.35
2015-04-23,170.05
2015-04-24,157.7
2015-04-27,153.2
2015-04-28,156.15
2015-04-29,152.3
2015-04-30,160.45
2015-05-04,155.65
2015-05-05,155.8
2015-05-06,154.1
2015-05-07,147.0
2015-05-08,152.35
2015-05-11,152.9
2015-05-12,149.95
2015-05-13,150.75
2015-05-14,148.65
2015-05-15,157.4
2015-05-18,161.45
2015-05-19,161.1
2015-05-20,157.8
2015-05-21,154.25
2015-05-22,154.3
2015-05-25,152.7
2015-05-26,152.0
2015-05-27,153.2
2015-05-28,152.4
2015-05-29,149.5
2015-06-01,148.9
2015-06-02,149.45
2015-06-03,143.3
2015-06-04,141.7
2015-06-05,142.8
2015-06-08,137.25
2015-06-09,137.3
2015-06-10,135.9
2015-06-11,136.1
2015-06-12,135.15
2015-06-15,156.85
2015-06-16,145.25
2015-06-17,148.05
2015-06-18,147.9
2015-06-19,141.1
2015-06-22,144.35
2015-06-23,145.05
2015-06-24,146.7
2015-06-25,146.8
2015-06-26,145.4
2015-06-29,144.55
2015-06-30,147.1
2015-07-01,148.4
2015-07-02,147.7
2015-07-03,151.4
2015-07-06,152.9
2015-07-07,151.7
2015-07-08,157.0
2015-07-09,157.15
2015-07-10,153.1
2015-07-13,156.4
2015-07-14,154.65
2015-07-15,152.9
2015-07-16,155.45
2015-07-17,157.65
2015-07-20,159.5
2015-07-21,157.85
2015-07-22,158.05
2015-07-23,163.6
2015-07-24,164.3
2015-07-27,164.1
2015-07-28,164.95
2015-07-29,165.15
2015-07-30,165.8
2015-07-31,164.0
2015-08-03,166.9
2015-08-04,170.5
2015-08-05,166.7
2015-08-06,170.8
2015-08-07,165.35
2015-08-10,160.35
2015-08-11,157.35
2015-08-12,154.35
2015-08-13,150.75
2015-08-14,151.0
2015-08-17,150.5
2015-08-18,149.95
2015-08-19,151.45
2015-08-20,149.1
2015-08-21,146.4
2015-08-24,133.6
2015-08-25,134.05
2015-08-26,131.65
2015-08-27,138.8
2015-08-28,138.4
2015-08-31,134.7
2015-09-01,135.05
2015-09-02,136.0
2015-09-03,139.1
2015-09-04,138.75
2015-09-07,135.0
2015-09-08,136.5
2015-09-09,136.35
2015-09-10,138.8
2015-09-11,137.95
2015-09-14,139.05
2015-09-15,138.15
2015-09-16,137.8
2015-09-18,141.05
2015-09-21,138.4
2015-09-22,139.7
2015-09-23,137.0
2015-09-24,137.9
2015-09-28,138.0
2015-09-29,138.1
2015-09-30,143.15
2015-10-01,146.75
2015-10-05,149.7
2015-10-06,149.95
2015-10-07,151.0
2015-10-08,151.0
2015-10-09,150.65
2015-10-12,149.6
2015-10-13,149.7
2015-10-14,150.0
2015-10-15,150.45
2015-10-16,149.7
2015-10-19,149.9
2015-10-20,150.0
2015-10-21,151.05
2015-10-23,150.0
2015-10-26,153.15
2015-10-27,151.05
2015-10-28,150.55
2015-10-29,148.1
2015-10-30,147.1
2015-11-02,143.6
2015-11-03,146.95
2015-11-04,144.9
2015-11-05,144.15
2015-11-06,143.05
2015-11-09,144.15
2015-11-10,147.9
2015-11-11,148.6
2015-11-13,144.25
2015-11-16,142.25
2015-11-17,142.5
2015-11-18,143.2
2015-11-19,144.2
2015-11-20,142.8
2015-11-23,142.4
2015-11-24,143.2
2015-11-26,143.35
2015-11-27,142.55
2015-11-30,143.0
2015-12-01,142.9
2015-12-02,144.85
2015-12-03,145.05
2015-12-04,145.25
2015-12-07,145.0
2015-12-08,145.0
2015-12-09,142.35
2015-12-10,144.8
2015-12-11,142.15
2015-12-14,144.35
2015-12-15,143.2
2015-12-16,144.1
2015-12-17,145.05
2015-12-18,147.75
2015-12-21,145.25
2015-12-22,148.35
2015-12-23,148.7
2015-12-24,147.2
2015-12-28,145.55
2015-12-29,144.95
2015-12-30,144.8
2015-12-31,145.3
2016-01-01,147.15
2016-01-04,153.0
2016-01-05,159.15
2016-01-06,163.65
2016-01-07,156.3
2016-01-08,155.0
2016-01-11,154.8
2016-01-12,151.6
2016-01-13,153.55
2016-01-14,151.45
2016-01-15,143.65
2016-01-18,144.25
2016-01-19,141.1
2016-01-20,136.9
2016-01-21,140.05
2016-01-22,142.95
2016-01-25,142.1
2016-01-27,145.0
2016-01-28,145.2
2016-01-29,142.95
2016-02-01,141.25
2016-02-02,141.75
2016-02-03,138.8
2016-02-04,138.05
2016-02-05,137.35
2016-02-08,138.0
2016-02-09,135.0
2016-02-10,132.35
2016-02-11,128.6
2016-02-12,126.95
2016-02-15,134.3
2016-02-16,130.1
2016-02-17,128.05
2016-02-18,131.2
2016-02-19,128.55
2016-02-22,129.0
2016-02-23,127.5
2016-02-24,125.75
2016-02-25,125.55
2016-02-26,125.75
2016-02-29,126.05
2016-03-01,128.9
2016-03-02,130.95
2016-03-03,130.3
2016-03-04,132.55
2016-03-08,134.6
2016-03-09,139.3
2016-03-10,139.15
2016-03-11,142.3
2016-03-14,139.7
2016-03-15,138.4
2016-03-16,136.45
2016-03-17,137.0
2016-03-18,137.65
2016-03-21,139.65
2016-03-22,137.0
2016-03-23,137.75
2016-03-28,134.8
2016-03-29,136.3
2016-03-30,136.45
2016-03-31,134.4
2016-04-01,135.05
2016-04-04,139.0
2016-04-05,137.95
2016-04-06,140.0
2016-04-07,142.75
2016-04-08,142.25
2016-04-11,140.85
2016-04-12,139.35
2016-04-13,141.05
2016-04-18,143.1
2016-04-20,145.1
2016-04-21,142.25
2016-04-22,148.7
2016-04-25,142.75
2016-04-26,147.0
2016-04-27,144.8
2016-04-28,144.5
2016-04-29,145.3
2016-05-02,144.9
2016-05-03,145.9
2016-05-04,155.65
2016-05-05,161.3
2016-05-06,162.9
2016-05-09,163.15
2016-05-10,162.65
2016-05-11,173.1
2016-05-12,167.0
2016-05-13,168.3
2016-05-16,170.9
2016-05-17,166.8
2016-05-18,169.0
2016-05-19,171.05
2016-05-20,171.75
2016-05-23,169.6
2016-05-24,169.6
2016-05-25,172.85
2016-05-26,166.75
2016-05-27,157.1
2016-05-30,158.45
2016-05-31,156.3
2016-06-01,157.2
2016-06-02,157.85
2016-06-03,157.75
2016-06-06,159.15
2016-06-07,160.0
2016-06-08,159.0
2016-06-09,159.55
2016-06-10,159.2
2016-06-13,158.95
2016-06-14,159.15
2016-06-15,157.25
2016-06-16,158.5
2016-06-17,174.35
2016-06-20,171.05
2016-06-21,165.5
2016-06-22,163.5
2016-06-23,160.3
2016-06-24,157.4
2016-06-27,157.4
2016-06-28,158.6
2016-06-29,168.4
2016-06-30,175.4
2016-07-01,171.5
2016-07-04,167.15
2016-07-05,174.55
2016-07-07,175.0
2016-07-08,171.7
2016-07-11,170.45
2016-07-12,173.95
2016-07-13,173.8
2016-07-14,172.9
2016-07-15,170.55
2016-07-18,171.7
2016-07-19,169.7
2016-07-20,172.15
2016-07-21,177.55
2016-07-22,181.95
2016-07-25,194.35
2016-07-26,193.2
2016-07-27,192.2
2016-07-28,204.35
2016-07-29,203.55
2016-08-01,198.25
2016-08-02,205.25
2016-08-03,201.25
2016-08-04,206.8
2016-08-05,218.0
2016-08-08,220.7
2016-08-09,218.7
2016-08-10,219.55
2016-08-11,219.45
2016-08-12,218.6
2016-08-16,217.15
2016-08-17,221.25
2016-08-18,238.4
2016-08-19,258.2
2016-08-22,264.0
2016-08-23,262.6
2016-08-24,265.5
2016-08-25,261.2
2016-08-26,255.8
2016-08-29,256.15
2016-08-30,253.8
2016-08-31,260.25
2016-09-01,259.45
2016-09-02,255.3
2016-09-06,261.05
2016-09-07,267.95
2016-09-08,272.85
2016-09-09,264.9
2016-09-12,267.15
2016-09-14,281.35
2016-09-15,286.05
2016-09-16,295.15
2016-09-19,296.45
2016-09-20,301.35
2016-09-21,306.3
2016-09-22,306.1
2016-09-23,308.05
2016-09-26,317.7
2016-09-27,318.65
2016-09-28,322.35
2016-09-29,293.05
2016-09-30,304.1
2016-10-03,317.45
2016-10-04,314.75
2016-10-05,318.6
2016-10-06,318.45
2016-10-07,318.55
2016-10-10,317.3
2016-10-13,314.95
2016-10-14,310.2
2016-10-17,316.25
2016-10-18,336.35
2016-10-19,359.5
2016-10-20,360.15
2016-10-21,353.1
2016-10-24,358.3
2016-10-25,348.75
2016-10-26,348.05
2016-10-27,350.4
2016-10-28,348.9
2016-10-30,359.1
2016-11-01,345.55
2016-11-02,331.4
2016-11-03,324.4
2016-11-04,316.25
2016-11-07,324.1
2016-11-08,327.65
2016-11-09,319.2
2016-11-10,325.0
2016-11-11,288.9
2016-11-15,248.35
2016-11-16,257.75
2016-11-17,236.7
2016-11-18,236.6
2016-11-21,226.4
2016-11-22,233.9
2016-11-23,236.6
2016-11-24,245.1
2016-11-25,269.75
2016-11-28,260.3
2016-11-29,262.5
2016-11-30,260.65
2016-12-01,259.6
2016-12-02,252.2
2016-12-05,259.05
2016-12-06,255.3
2016-12-07,254.6
2016-12-08,254.55
2016-12-09,260.15
2016-12-12,257.0
2016-12-13,256.25
2016-12-14,249.55
2016-12-15,252.15
2016-12-16,265.3
2016-12-19,261.35
2016-12-20,275.15
2016-12-21,280.6
2016-12-22,266.05
2016-12-23,265.8
2016-12-26,246.35
2016-12-27,252.2
2016-12-28,263.6
2016-12-29,270.25
2016-12-30,270.5
2017-01-02,271.55
2017-01-03,272.85
2017-01-04,271.5
2017-01-05,271.75
2017-01-06,268.0
2017-01-09,266.05
2017-01-10,269.9
2017-01-11,273.8
2017-01-12,275.15
2017-01-13,272.8
2017-01-16,269.35
2017-01-17,273.8
2017-01-18,273.15
2017-01-19,293.9
2017-01-20,288.9
2017-01-23,292.45
2017-01-24,308.1
2017-01-25,307.15
2017-01-27,301.55
2017-01-30,299.5
2017-01-31,295.55
2017-02-01,303.3
2017-02-02,316.7
2017-02-03,325.2
2017-02-06,335.3
2017-02-07,334.0
2017-02-08,332.75
2017-02-09,319.7
2017-02-10,332.85
2017-02-13,339.6
2017-02-14,332.35
2017-02-15,332.7
2017-02-16,330.2
2017-02-17,328.85
2017-02-20,342.9
2017-02-21,338.65
2017-02-22,338.3
2017-02-23,346.95
2017-02-27,351.6
2017-02-28,345.85
2017-03-01,346.05
2017-03-02,345.45
2017-03-03,355.9
2017-03-06,350.65
2017-03-07,343.15
2017-03-08,334.8
2017-03-09,341.45
2017-03-10,336.45
2017-03-14,340.2
2017-03-15,346.0
2017-03-16,351.9
2017-03-17,354.3
2017-03-20,356.65
2017-03-21,355.05
2017-03-22,345.45
2017-03-23,335.65
2017-03-24,352.0
2017-03-27,352.1
2017-03-28,359.6
2017-03-29,354.1
2017-03-30,355.4
2017-03-31,373.0
2017-04-03,377.65
2017-04-05,408.35
2017-04-06,430.35
2017-04-07,425.9
2017-04-10,425.4
2017-04-11,422.4
2017-04-12,420.45
2017-04-13,424.2
2017-04-17,445.45
2017-04-18,432.25
2017-04-19,431.4
2017-04-20,437.15
2017-04-21,429.2
2017-04-24,427.5
2017-04-25,429.65
2017-04-26,425.3
2017-04-27,423.45
2017-04-28,419.1
2017-05-02,422.05
2017-05-03,434.55
2017-05-04,440.1
2017-05-05,435.3
2017-05-08,455.45
2017-05-09,448.4
2017-05-10,438.8
2017-05-11,434.15
2017-05-12,421.0
2017-05-15,434.5
2017-05-16,440.05
2017-05-17,440.1
2017-05-18,427.45
2017-05-19,418.15
2017-05-22,415.9
2017-05-23,425.0
2017-05-24,422.2
2017-05-25,412.8
2017-05-26,418.25
2017-05-29,420.2
2017-05-30,439.6
2017-05-31,442.1
2017-06-01,444.45
2017-06-02,436.7
2017-06-05,428.0
2017-06-06,429.2
2017-06-07,426.3
2017-06-08,411.8
2017-06-09,434.05
2017-06-12,420.9
2017-06-13,413.2
2017-06-14,415.8
2017-06-15,411.65
2017-06-16,405.6
2017-06-19,401.9
2017-06-20,420.0
2017-06-21,412.35
2017-06-22,406.5
2017-06-23,400.2
2017-06-27,394.45
2017-06-28,409.05
2017-06-29,414.6
2017-06-30,410.0
2017-07-03,409.95
2017-07-04,408.65
2017-07-05,405.85
2017-07-06,397.45
2017-07-07,393.7
2017-07-10,399.7
2017-07-11,389.3
2017-07-12,383.85
2017-07-13,412.9
2017-07-14,423.6
2017-07-17,427.6
2017-07-18,420.05
2017-07-19,403.75
2017-07-20,437.1
2017-07-21,449.1
2017-07-24,461.45
2017-07-25,470.05
2017-07-26,448.5
2017-07-27,422.6
2017-07-28,416.2
2017-07-31,441.35
2017-08-01,493.0
2017-08-02,494.4
2017-08-03,498.4
2017-08-04,518.9
2017-08-07,519.1
2017-08-08,514.25
2017-08-09,502.65
2017-08-10,480.6
2017-08-11,491.9
2017-08-14,517.65
2017-08-16,524.9
2017-08-17,546.95
2017-08-18,540.55
2017-08-21,536.3
2017-08-22,523.05
2017-08-23,525.8
2017-08-24,523.3
2017-08-28,527.25
2017-08-29,521.45
2017-08-30,510.65
2017-08-31,513.75
2017-09-01,517.65
2017-09-04,500.65
2017-09-05,495.0
2017-09-06,500.55
2017-09-07,490.5
2017-09-08,494.75
2017-09-11,493.65
2017-09-12,486.7
2017-09-13,481.1
2017-09-14,505.55
2017-09-15,493.05
2017-09-18,498.1
2017-09-19,505.7
2017-09-20,503.6
2017-09-21,565.1
2017-09-22,542.35
2017-09-25,529.45
2017-09-26,521.4
2017-09-27,520.4
2017-09-28,520.85
2017-09-29,546.25
2017-10-03,540.75
2017-10-04,544.4
2017-10-05,536.9
2017-10-06,540.9
2017-10-09,556.15
2017-10-10,546.4
2017-10-11,548.0
2017-10-12,534.8
2017-10-13,543.7
2017-10-16,544.6
2017-10-17,536.05
2017-10-18,530.85
2017-10-19,537.75
2017-10-23,524.1
2017-10-24,528.85
2017-10-25,523.55
2017-10-26,527.75
2017-10-27,521.75
2017-10-30,518.45
2017-10-31,527.45
2017-11-01,529.6
2017-11-02,529.5
2017-11-03,519.8
2017-11-06,519.6
2017-11-07,496.7
2017-11-08,503.15
2017-11-09,515.1
2017-11-10,506.75
2017-11-13,494.6
2017-11-14,518.15
2017-11-15,509.0
2017-11-16,508.1
2017-11-17,518.55
2017-11-20,519.6
2017-11-21,520.7
2017-11-22,520.0
2017-11-23,523.65
2017-11-24,518.75
2017-11-27,513.75
2017-11-28,513.95
2017-11-29,510.5
2017-11-30,514.25
2017-12-01,507.45
2017-12-04,515.2
2017-12-05,502.7
2017-12-06,498.8
2017-12-07,497.35
2017-12-08,515.0
2017-12-11,528.4
2017-12-12,516.05
2017-12-13,515.2
2017-12-14,503.95
2017-12-15,526.1
2017-12-18,509.35
2017-12-19,530.4
2017-12-20,519.8
2017-12-21,558.85
2017-12-22,566.3
2017-12-26,547.95
2017-12-27,562.9
2017-12-28,598.15
2017-12-29,573.45
