Date,GTNIND
2013-01-01,9.05
2013-01-02,9.75
2013-01-03,9.5
2013-01-04,9.65
2013-01-07,9.75
2013-01-08,10.7
2013-01-09,11.2
2013-01-10,10.55
2013-01-11,10.55
2013-01-14,11.6
2013-01-15,12.05
2013-01-16,12.2
2013-01-17,12.1
2013-01-18,11.75
2013-01-21,11.3
2013-01-22,11.15
2013-01-23,11.15
2013-01-24,10.7
2013-01-25,10.45
2013-01-28,10.4
2013-01-29,10.05
2013-01-30,10.45
2013-01-31,9.95
2013-02-01,10.4
2013-02-04,10.2
2013-02-05,10.1
2013-02-06,10.15
2013-02-07,10.0
2013-02-08,9.9
2013-02-11,9.7
2013-02-12,9.85
2013-02-13,9.4
2013-02-14,9.0
2013-02-15,9.0
2013-02-18,8.7
2013-02-21,8.7
2013-02-22,8.65
2013-02-25,8.75
2013-02-26,8.8
2013-02-27,9.15
2013-02-28,9.5
2013-03-06,9.05
2013-03-07,8.8
2013-03-08,8.2
2013-03-12,8.4
2013-03-13,8.3
2013-03-14,8.4
2013-03-15,8.2
2013-03-18,7.7
2013-03-19,7.5
2013-03-20,7.1
2013-03-21,6.75
2013-03-22,6.8
2013-03-25,6.95
2013-03-26,7.05
2013-03-28,7.7
2013-04-01,8.4
2013-04-02,8.25
2013-04-03,7.7
2013-04-04,7.5
2013-04-05,7.6
2013-04-10,7.0
2013-04-17,7.7
2013-04-25,7.05
2013-05-07,7.75
2013-05-09,7.75
2013-05-13,7.6
2013-05-16,7.55
2013-05-17,7.2
2013-05-23,7.2
2013-05-30,6.9
2013-06-10,6.65
2013-06-12,6.35
2013-06-20,6.1
2013-06-28,6.0
2013-07-03,6.3
2013-07-05,6.6
2013-07-23,6.9
2013-07-31,6.8
2013-08-13,7.1
2013-08-14,7.1
2013-08-26,7.0
2013-08-29,6.65
2013-08-30,6.65
2013-09-04,6.4
2013-09-11,6.7
2013-09-12,6.4
2013-09-13,6.4
2013-09-17,6.7
2013-09-20,7.0
2013-09-23,7.35
2013-09-24,7.15
2013-09-25,6.8
2013-09-26,7.0
2013-09-27,7.05
2013-10-03,6.7
2013-10-07,7.0
2013-10-08,7.0
2013-10-09,7.0
2013-10-15,6.65
2013-10-17,6.6
2013-10-18,6.35
2013-10-25,6.65
2013-10-29,6.95
2013-10-31,7.0
2013-11-01,6.75
2013-11-03,7.05
2013-11-05,7.4
2013-11-06,7.5
2013-11-08,7.15
2013-11-13,7.5
2013-11-19,7.85
2013-11-20,8.2
2013-11-21,7.8
2014-03-05,8.8
2014-03-11,8.4
2014-03-13,8.4
2014-03-14,8.0
2014-03-18,7.6
2014-03-19,7.6
2014-03-20,7.5
2014-03-21,7.65
2014-03-24,7.3
2014-03-26,7.2
2014-03-27,7.0
2014-03-28,7.2
2014-03-31,7.2
2014-04-01,7.5
2014-04-02,7.6
2014-04-03,7.35
2014-04-07,7.3
2014-04-09,7.65
2014-04-10,7.7
2014-04-11,8.0
2014-04-15,8.4
2014-04-16,8.8
2014-04-17,9.1
2014-04-21,9.45
2014-04-22,9.1
2014-04-23,9.25
2014-04-25,8.9
2014-08-06,13.2
2014-08-07,12.8
2014-08-08,13.3
2014-08-11,13.4
2014-08-12,14.0
2014-08-13,13.75
2014-08-14,13.9
2014-08-18,13.75
2014-08-19,13.7
2014-08-20,13.5
2014-08-21,14.15
2014-08-22,14.8
2014-08-25,15.0
2014-08-26,14.55
2014-08-27,14.8
2014-08-28,14.4
2014-09-01,14.9
2014-09-02,14.2
2014-09-03,14.2
2014-09-04,13.85
2014-09-05,13.45
2014-09-08,13.15
2014-09-09,13.05
2014-09-10,14.3
2014-09-11,15.4
2014-09-12,14.3
2014-09-15,14.2
2014-09-17,14.0
2014-09-18,15.2
2014-09-19,15.2
2014-09-22,16.35
2014-09-23,16.1
2014-09-24,16.25
2014-09-25,14.65
2014-09-26,14.85
2014-09-30,14.2
2014-10-07,13.75
2014-10-08,13.6
2014-10-09,13.95
2014-10-13,14.0
2014-10-14,14.2
2014-10-17,14.3
2014-10-20,14.35
2014-10-21,14.5
2014-10-22,14.4
2014-10-23,13.35
2014-10-27,13.2
2014-10-28,12.7
2014-10-29,14.6
2014-10-30,14.6
2014-10-31,14.05
2014-11-03,13.7
2014-11-05,14.25
2014-11-07,13.45
2014-11-10,12.85
2014-11-11,13.15
2014-11-12,12.7
2014-11-13,13.0
2014-11-14,12.8
2014-11-17,12.75
2014-11-18,13.1
2014-11-19,13.05
2014-11-20,13.75
2014-11-21,12.85
2014-11-24,12.5
2014-11-25,12.2
2014-11-26,12.0
2014-11-27,11.5
2014-11-28,11.55
2014-12-01,11.0
2014-12-02,11.75
2014-12-03,12.7
2014-12-04,12.5
2014-12-05,12.25
2014-12-08,12.7
2014-12-09,13.45
2014-12-10,12.7
2014-12-11,13.5
2014-12-12,12.5
2014-12-15,13.35
2014-12-16,12.95
2014-12-17,12.0
2014-12-18,11.9
2014-12-19,11.75
2014-12-22,12.4
2014-12-23,13.0
2014-12-24,12.5
2014-12-29,12.95
2014-12-30,12.5
2014-12-31,11.8
2015-01-01,12.5
2015-01-02,11.95
2015-01-05,12.1
2015-01-06,11.55
2015-01-07,12.2
2015-01-08,11.65
2015-01-09,11.8
2015-01-12,11.5
2015-01-13,11.95
2015-01-14,11.5
2015-01-15,12.5
2015-01-16,11.9
2015-01-19,13.1
2015-01-20,13.0
2015-01-21,12.7
2015-01-22,12.0
2015-01-23,12.6
2015-01-27,12.15
2015-01-28,11.6
2015-01-29,12.0
2015-01-30,12.7
2015-02-02,12.2
2015-02-03,12.0
2015-02-04,11.25
2015-02-05,11.9
2015-02-06,12.55
2015-02-09,12.8
2015-02-10,11.55
2015-02-11,11.25
2015-02-12,11.5
2015-02-13,11.2
2015-02-16,11.0
2015-02-18,11.1
2015-02-19,11.4
2015-02-20,12.0
2015-02-23,11.3
2015-02-24,9.75
2015-02-25,10.2
2015-02-26,9.7
2015-02-27,10.1
2015-03-02,9.9
2015-03-03,10.15
2015-03-04,10.15
2015-03-05,9.6
2015-03-09,10.0
2015-03-10,10.2
2015-03-11,8.9
2015-03-12,9.05
2015-03-13,9.1
2015-03-17,9.15
2015-03-18,9.3
2015-03-19,9.0
2015-03-20,8.25
2015-03-23,8.1
2015-03-24,9.5
2015-03-25,9.5
2015-03-26,9.45
2015-03-27,8.6
2015-03-30,8.5
2015-03-31,9.45
2015-04-01,8.6
2015-04-06,8.6
2015-04-07,8.75
2015-04-08,8.5
2015-04-09,9.3
2015-04-10,11.1
2015-04-13,11.2
2015-04-15,10.9
2015-04-16,10.35
2015-04-17,10.0
2015-04-20,10.5
2015-04-21,10.7
2015-04-22,12.2
2015-04-23,12.8
2015-04-24,12.25
2015-04-27,12.4
2015-04-28,11.6
2015-05-04,11.1
2015-05-05,11.25
2015-05-06,11.95
2015-05-07,11.75
2015-05-08,11.0
2015-05-11,11.45
2015-05-12,11.05
2015-05-13,11.0
2015-05-14,11.0
2015-05-15,11.0
2015-05-18,11.0
2015-05-19,11.0
2015-05-20,11.0
2015-05-21,11.8
2015-05-22,11.25
2015-05-25,11.25
2015-05-26,10.7
2015-05-29,10.5
2015-06-01,10.0
2015-06-02,10.45
2015-06-03,10.1
2015-06-04,9.4
2015-06-05,9.1
2015-06-09,9.5
2015-06-10,10.0
2015-06-12,9.65
2015-06-16,10.0
2015-06-17,9.8
2015-06-19,9.4
2015-06-22,10.2
2015-06-23,10.1
2015-06-24,10.9
2015-06-25,10.15
2015-06-26,10.9
2015-06-29,10.6
2015-06-30,10.6
2015-07-02,10.3
2015-07-03,10.8
2015-07-06,11.3
2015-07-07,11.85
2015-07-08,12.25
2015-07-09,12.0
2015-07-10,11.5
2015-07-13,11.6
2015-07-14,12.0
2015-07-15,12.1
2015-07-16,12.25
2015-07-17,12.4
2015-07-20,12.0
2015-07-22,12.0
2015-07-23,12.0
2015-07-24,12.05
2015-07-27,12.5
2015-07-29,12.25
2015-07-30,12.2
2015-07-31,12.25
2015-08-03,12.45
2015-08-04,13.05
2015-08-05,13.7
2015-08-06,14.3
2015-08-07,14.5
2015-08-10,14.0
2015-08-11,13.05
2015-08-12,12.5
2015-08-13,12.0
2015-08-14,11.25
2015-08-18,11.5
2015-08-24,11.3
2015-08-28,11.4
2015-08-31,11.8
2015-09-01,11.65
2015-09-02,11.15
2015-09-03,11.0
2015-09-04,10.3
2015-09-07,10.0
2015-09-08,10.2
2015-09-09,10.1
2015-09-10,10.1
2015-09-11,10.25
2015-09-14,10.2
2015-09-18,10.2
2015-09-21,9.95
2015-09-22,9.5
2015-09-23,9.65
2015-09-24,9.65
2015-09-28,9.4
2015-09-29,9.3
2015-09-30,9.5
2015-10-05,9.5
2015-10-06,9.95
2015-10-07,9.85
2015-10-08,9.1
2015-10-09,9.6
2015-10-13,9.1
2015-10-14,9.7
2015-10-16,9.1
2015-10-19,9.25
2015-10-20,9.75
2015-10-21,9.75
2015-10-26,10.6
2015-10-27,11.15
2015-10-28,10.5
2015-10-29,10.5
2015-10-30,10.1
2015-11-02,10.05
2015-11-04,10.0
2015-11-05,9.95
2015-11-06,10.65
2015-11-09,9.9
2015-11-10,9.75
2015-11-11,9.25
2015-11-18,9.15
2015-11-19,9.95
2015-11-20,10.0
2015-11-26,10.0
2015-11-27,10.0
2015-11-30,9.9
2015-12-01,10.5
2015-12-02,9.95
2015-12-03,10.8
2015-12-04,10.25
2015-12-07,10.5
2015-12-08,10.65
2015-12-09,10.0
2015-12-11,10.1
2015-12-14,10.9
2015-12-15,10.7
2015-12-16,10.25
2015-12-17,10.2
2015-12-18,10.95
2015-12-23,11.2
2015-12-24,11.2
2015-12-28,11.8
2015-12-29,12.3
2015-12-30,13.5
2015-12-31,13.2
2016-01-01,13.15
2016-01-04,13.65
2016-01-05,13.85
2016-01-06,13.25
2016-01-07,13.2
2016-01-08,12.3
2016-01-11,12.5
2016-01-12,13.0
2016-01-13,12.95
2016-01-14,11.75
2016-01-15,12.9
2016-01-18,11.65
2016-01-19,10.6
2016-01-20,11.5
2016-01-21,10.55
2016-01-25,11.55
2016-01-27,12.5
2016-01-28,12.7
2016-01-29,12.05
2016-02-01,13.0
2016-02-02,13.25
2016-02-03,12.25
2016-02-04,12.65
2016-02-05,12.1
2016-02-09,11.25
2016-02-10,11.45
2016-02-11,10.4
2016-02-15,11.5
2016-02-16,12.8
2016-02-17,11.4
2016-02-18,11.65
2016-02-19,11.0
2016-02-22,10.8
2016-02-23,11.25
2016-02-24,10.9
2016-02-25,10.3
2016-02-26,10.45
2016-02-29,11.65
2016-03-01,11.45
2016-03-02,10.95
2016-03-03,11.1
2016-03-04,10.55
2016-03-08,10.55
2016-03-09,11.0
2016-03-10,11.0
2016-03-11,10.9
2016-03-14,10.4
2016-03-15,10.5
2016-03-16,9.9
2016-03-17,9.95
2016-03-18,10.6
2016-03-21,10.5
2016-03-22,10.05
2016-03-23,9.9
2016-03-28,9.7
2016-03-29,9.5
2016-03-30,9.9
2016-03-31,10.85
2016-04-01,9.8
2016-04-04,10.5
2016-04-05,10.5
2016-04-07,10.5
2016-04-08,10.15
2016-04-13,10.65
2016-04-18,11.45
2016-04-20,10.5
2016-04-21,10.6
2016-04-22,10.5
2016-04-25,10.2
2016-04-26,10.65
2016-04-28,10.85
2016-04-29,10.25
2016-05-02,9.95
2016-05-03,10.0
2016-05-04,11.0
2016-05-05,11.8
2016-05-06,10.85
2016-05-09,11.85
2016-05-10,10.85
2016-05-11,10.5
2016-05-12,11.0
2016-05-13,11.0
2016-05-16,10.75
2016-05-17,10.8
2016-05-18,11.7
2016-05-19,11.35
2016-05-20,11.9
2016-05-23,10.9
2016-05-24,11.95
2016-05-25,13.1
2016-05-26,14.4
2016-05-27,15.1
2016-05-30,15.85
2016-05-31,15.1
2016-06-01,14.35
2016-06-02,13.65
2016-06-03,14.3
2016-06-06,15.0
2016-06-07,14.8
2016-06-08,14.15
2016-06-09,14.25
2016-06-10,14.85
2016-06-13,15.4
2016-06-14,16.15
2016-06-15,16.95
2016-06-16,17.2
2016-06-17,16.35
2016-06-20,15.85
2016-06-21,16.1
2016-06-22,16.05
2016-06-23,16.55
2016-06-24,16.0
2016-06-27,16.8
2016-06-28,17.0
2016-06-29,17.5
2016-06-30,17.2
2016-07-01,16.55
2016-07-04,18.2
2016-07-05,17.45
2016-07-07,17.0
2016-07-08,16.9
2016-07-11,17.0
2016-07-12,16.95
2016-07-13,16.55
2016-07-14,17.7
2016-07-15,17.45
2016-07-18,16.55
2016-07-19,16.85
2016-07-20,17.45
2016-07-21,19.15
2016-07-22,21.05
2016-07-25,23.1
2016-07-26,23.9
2016-07-27,22.75
2016-07-28,22.05
2016-07-29,20.95
2016-08-01,20.4
2016-08-02,19.4
2016-08-03,18.45
2016-08-04,17.9
2016-08-05,18.75
2016-08-08,18.75
2016-08-09,18.5
2016-08-10,17.9
2016-08-11,17.35
2016-08-12,17.55
2016-08-16,16.7
2016-08-17,15.9
2016-08-18,15.75
2016-08-19,15.15
2016-08-22,14.8
2016-08-23,15.5
2016-08-24,15.75
2016-08-25,15.85
2016-08-26,15.5
2016-08-29,15.3
2016-08-30,14.6
2016-08-31,14.3
2016-09-01,14.4
2016-09-02,13.7
2016-09-06,13.35
2016-09-07,13.35
2016-09-08,13.45
2016-09-09,13.3
2016-09-12,12.8
2016-09-14,12.85
2016-09-15,12.95
2016-09-16,12.85
2016-09-19,13.05
2016-09-20,13.0
2016-09-21,13.0
2016-09-22,12.9
2016-09-23,12.95
2016-09-26,12.85
2016-09-27,13.15
2016-09-28,12.8
2016-09-29,12.75
2016-09-30,13.2
2016-10-03,13.7
2016-10-04,14.15
2016-10-05,14.5
2016-10-06,15.05
2016-10-07,14.95
2016-10-10,14.6
2016-10-13,14.0
2016-10-14,14.0
2016-10-17,13.6
2016-10-18,14.0
2016-10-19,14.8
2016-10-20,15.2
2016-10-21,14.9
2016-10-24,15.0
2016-10-25,15.05
2016-10-26,14.75
2016-10-27,14.55
2016-10-28,14.7
2016-10-30,14.95
2016-11-01,14.8
2016-11-02,14.3
2016-11-03,14.4
2016-11-04,14.0
2016-11-07,13.9
2016-11-08,13.95
2016-11-09,13.2
2016-11-10,13.8
2016-11-11,13.65
2016-11-15,11.65
2016-11-17,13.0
2016-11-18,12.35
2016-11-21,12.0
2016-11-22,11.3
2016-11-23,12.0
2016-11-24,12.2
2016-11-25,12.85
2016-11-28,12.95
2016-11-29,13.0
2016-11-30,12.5
2016-12-01,13.25
2016-12-02,13.25
2016-12-05,13.1
2016-12-06,13.5
2016-12-07,13.0
2016-12-08,12.9
2016-12-09,13.2
2016-12-12,13.0
2016-12-13,13.25
2016-12-14,12.6
2016-12-15,12.9
2016-12-16,13.0
2016-12-19,12.6
2016-12-20,12.7
2016-12-21,12.9
2016-12-22,12.9
2016-12-23,13.0
2016-12-26,12.75
2016-12-27,12.75
2016-12-28,13.3
2016-12-29,12.95
2016-12-30,13.35
2017-01-02,15.95
2017-01-03,16.8
2017-01-04,15.85
2017-01-05,14.6
2017-01-06,14.6
2017-01-09,14.5
2017-01-10,14.5
2017-01-11,15.15
2017-01-12,14.75
2017-01-13,15.7
2017-01-16,16.65
2017-01-17,16.45
2017-01-18,18.5
2017-01-19,19.7
2017-01-20,18.65
2017-01-23,18.95
2017-01-24,18.75
2017-01-25,19.3
2017-01-27,19.15
