Date,IFCI
2013-01-01,34.0
2013-01-02,33.95
2013-01-03,34.25
2013-01-04,38.15
2013-01-07,38.9
2013-01-08,39.1
2013-01-09,37.9
2013-01-10,38.05
2013-01-11,37.0
2013-01-14,38.65
2013-01-15,38.3
2013-01-16,36.95
2013-01-17,37.85
2013-01-18,37.75
2013-01-21,37.7
2013-01-22,36.65
2013-01-23,35.7
2013-01-24,34.0
2013-01-25,35.05
2013-01-28,34.9
2013-01-29,33.8
2013-01-30,33.0
2013-01-31,35.35
2013-02-01,34.55
2013-02-04,35.5
2013-02-05,35.05
2013-02-06,34.85
2013-02-07,34.25
2013-02-08,34.1
2013-02-11,34.1
2013-02-12,33.25
2013-02-13,32.0
2013-02-14,30.25
2013-02-15,30.35
2013-02-18,30.75
2013-02-19,32.5
2013-02-20,32.5
2013-02-21,32.85
2013-02-22,33.35
2013-02-25,32.95
2013-02-26,30.95
2013-02-27,32.0
2013-02-28,29.1
2013-03-01,29.35
2013-03-04,27.25
2013-03-05,28.6
2013-03-06,29.0
2013-03-07,28.3
2013-03-08,29.25
2013-03-11,28.95
2013-03-12,28.35
2013-03-13,27.65
2013-03-14,28.8
2013-03-15,29.7
2013-03-18,28.8
2013-03-19,27.65
2013-03-20,26.7
2013-03-21,25.75
2013-03-22,26.6
2013-03-25,26.5
2013-03-26,25.15
2013-03-28,26.1
2013-04-01,27.3
2013-04-02,28.2
2013-04-03,27.7
2013-04-04,27.9
2013-04-05,27.65
2013-04-08,26.8
2013-04-09,26.7
2013-04-10,27.25
2013-04-11,26.95
2013-04-12,27.5
2013-04-15,28.1
2013-04-16,29.15
2013-04-17,28.9
2013-04-18,29.5
2013-04-22,30.25
2013-04-23,30.5
2013-04-25,31.25
2013-04-26,30.05
2013-04-29,30.95
2013-04-30,29.85
2013-05-02,30.5
2013-05-03,30.0
2013-05-06,31.0
2013-05-07,31.25
2013-05-08,31.65
2013-05-09,30.8
2013-05-10,30.75
2013-05-11,30.75
2013-05-13,29.65
2013-05-14,29.55
2013-05-15,29.25
2013-05-16,29.8
2013-05-17,30.2
2013-05-20,29.8
2013-05-21,29.1
2013-05-22,27.75
2013-05-23,26.75
2013-05-24,27.0
2013-05-27,27.15
