Date,KILITCH
2013-01-01,34.85
2013-01-02,34.75
2013-01-03,34.95
2013-01-04,35.7
2013-01-07,36.4
2013-01-08,36.3
2013-01-09,36.55
2013-01-10,36.1
2013-01-11,35.7
2013-01-14,35.9
2013-01-15,35.7
2013-01-16,35.8
2013-01-17,35.6
2013-01-18,35.25
2013-01-21,35.15
2013-01-22,34.55
2013-01-23,33.6
2013-01-24,33.5
2013-01-25,33.9
2013-01-28,33.25
2013-01-29,33.1
2013-01-30,32.8
2013-01-31,33.2
2013-02-01,32.85
2013-02-04,32.95
2013-02-05,33.0
2013-02-06,31.6
2013-02-07,30.85
2013-02-08,30.95
2013-02-11,29.85
2013-02-12,29.5
2013-02-13,29.25
2013-02-14,28.65
2013-02-15,29.1
2013-02-18,28.5
2013-02-19,28.7
2013-02-20,29.4
2013-02-21,28.5
2013-02-22,29.25
2013-02-25,29.05
2013-02-26,27.85
2013-02-27,28.15
2013-02-28,27.6
2013-03-01,25.75
2013-03-04,22.4
2013-03-05,23.5
2013-03-06,25.15
2013-03-07,23.65
2013-03-08,23.45
2013-03-11,23.15
2013-03-12,22.0
2013-03-13,22.4
2013-03-14,22.35
2013-03-15,22.5
2013-03-18,22.2
2013-03-19,21.7
2013-03-20,21.8
2013-03-21,21.95
2013-03-22,20.75
2013-03-25,20.95
2013-03-26,20.05
2013-03-28,20.2
2013-04-01,21.35
2013-04-02,23.0
2013-04-03,22.9
2013-04-04,21.95
2013-04-05,21.55
2013-04-08,22.15
2013-04-09,21.55
2013-04-10,21.45
2013-04-11,21.85
2013-04-12,22.0
2013-04-15,21.95
2013-04-16,22.15
2013-04-17,22.2
2013-04-18,22.45
2013-04-22,21.8
2013-04-23,22.3
2013-04-25,21.95
2013-04-26,22.5
2013-04-29,22.85
2013-04-30,22.1
2013-05-02,22.35
2013-05-03,21.6
2013-05-06,21.4
2013-05-07,21.15
2013-05-08,20.95
2013-05-09,21.4
2013-05-10,21.65
2013-05-13,21.0
2013-05-14,21.0
2013-05-15,21.1
2013-05-16,21.1
2013-05-17,20.9
2013-05-20,22.05
2013-05-21,21.45
2013-05-22,21.75
2013-05-23,21.6
2013-05-24,21.2
2013-05-27,21.4
2013-05-28,21.4
2013-05-29,21.0
2013-05-30,20.65
2013-05-31,19.7
2013-06-03,19.0
2013-06-04,19.65
2013-06-05,19.45
2013-06-06,19.15
2013-06-07,19.2
2013-06-10,19.05
2013-06-11,18.75
2013-06-12,18.0
2013-06-13,17.1
2013-06-14,18.75
2013-06-17,18.35
2013-06-18,22.0
2013-06-19,24.0
