Date,DCMSHRIRAM
2013-01-01,68.55
2013-01-02,67.85
2013-01-03,67.85
2013-01-04,69.4
2013-01-07,69.0
2013-01-08,68.55
2013-01-09,68.35
2013-01-10,67.15
2013-01-11,66.1
2013-01-14,66.9
2013-01-15,65.5
2013-01-16,65.25
2013-01-17,65.15
2013-01-18,64.4
2013-01-21,63.7
2013-01-22,63.8
2013-01-23,62.8
2013-01-24,62.05
2013-01-25,60.9
2013-01-28,61.75
2013-01-29,62.0
2013-01-30,64.95
2013-01-31,66.75
2013-02-01,65.55
2013-02-04,69.45
2013-02-05,65.4
2013-02-06,66.25
2013-02-07,66.75
2013-02-08,66.4
2013-02-11,64.75
2013-02-12,63.15
2013-02-13,62.3
2013-02-14,61.4
2013-02-15,58.8
2013-02-18,59.05
2013-02-19,59.25
2013-02-20,59.7
2013-02-21,56.9
2013-02-22,57.2
2013-02-25,55.5
2013-02-26,53.65
2013-02-27,51.9
2013-02-28,52.5
2013-03-01,52.5
2013-03-04,53.2
2013-03-05,54.4
2013-03-06,55.25
2013-03-07,55.0
2013-03-08,54.9
2013-03-11,55.6
2013-03-12,56.65
2013-03-13,55.5
2013-03-14,57.85
2013-03-15,57.0
2013-03-18,55.9
2013-03-19,54.6
2013-03-20,54.75
2013-03-21,54.2
2013-03-22,52.9
2013-03-25,54.0
2013-03-26,52.75
2013-03-28,52.75
2013-04-01,54.7
2013-04-02,55.55
2013-04-03,55.1
2013-04-04,54.15
2013-04-05,57.15
2013-04-08,55.2
2013-04-09,55.05
2013-04-10,55.75
2013-04-11,55.25
2013-04-12,56.6
2013-04-15,55.1
2013-04-16,55.6
2013-04-17,55.3
2013-04-18,56.3
2013-04-22,56.4
2013-04-23,55.95
2013-04-25,56.1
2013-04-26,55.45
2013-04-29,55.8
2013-04-30,57.4
2013-05-02,58.15
2013-05-03,61.0
2013-05-06,60.05
2013-05-07,60.05
2013-05-08,60.0
2013-05-09,58.75
2013-05-10,59.55
2013-05-11,60.4
2013-05-13,61.45
2013-05-14,61.8
2013-05-15,63.75
2013-05-16,63.25
2013-05-17,63.45
2013-05-20,62.75
2013-05-21,59.95
2013-05-22,60.45
2013-05-23,58.6
2013-05-24,58.65
2013-05-27,60.35
2013-05-28,60.1
2013-05-29,60.0
2013-05-30,60.05
2013-05-31,58.0
2013-06-03,58.1
2013-06-04,58.5
2013-06-05,58.25
2013-06-06,58.7
2013-06-07,59.55
2013-06-10,59.0
2013-06-11,58.6
2013-06-12,65.15
2013-06-13,61.2
2013-06-14,61.8
2013-06-17,64.1
2013-06-18,60.85
2013-06-19,60.9
2013-06-20,59.15
2013-06-21,58.05
2013-06-24,58.05
2013-06-25,58.0
2013-06-26,57.7
2013-06-27,57.95
2013-06-28,58.1
2013-07-01,58.3
2013-07-02,58.0
2013-07-03,58.0
2013-07-04,58.0
2013-07-05,58.25
2013-07-08,58.0
2013-07-09,58.25
2013-07-10,58.75
2013-07-11,58.75
2013-07-12,58.25
2013-07-15,58.1
2013-07-16,58.15
2013-07-17,58.05
2013-07-18,58.2
2013-07-19,58.45
2013-07-22,58.5
2013-07-23,56.25
2013-07-24,54.0
2013-07-25,53.9
2013-07-26,52.55
2013-07-29,53.15
2013-07-30,57.45
2013-07-31,55.25
2013-08-01,55.25
2013-08-02,55.2
2013-08-05,55.35
2013-08-06,58.15
2013-08-07,58.9
2013-08-08,58.1
2013-08-12,58.4
2013-08-13,59.5
2013-08-14,58.4
2013-08-16,58.65
2013-08-19,58.95
2013-08-20,59.1
2013-08-21,58.25
2013-08-22,57.55
2013-08-23,57.35
2013-08-26,56.4
2013-08-27,53.9
2013-08-28,52.2
2013-08-29,52.45
2013-08-30,52.1
2013-09-02,56.1
2013-09-03,55.05
2013-09-04,56.05
2013-09-05,55.4
2013-09-06,54.7
2013-09-10,55.7
2013-09-11,57.2
2013-09-12,58.0
2013-09-13,58.7
2013-09-16,58.95
2013-09-17,59.1
2013-09-18,59.35
2013-09-19,60.05
2013-09-20,59.2
2013-09-23,59.1
2013-09-24,59.0
2013-09-25,59.7
2013-09-26,59.4
2013-09-27,59.3
2013-09-30,59.0
2013-10-01,57.95
2013-10-03,58.15
2013-10-04,58.6
2013-10-07,58.45
2013-10-08,58.4
2013-10-09,59.65
2013-10-10,61.15
2013-10-11,62.1
2013-10-14,61.3
2013-10-15,59.95
2013-10-17,59.85
2013-10-18,59.25
2013-10-21,59.8
2013-10-22,64.25
2013-10-23,66.95
2013-10-24,67.2
2013-10-25,65.05
2013-10-28,64.7
2013-10-29,56.2
2013-10-30,57.5
2013-10-31,55.0
2013-11-01,54.85
2013-11-03,54.75
2013-11-05,54.0
2013-11-06,54.55
2013-11-07,53.65
2013-11-08,53.35
2013-11-11,51.0
2013-11-12,52.05
2013-11-13,51.35
2013-11-14,52.2
2013-11-18,52.55
2013-11-19,51.2
2013-11-20,53.45
2013-11-21,52.65
2013-11-22,52.6
2013-11-25,52.35
2013-11-26,52.5
2013-11-27,54.25
2013-11-28,54.7
2013-11-29,54.1
2013-12-02,52.6
2013-12-03,52.8
2013-12-04,53.45
2013-12-05,52.85
2013-12-06,55.25
2013-12-09,54.65
2013-12-10,53.3
2013-12-11,52.05
2013-12-12,53.05
2013-12-13,53.0
2013-12-16,53.1
2013-12-17,53.0
2013-12-18,53.4
2013-12-19,53.7
2013-12-20,54.0
2013-12-23,54.55
2013-12-24,54.0
2013-12-26,55.05
2013-12-27,57.85
2013-12-30,58.05
2013-12-31,55.6
2014-01-01,56.15
2014-01-02,55.85
2014-01-03,56.0
2014-01-06,56.15
2014-01-07,55.5
2014-01-08,56.6
2014-01-09,56.45
2014-01-10,56.05
2014-01-13,55.95
2014-01-14,56.0
2014-01-15,56.0
2014-01-16,56.0
2014-01-17,56.0
2014-01-20,55.55
2014-01-21,55.5
2014-01-22,56.2
2014-01-23,56.0
2014-01-24,55.05
2014-01-27,54.5
2014-01-28,54.5
2014-01-29,55.25
2014-01-30,55.0
2014-01-31,55.45
2014-02-03,55.7
2014-02-04,55.3
2014-02-05,56.1
2014-02-06,56.2
2014-02-07,57.95
2014-02-10,59.65
2014-02-11,58.75
2014-02-12,58.8
2014-02-13,58.65
2014-02-14,58.4
2014-02-17,58.65
2014-02-18,58.65
2014-02-19,60.2
2014-02-20,68.1
2014-02-21,67.8
2014-02-24,71.45
2014-02-25,70.3
2014-02-26,69.0
2014-02-28,68.85
2014-03-03,70.6
2014-03-04,69.9
2014-03-05,71.45
2014-03-06,72.9
2014-03-07,73.3
2014-03-10,73.5
2014-03-11,73.85
2014-03-12,73.5
2014-03-13,74.0
2014-03-14,75.35
2014-03-18,77.45
2014-03-19,89.05
2014-03-20,84.5
2014-03-21,84.7
2014-03-22,87.35
2014-03-24,90.75
2014-03-25,90.1
2014-03-26,90.2
2014-03-27,90.35
2014-03-28,92.4
2014-03-31,92.25
2014-04-01,91.7
2014-04-02,91.35
2014-04-03,92.15
2014-04-04,94.05
2014-04-07,93.9
2014-04-09,93.0
2014-04-10,91.85
2014-04-11,89.95
2014-04-15,87.25
2014-04-16,86.4
2014-04-17,91.3
2014-04-21,91.1
2014-04-22,90.3
2014-04-23,92.5
2014-04-25,90.0
2014-04-28,95.4
2014-04-29,96.05
2014-04-30,93.9
2014-05-02,94.95
2014-05-05,94.55
2014-05-06,94.8
2014-05-07,98.2
2014-05-08,115.65
2014-05-09,113.6
2014-05-12,117.85
2014-05-13,115.25
2014-05-14,117.8
2014-05-15,115.75
2014-05-16,113.8
2014-05-19,121.7
2014-05-20,124.75
2014-05-21,124.55
2014-05-22,130.85
2014-05-23,133.65
2014-05-26,124.35
2014-05-27,121.95
2014-05-28,126.8
2014-05-29,127.55
2014-05-30,128.95
2014-06-02,123.5
2014-06-03,125.85
2014-06-04,129.35
2014-06-05,129.55
2014-06-06,130.0
2014-06-09,130.05
2014-06-10,124.1
2014-06-11,136.35
2014-06-12,138.1
2014-06-13,139.7
2014-06-16,148.7
2014-06-17,151.05
2014-06-18,151.25
2014-06-19,150.9
2014-06-20,146.9
2014-06-23,156.0
2014-06-24,157.55
2014-06-25,157.55
2014-06-26,164.15
2014-06-27,181.4
2014-06-30,192.4
2014-07-01,184.1
2014-07-02,181.65
2014-07-03,176.7
2014-07-04,168.15
2014-07-07,163.75
2014-07-08,152.35
2014-07-09,152.55
2014-07-10,153.15
2014-07-11,141.9
2014-07-14,143.7
2014-07-15,153.2
2014-07-16,156.05
2014-07-17,156.4
2014-07-18,159.35
2014-07-21,168.1
2014-07-22,164.5
2014-07-23,162.2
2014-07-24,164.5
2014-07-25,158.35
2014-07-28,155.0
2014-07-30,178.3
2014-07-31,174.3
2014-08-01,172.5
2014-08-04,176.55
2014-08-05,200.75
2014-08-06,203.95
2014-08-07,199.5
2014-08-08,188.6
2014-08-11,195.55
2014-08-12,188.15
2014-08-13,189.2
2014-08-14,199.1
2014-08-18,200.55
2014-08-19,197.25
2014-08-20,190.95
2014-08-21,189.55
2014-08-22,188.55
2014-08-25,190.3
2014-08-26,186.25
2014-08-27,198.25
2014-08-28,209.1
2014-09-01,207.95
2014-09-02,206.4
2014-09-03,207.2
2014-09-04,215.6
2014-09-05,230.55
2014-09-08,236.05
2014-09-09,227.4
2014-09-10,229.25
2014-09-11,235.55
2014-09-12,238.75
2014-09-15,242.25
2014-09-16,221.5
2014-09-17,224.55
2014-09-18,231.65
2014-09-19,236.6
2014-09-22,235.5
2014-09-23,228.85
2014-09-24,222.4
2014-09-25,222.1
2014-09-26,224.0
2014-09-29,232.75
2014-09-30,238.55
2014-10-01,233.25
2014-10-07,232.95
2014-10-08,231.5
2014-10-09,232.7
2014-10-10,224.4
2014-10-13,221.45
2014-10-14,223.4
2014-10-16,210.85
2014-10-17,214.95
2014-10-20,210.85
2014-10-21,217.95
2014-10-22,217.3
2014-10-23,214.55
2014-10-27,211.25
2014-10-28,216.4
2014-10-29,213.0
2014-10-30,222.1
2014-10-31,222.9
