Date,PONNIERODE
2013-03-01,331.5
2013-03-04,315.8
2013-03-05,311.6
2013-03-06,309.25
2013-03-07,319.0
2013-03-08,337.15
2013-03-11,331.95
2013-03-12,310.0
2013-03-13,318.75
2013-03-14,350.6
2013-03-15,371.15
2013-03-18,360.7
2013-03-19,324.65
2013-03-20,313.0
2013-03-21,301.0
2013-03-22,283.2
2013-03-25,269.15
2013-03-26,264.05
2013-03-28,254.7
2013-04-01,244.2
2013-04-02,235.0
2013-04-03,246.75
2013-04-04,259.05
2013-04-05,272.0
2013-04-08,285.5
2013-04-09,299.75
2013-04-10,313.9
2013-04-11,329.55
2013-04-12,343.95
2013-04-15,358.5
2013-04-16,344.0
2013-04-17,356.0
2013-04-18,371.0
2013-04-23,372.0
2013-04-25,353.4
2013-05-02,359.45
2013-05-03,342.0
2013-05-06,325.3
2013-05-08,310.0
2013-05-10,284.0
2013-05-13,260.0
2013-05-17,270.0
2013-05-21,260.0
2013-05-28,255.1
2013-05-29,242.5
2013-05-31,230.6
2013-06-04,222.0
2013-06-05,233.0
2013-06-07,222.2
2013-06-10,211.85
2013-06-11,211.85
2013-06-12,211.0
2013-06-13,211.0
2013-06-19,220.0
2013-06-20,225.0
2013-06-21,220.0
2013-06-25,219.95
2013-06-26,210.0
2013-07-02,203.0
2013-07-03,202.0
2013-07-04,195.0
2013-07-08,185.6
2013-07-15,177.0
2013-07-16,169.0
2013-07-17,169.0
2013-07-19,177.45
2013-07-22,168.6
2013-07-24,161.0
2013-07-25,153.0
2013-07-26,160.45
2013-07-30,168.45
2013-08-01,160.6
2013-08-06,160.7
2013-08-07,160.7
2013-08-16,167.0
2013-08-27,164.0
2013-09-02,171.5
2013-09-11,170.0
2013-09-16,170.0
2013-10-03,178.0
2013-10-04,186.0
2013-10-07,194.0
2013-10-08,203.7
2013-10-09,210.0
2013-10-10,199.5
2013-10-11,189.55
2013-10-14,180.1
2013-10-17,171.1
2013-10-18,163.0
2013-10-21,156.7
2013-10-22,158.0
2013-10-23,163.0
2013-10-24,155.0
2013-10-25,147.5
2013-10-28,140.15
2013-10-29,133.15
2013-10-30,127.0
2013-10-31,121.0
2013-11-01,115.0
2013-11-05,120.75
2013-11-07,126.75
2013-11-08,133.0
2013-11-11,127.0
2013-11-12,122.0
2013-11-13,128.0
2013-11-14,134.3
2013-11-18,140.0
2013-11-19,147.0
2013-11-20,139.65
2013-11-21,145.9
2013-11-26,147.0
2013-11-27,142.0
2013-11-28,147.0
2013-12-03,150.0
2013-12-04,151.5
2013-12-10,145.0
2013-12-18,145.0
2013-12-20,144.0
2013-12-23,145.0
2013-12-24,139.0
2013-12-26,132.1
2014-01-01,128.0
2014-01-02,133.0
2014-01-03,126.35
2014-01-09,130.0
2014-01-13,125.15
2014-01-14,125.5
2014-01-15,120.1
2014-01-16,116.1
2014-01-17,116.0
2014-01-20,110.65
2014-01-21,108.05
2014-01-22,106.2
2014-01-23,111.15
2014-01-24,105.6
2014-01-27,105.55
2014-01-28,105.0
2014-01-29,100.3
2014-01-30,103.65
2014-01-31,103.0
2014-02-04,103.0
2014-02-05,104.55
2014-02-06,108.65
2014-02-07,103.25
2014-02-10,98.1
2014-02-11,93.2
2014-02-12,94.0
2014-02-13,96.05
2014-02-17,91.25
2014-02-18,87.1
2014-02-19,91.45
2014-02-20,95.0
2014-02-21,99.0
2014-02-24,103.9
2014-02-25,103.9
2014-02-28,105.0
2014-03-03,99.75
2014-03-04,103.9
2014-03-05,105.0
2014-03-06,104.0
2014-03-07,95.45
2014-03-10,96.8
2014-03-11,98.0
2014-03-12,97.05
2014-03-13,106.35
2014-03-14,113.75
2014-03-18,123.65
2014-03-19,126.45
2014-03-20,121.15
2014-03-21,122.75
2014-03-22,118.3
2014-03-24,117.5
2014-03-25,112.2
2014-03-26,107.3
2014-03-27,104.5
2014-06-13,145.7
2014-06-16,150.0
2014-06-17,151.0
2014-06-18,154.65
2014-06-19,153.0
2014-06-20,153.3
