Date,UNITEDTEA
2013-01-01,220.0
2013-01-02,222.95
2013-01-03,220.0
2013-01-04,223.0
2013-01-07,225.0
2013-01-08,226.0
2013-01-09,220.15
2013-01-10,211.55
2013-01-11,220.0
2013-01-14,222.75
2013-01-15,222.0
2013-01-16,220.25
2013-01-17,230.0
2013-01-18,229.0
2013-01-21,226.95
2013-01-22,215.7
2013-01-23,221.0
2013-01-24,219.75
2013-01-25,217.0
2013-01-29,210.3
2013-01-30,218.0
2013-02-04,222.0
2013-02-05,212.6
2013-02-06,207.4
2013-02-07,213.95
2013-02-08,205.5
2013-02-11,202.15
2013-02-12,212.25
2013-02-13,215.0
2013-02-14,215.0
2013-02-15,215.0
2013-02-18,215.0
2013-02-19,215.0
2013-02-21,212.0
2013-02-22,201.45
2013-02-25,191.55
2013-02-26,200.0
2013-02-27,208.95
2013-03-06,209.05
2013-03-07,215.0
2013-03-08,219.6
2013-03-12,208.0
2013-03-13,208.25
2013-03-14,204.1
2013-03-15,201.0
2013-03-19,190.05
2013-03-21,188.05
2013-03-26,201.0
2013-03-28,190.0
2013-04-01,194.0
2013-04-11,200.0
2013-04-12,216.6
2013-04-15,217.0
2013-04-16,217.0
2013-04-23,210.0
2013-04-25,215.0
2013-04-26,214.0
2013-04-30,219.0
2013-05-03,219.0
2013-05-08,219.0
2013-05-10,221.0
2013-05-14,223.0
2013-05-15,223.0
2013-05-21,233.5
2013-05-22,221.85
2013-05-23,223.0
2013-05-24,223.0
2013-05-28,215.05
2013-05-30,205.15
2013-06-04,205.0
2013-06-06,214.0
2013-06-07,214.0
2013-06-10,214.0
2013-06-13,205.0
2013-06-14,213.0
2013-06-26,203.0
2013-06-27,193.35
2013-07-02,192.0
2013-07-04,191.0
2013-07-09,193.0
2013-07-10,193.0
2013-07-12,193.0
2013-07-23,201.0
2013-07-24,200.0
2013-07-25,200.0
2013-07-29,200.0
2013-08-13,200.0
2013-08-14,200.0
2013-08-26,210.0
2013-08-27,200.0
2013-09-02,210.0
2013-09-04,205.0
2013-09-05,205.0
2013-09-19,200.0
2013-09-20,200.0
2013-09-23,200.0
2013-09-25,195.0
2013-10-01,204.75
2013-10-03,210.0
2013-10-04,218.9
2013-10-07,216.0
2013-10-08,216.0
2013-10-15,216.0
2013-10-17,216.0
2013-10-18,216.0
2013-10-21,210.0
2013-10-22,202.5
2013-10-23,210.0
2013-10-24,210.0
2013-10-29,210.0
2013-11-01,218.0
2013-11-05,228.0
2013-11-06,218.0
2013-11-07,210.0
2013-11-22,211.05
2013-11-27,210.0
2013-11-29,209.0
2013-12-02,219.0
2013-12-03,219.0
2013-12-04,215.05
2013-12-05,219.0
2013-12-06,219.0
2013-12-10,217.95
2013-12-11,220.0
2013-12-12,228.8
2013-12-13,221.0
2013-12-17,221.0
2013-12-18,220.0
2013-12-19,209.0
2013-12-20,219.0
2013-12-23,214.0
2013-12-24,219.0
2013-12-26,221.0
2013-12-27,217.0
2014-01-02,213.05
2014-01-03,207.0
2014-01-06,210.0
2014-01-07,215.0
2014-01-08,225.75
2014-01-09,227.1
2014-01-10,232.0
2014-01-13,231.3
2014-01-16,220.0
2014-01-17,231.0
2014-01-21,229.0
2014-01-22,219.45
2014-01-24,220.0
2014-01-28,215.0
2014-01-29,217.0
2014-02-03,218.0
2014-02-06,217.0
2014-02-07,210.25
2014-02-10,208.55
2014-02-11,209.0
2014-02-12,213.95
2014-02-14,210.0
2014-02-17,215.0
2014-02-18,215.0
2014-02-19,219.0
2014-02-20,225.0
2014-02-21,228.6
2014-02-24,236.0
2014-02-25,235.6
2014-02-26,247.0
2014-02-28,242.0
2014-03-03,253.0
2014-03-04,245.05
2014-03-05,255.0
2014-03-06,260.0
2014-03-07,260.0
2014-03-10,269.5
2014-03-11,268.75
2014-03-12,270.0
2014-03-13,275.9
2014-03-18,266.2
2014-03-20,253.0
2014-03-25,260.8
2014-03-27,254.8
2014-04-01,254.0
2014-04-02,242.95
2014-04-03,244.55
2014-04-04,238.8
2014-04-07,240.0
2014-04-09,228.0
2014-04-10,239.4
2014-04-15,231.55
2014-04-16,225.2
2014-04-17,225.0
2014-04-22,214.05
2014-04-23,223.0
2014-04-25,225.0
2014-04-29,228.8
2014-05-02,228.8
2014-05-05,217.4
2014-05-06,207.5
2014-05-12,197.6
2014-05-13,207.0
2014-05-14,197.2
2014-05-15,206.0
2014-05-16,196.6
2014-05-19,201.25
2014-05-20,200.0
2014-05-21,203.1
2014-05-22,210.0
2014-05-23,219.9
2014-05-26,210.0
2014-05-27,203.0
2014-05-29,205.0
2014-06-02,214.9
2014-06-03,225.0
2014-06-04,225.4
2014-06-05,230.0
2014-06-06,232.25
2014-06-09,242.3
2014-06-10,253.8
2014-06-11,249.9
2014-06-12,250.0
2014-06-13,241.0
2014-06-16,241.0
2014-06-20,240.0
2014-06-24,250.1
2014-06-25,261.9
2014-06-27,250.0
2014-06-30,241.5
2014-07-02,253.5
2014-07-03,241.0
2014-07-04,242.0
2014-07-07,245.0
2014-07-08,234.1
2014-07-09,234.1
2014-07-11,231.0
2014-07-14,234.9
2014-07-15,231.45
2014-07-16,230.0
2014-07-22,240.95
2014-07-23,252.0
2014-07-24,259.0
2014-07-25,259.5
2014-07-28,268.0
2014-08-01,258.0
2014-08-05,245.1
2014-08-06,257.0
2014-08-07,244.15
2014-08-08,240.05
2014-08-11,244.0
2014-08-12,232.75
2014-08-13,243.9
2014-08-14,253.0
2014-08-18,252.95
2014-08-19,252.9
2014-08-20,252.5
2014-08-21,252.45
2014-08-22,259.0
2014-08-25,260.0
2014-08-26,248.45
2014-08-27,256.0
2014-08-28,248.0
2014-09-01,257.65
2014-09-02,255.9
2014-09-03,251.25
2014-09-04,247.1
2014-09-05,247.05
2014-09-08,249.95
2014-09-09,259.0
2014-09-10,255.0
2014-09-11,249.1
2014-09-12,249.0
2014-09-15,246.0
2014-09-17,243.3
2014-09-18,251.25
2014-09-19,243.8
2014-09-23,244.35
2014-09-24,234.5
2014-09-26,229.0
2014-09-29,226.1
2014-09-30,225.4
2014-10-01,230.0
2014-10-07,227.0
2014-10-08,227.0
2014-10-09,235.0
2014-10-10,223.05
2014-10-13,224.0
2014-10-16,219.4
2014-10-17,212.6
2014-10-20,218.1
2014-10-21,211.3
2014-10-27,211.0
2014-10-28,215.0
2014-10-31,210.05
2014-11-03,214.0
2014-11-05,210.15
2014-11-07,224.0
2014-11-10,229.5
2014-11-11,218.25
2014-11-12,224.0
2014-11-13,215.5
2014-11-14,225.45
2014-11-17,220.25
2014-11-18,211.35
2014-11-19,221.75
2014-11-20,228.8
2014-11-21,218.15
2014-11-24,215.15
2014-11-25,224.0
2014-11-26,228.0
2014-11-27,227.9
2014-11-28,226.0
2014-12-01,229.0
2014-12-02,233.0
2014-12-03,222.0
2014-12-04,228.0
2014-12-05,234.0
2014-12-08,235.0
2014-12-09,225.7
2014-12-10,234.7
2014-12-11,223.0
2014-12-12,221.0
2014-12-16,230.0
2014-12-17,219.0
2014-12-18,211.0
2014-12-19,218.0
2014-12-22,216.3
2014-12-23,207.75
2014-12-24,218.0
2014-12-26,209.4
2014-12-29,219.85
2014-12-31,226.8
2015-01-01,229.0
2015-01-05,221.0
2015-01-06,221.05
2015-01-08,217.0
2015-01-09,215.0
2015-01-12,208.35
2015-01-13,211.3
2015-01-14,220.9
2015-01-15,214.0
2015-01-16,223.9
2015-01-19,214.15
2015-01-20,207.1
2015-01-21,199.3
2015-01-22,206.75
2015-01-23,204.0
2015-01-28,210.95
2015-01-29,210.0
2015-01-30,209.0
2015-02-02,210.0
2015-02-03,210.0
2015-02-04,202.15
2015-02-06,200.0
2015-02-09,205.25
2015-02-10,208.8
2015-02-11,213.95
2015-02-13,204.1
2015-02-16,203.0
2015-02-18,200.0
2015-02-19,202.55
2015-02-20,200.0
2015-02-23,205.0
2015-02-24,196.0
2015-02-25,203.75
2015-02-26,195.05
2015-02-27,200.0
2015-03-02,195.0
2015-03-03,203.95
2015-03-04,197.0
2015-03-05,203.0
2015-03-11,198.95
2015-03-12,202.0
2015-03-13,195.45
