Date,ARCHIDPLY
2013-01-01,9.0
2013-01-02,9.2
2013-01-03,9.0
2013-01-04,9.5
2013-01-07,9.9
2013-01-08,9.95
2013-01-09,9.9
2013-01-10,9.8
2013-01-11,9.75
2013-01-14,9.7
2013-01-15,9.4
2013-01-16,9.5
2013-01-17,9.1
2013-01-18,9.0
2013-01-21,8.75
2013-01-22,9.3
2013-01-23,9.3
2013-01-24,9.0
2013-01-25,8.85
2013-01-28,8.85
2013-01-29,9.3
2013-01-30,9.0
2013-01-31,9.0
2013-02-01,9.1
2013-02-04,9.0
2013-02-05,8.55
2013-02-06,8.95
2013-02-07,8.7
2013-02-08,9.05
2013-02-11,9.0
2013-02-12,9.1
2013-02-13,8.7
2013-02-14,8.6
2013-02-15,8.45
2013-02-18,8.55
2013-02-19,8.4
2013-02-20,8.65
2013-02-21,8.25
2013-02-22,8.5
2013-02-25,8.3
2013-02-26,8.25
2013-02-27,7.8
2013-02-28,7.9
2013-03-01,7.9
2013-03-04,8.2
2013-03-05,8.3
2013-03-06,8.35
2013-03-07,7.75
2013-03-08,7.8
2013-03-11,7.5
2013-03-12,7.8
2013-03-13,7.7
2013-03-14,7.95
2013-03-15,7.5
2013-03-18,7.65
2013-03-19,7.45
2013-03-20,7.25
2013-03-21,7.0
2013-03-22,7.0
2013-03-25,6.75
2013-03-26,6.75
2013-03-28,6.25
2013-04-01,7.0
2013-04-02,6.55
2013-04-03,7.15
2013-04-04,6.9
2013-04-05,6.9
2013-04-08,7.05
2013-04-09,7.4
2013-04-10,6.95
2013-04-11,6.9
2013-04-12,6.9
2013-04-16,7.25
2013-04-17,7.25
2013-04-22,6.9
2013-04-23,7.6
2013-04-25,7.25
2013-04-26,7.1
2013-04-29,7.6
2013-04-30,6.9
2013-05-02,6.9
2013-05-03,7.0
2013-05-06,7.0
2013-05-07,7.65
2013-05-08,7.0
2013-05-09,6.95
2013-05-10,7.1
2013-05-11,6.95
2013-05-13,7.0
2013-05-14,7.55
2013-05-15,7.05
2013-05-16,7.35
2013-05-17,7.8
2013-05-20,7.5
2013-05-21,7.65
2013-05-22,7.5
2013-05-23,7.8
2013-05-24,7.55
2013-05-27,7.65
2013-05-28,8.05
2013-05-29,8.0
2013-05-30,7.75
2013-05-31,7.95
2013-06-03,7.65
2013-06-04,8.05
2013-06-05,8.45
2013-06-06,8.65
2013-06-07,9.0
2013-06-10,8.0
2013-06-11,9.0
2013-06-12,8.5
2013-06-13,8.5
2013-06-14,8.55
2013-06-17,8.6
2013-06-18,8.4
2013-06-19,8.4
2013-06-21,8.0
2013-06-24,8.5
2013-06-25,8.3
2013-06-26,8.25
2013-06-27,8.6
2013-06-28,7.95
2013-07-01,7.9
2013-07-02,8.25
2013-07-03,7.95
2013-07-04,8.5
2013-07-05,7.85
2013-07-12,8.6
2013-07-15,7.45
2013-07-16,6.5
2013-07-17,7.8
2013-07-19,6.5
2013-07-22,6.65
2013-07-23,6.4
2013-07-24,5.8
2013-07-25,6.9
2013-07-26,6.1
2013-07-31,6.0
2013-08-07,5.0
2013-08-14,5.0
2013-08-16,5.5
2013-08-19,5.1
2013-08-20,5.1
2013-08-21,4.2
2013-08-22,4.05
2013-08-27,4.45
2013-08-28,4.5
2013-09-02,4.1
2013-09-04,4.3
2013-09-05,4.5
2013-09-06,4.7
2013-09-11,4.9
2013-09-12,5.1
2013-09-13,5.35
2013-09-16,5.3
2013-09-17,5.55
2013-09-18,5.8
2013-09-19,6.05
2013-09-20,6.05
2013-09-23,6.0
2013-09-24,6.0
2013-09-25,6.3
2013-09-26,6.6
2013-10-03,6.9
2013-10-04,7.15
2013-10-08,7.3
2013-10-09,7.4
2013-10-10,7.4
2013-10-11,7.6
2013-10-14,7.9
2013-10-15,7.55
2013-10-17,7.8
2013-10-18,7.65
2013-10-22,7.5
2013-10-23,7.8
2013-10-24,7.45
2013-10-28,7.15
2013-10-30,6.8
2013-11-01,6.5
2013-11-03,6.25
2013-11-05,6.2
2013-11-06,6.0
2013-11-08,6.0
2013-11-12,6.0
2013-11-14,6.3
2013-11-18,6.3
2013-11-19,6.55
2013-11-20,6.3
2013-11-21,6.5
2013-11-22,6.8
2013-11-25,6.75
2013-11-27,6.55
2013-11-28,6.35
2013-12-02,6.5
2013-12-04,6.5
2013-12-05,6.25
2013-12-06,6.1
2013-12-10,6.4
2013-12-11,6.4
2013-12-17,6.7
2013-12-20,7.0
2013-12-26,6.75
2013-12-27,7.0
2013-12-30,7.35
2013-12-31,7.0
2014-01-01,7.35
2014-01-02,7.7
2014-01-07,7.35
2014-01-08,7.7
2014-01-09,8.05
2014-01-10,8.45
2014-06-13,16.2
2014-06-16,16.2
2014-06-17,15.4
2014-06-18,14.65
2014-06-19,14.8
2014-06-20,14.1
2014-06-23,13.9
2014-06-24,14.1
2014-06-25,14.0
2014-06-26,14.7
2014-06-27,15.4
2014-06-30,16.15
2014-07-01,16.0
2014-07-02,15.85
2014-07-03,15.3
2014-07-04,15.55
2014-07-07,16.5
2014-07-08,15.8
2014-07-09,15.45
2014-07-10,14.85
2014-07-11,15.0
2014-07-14,14.7
2014-07-15,14.65
2014-07-16,14.7
2014-07-17,15.15
2014-07-18,15.25
2014-07-21,16.75
2014-07-22,17.35
2014-07-23,17.3
2014-07-24,17.0
2014-07-25,17.25
2014-07-28,16.3
2014-07-30,16.45
2014-07-31,16.95
2014-08-01,16.5
2014-08-04,16.0
2014-08-05,16.3
2014-08-06,16.1
2014-08-07,16.55
2014-08-08,16.25
2014-08-11,16.1
2014-08-12,15.55
2014-08-13,15.45
2014-08-14,15.35
2014-08-18,16.85
2014-08-19,20.2
2014-08-20,21.3
2014-08-21,20.15
2014-08-22,21.75
2014-08-25,22.1
2014-08-26,21.85
2014-08-27,21.05
2014-08-28,20.65
2014-09-01,22.15
2014-09-02,21.05
2014-09-03,20.75
2014-09-04,20.25
2014-09-05,20.2
2014-09-08,21.65
2014-09-09,21.75
2014-09-10,21.5
2014-09-11,21.6
2014-09-12,23.55
2014-09-15,25.9
2014-09-16,24.85
2014-09-17,24.45
2014-09-18,26.35
2014-09-19,27.25
2014-09-22,27.7
2014-09-23,26.5
2014-09-24,25.75
2014-09-25,24.35
2014-09-26,24.8
2014-09-29,24.55
2014-09-30,25.55
2014-10-01,24.8
2014-10-07,24.55
2014-10-08,24.8
2014-10-09,25.0
2014-10-10,24.9
2014-10-13,24.0
2014-10-14,23.45
2014-10-16,23.05
2014-10-17,23.8
2014-10-20,23.3
2014-10-21,23.1
2014-10-22,23.75
2014-10-23,24.8
2014-10-27,24.4
2014-10-28,27.5
2014-10-29,28.85
2014-10-30,27.55
2014-10-31,33.05
2014-11-03,34.95
2014-11-05,37.35
2014-11-07,35.65
2014-11-10,36.0
2014-11-11,36.3
2014-11-12,39.9
2014-11-13,40.7
2014-11-14,39.55
2014-11-17,37.65
2014-11-18,37.25
2014-11-19,37.4
2014-11-20,35.9
2014-11-21,35.3
2014-11-24,34.85
2014-11-25,35.4
2014-11-26,37.85
2014-11-27,38.05
2014-11-28,37.75
2014-12-01,36.4
2014-12-02,36.0
2014-12-03,36.0
2014-12-04,36.35
2014-12-05,43.35
2014-12-08,42.45
2014-12-09,41.95
2014-12-10,47.65
2014-12-11,46.4
2014-12-12,44.05
2014-12-15,43.7
2014-12-16,39.6
2014-12-17,37.4
2014-12-18,44.8
2014-12-19,42.35
2014-12-22,42.4
2014-12-23,41.0
2014-12-24,44.55
2014-12-26,44.2
