Date,BAJAJFINSV
2013-01-01,911.65
2013-01-02,910.3
2013-01-03,914.9
2013-01-04,930.6
2013-01-07,917.3
2013-01-08,914.4
2013-01-09,916.3
2013-01-10,909.95
2013-01-11,888.25
2013-01-14,867.0
2013-01-15,873.65
2013-01-16,840.35
2013-01-17,829.0
2013-01-18,842.6
2013-01-21,859.9
2013-01-22,866.75
2013-01-23,869.2
2013-01-24,854.1
2013-01-25,857.0
2013-01-28,837.1
2013-01-29,832.65
2013-01-30,841.5
2013-01-31,852.0
2013-02-01,850.35
2013-02-04,850.85
2013-02-05,839.75
2013-02-06,841.9
2013-02-07,835.25
2013-02-08,825.55
2013-02-11,823.2
2013-02-12,809.1
2013-02-13,778.9
2013-02-14,756.65
2013-02-15,763.1
2013-02-18,777.05
2013-02-19,770.3
2013-02-20,825.0
2013-02-21,831.3
2013-02-22,823.9
2013-02-25,850.45
2013-02-26,843.15
2013-02-27,844.85
2013-02-28,810.2
2013-03-01,807.5
2013-03-04,805.3
2013-03-05,807.2
2013-03-06,804.55
2013-03-07,803.55
2013-03-08,810.35
2013-03-11,804.7
2013-03-12,801.65
2013-03-13,797.05
2013-03-14,795.45
2013-03-15,795.1
2013-03-18,772.6
2013-03-19,765.25
2013-03-20,763.9
2013-03-21,762.05
2013-03-22,765.5
2013-03-25,766.35
2013-03-26,759.55
2013-03-28,771.55
2013-04-01,780.65
2013-04-02,777.3
2013-04-03,759.05
2013-04-04,757.1
2013-04-05,756.3
2013-04-08,756.05
2013-04-09,754.95
2013-04-10,752.45
2013-04-11,750.35
2013-04-12,750.3
2013-04-15,748.7
2013-04-16,761.2
2013-04-17,752.75
2013-04-18,778.6
2013-04-22,776.6
2013-04-23,779.55
2013-04-25,766.85
2013-04-26,761.55
2013-04-29,751.4
2013-04-30,741.9
2013-05-02,750.7
2013-05-03,729.6
2013-05-06,734.15
2013-05-07,751.9
2013-05-08,764.15
2013-05-09,757.0
2013-05-10,757.0
2013-05-11,762.55
2013-05-13,760.95
2013-05-14,762.85
2013-05-15,754.75
2013-05-16,722.65
2013-05-17,707.9
2013-05-20,698.5
2013-05-21,671.45
2013-05-22,686.3
2013-05-23,669.6
2013-05-24,669.45
2013-05-27,679.5
2013-05-28,690.25
2013-05-29,667.8
2013-05-30,667.5
2013-05-31,662.95
2013-06-03,664.45
2013-06-04,669.2
2013-06-05,662.05
2013-06-06,661.25
2013-06-07,658.0
2013-06-10,650.5
2013-06-11,624.55
2013-06-12,623.65
2013-06-13,617.95
2013-06-14,619.25
2013-06-17,616.9
2013-06-18,635.3
2013-06-19,634.45
2013-06-20,621.4
2013-06-21,623.1
2013-06-24,621.1
2013-06-25,620.35
2013-06-26,629.85
2013-06-27,635.05
2013-06-28,642.5
2013-07-01,641.15
2013-07-02,667.15
2013-07-03,638.35
2013-07-04,635.2
2013-07-05,635.25
2013-07-08,624.95
2013-07-09,634.2
2013-07-10,655.45
2013-07-11,668.45
2013-07-12,663.5
2013-07-15,660.9
2013-07-16,643.2
2013-07-17,629.85
2013-07-18,636.95
2013-07-19,630.35
2013-07-22,633.4
2013-07-23,646.15
2013-07-24,633.05
2013-07-25,623.45
2013-07-26,614.35
2013-07-29,613.2
2013-07-30,610.75
2013-07-31,589.6
2013-08-01,578.5
2013-08-02,590.45
2013-08-05,607.25
2013-08-06,582.5
2013-08-07,569.0
2013-08-08,568.3
2013-08-12,586.55
2013-08-13,585.8
2013-08-14,603.4
2013-08-16,584.25
2013-08-19,579.1
2013-08-20,566.6
2013-08-21,564.4
2013-08-22,565.65
2013-08-23,571.15
2013-08-26,581.65
2013-08-27,576.65
2013-08-28,588.75
2013-08-29,595.9
2013-08-30,590.1
2013-09-02,590.25
2013-09-03,581.8
2013-09-04,583.9
2013-09-05,569.0
2013-09-06,579.3
2013-09-10,589.3
2013-09-11,590.55
2013-09-12,574.1
2013-09-13,578.8
2013-09-16,580.1
2013-09-17,578.85
2013-09-18,584.9
2013-09-19,600.15
2013-09-20,600.35
2013-09-23,590.0
2013-09-24,591.9
2013-09-25,610.75
2013-09-26,622.3
2013-09-27,613.85
2013-09-30,605.45
2013-10-01,601.35
2013-10-03,597.3
2013-10-04,599.0
2013-10-07,627.6
2013-10-08,632.85
2013-10-09,641.0
2013-10-10,645.25
2013-10-11,640.15
2013-10-14,641.7
2013-10-15,655.9
2013-10-17,633.3
2013-10-18,652.9
2013-10-21,643.15
2013-10-22,645.5
2013-10-23,643.5
2013-10-24,647.2
2013-10-25,637.05
2013-10-28,630.9
2013-10-29,625.75
2013-10-30,627.8
2013-10-31,638.1
2013-11-01,649.0
2013-11-03,656.8
2013-11-05,665.95
2013-11-06,668.35
2013-11-07,668.4
2013-11-08,671.05
2013-11-11,670.15
2013-11-12,675.15
2013-11-13,672.45
2013-11-14,688.95
2013-11-18,694.3
2013-11-19,707.85
2013-11-20,701.15
2013-11-21,686.75
2013-11-22,701.0
2013-11-25,714.3
2013-11-26,717.1
2013-11-27,707.7
2013-11-28,718.75
2013-11-29,732.4
2013-12-02,733.8
2013-12-03,739.05
2013-12-04,722.75
2013-12-05,730.9
2013-12-06,738.25
2013-12-09,728.5
2013-12-10,710.85
2013-12-11,703.0
2013-12-12,694.4
2013-12-13,695.1
2013-12-16,676.0
2013-12-17,680.3
2013-12-18,692.55
2013-12-19,699.25
2013-12-20,722.6
2013-12-23,717.0
2013-12-24,702.45
2013-12-26,712.2
2013-12-27,726.1
2013-12-30,729.6
2013-12-31,742.7
2014-01-01,760.1
2014-01-02,728.35
2014-01-03,729.3
2014-01-06,731.7
2014-01-07,731.05
2014-01-08,738.3
2014-01-09,732.2
2014-01-10,731.55
2014-01-13,719.55
2014-01-14,721.55
2014-01-15,723.8
2014-01-16,714.0
2014-01-17,692.0
2014-01-20,684.25
2014-01-21,681.3
2014-01-22,703.1
2014-01-23,686.75
2014-01-24,686.55
2014-01-27,677.2
2014-01-28,679.0
2014-01-29,681.25
2014-01-30,677.9
2014-01-31,680.15
2014-02-03,664.5
2014-02-04,687.5
2014-02-05,684.35
2014-02-06,681.85
2014-02-07,686.7
