Date,GREENPLY
2013-01-01,320.7
2013-01-02,335.85
2013-01-03,344.8
2013-01-04,359.6
2013-01-07,405.7
2013-01-08,394.45
2013-01-09,397.5
2013-01-10,395.65
2013-01-11,387.8
2013-01-14,391.0
2013-01-15,387.2
2013-01-16,392.45
2013-01-17,397.15
2013-01-18,395.3
2013-01-21,408.85
2013-01-22,429.45
2013-01-23,439.15
2013-01-24,417.8
2013-01-25,429.85
2013-01-28,427.25
2013-01-29,418.4
2013-01-30,407.9
2013-01-31,400.4
2013-02-01,406.75
2013-02-04,414.25
2013-02-05,413.95
2013-02-06,412.8
2013-02-07,408.1
2013-02-08,413.95
2013-02-11,404.75
2013-02-12,400.45
2013-02-13,399.4
2013-02-14,396.95
2013-02-15,393.05
2013-02-18,392.1
2013-02-19,390.05
2013-02-20,397.6
2013-02-21,391.35
2013-02-22,394.6
2013-02-25,374.85
2013-02-26,359.45
2013-02-27,365.5
2013-02-28,344.05
2013-03-01,351.1
2013-03-04,356.8
2013-03-05,364.75
2013-03-06,380.45
2013-03-07,388.7
2013-03-08,393.95
2013-03-11,394.2
2013-03-12,389.5
2013-03-13,370.95
2013-03-14,383.35
2013-03-15,379.0
2013-03-18,372.15
2013-03-19,369.5
2013-03-20,350.8
2013-03-21,354.7
2013-03-22,360.05
2013-03-25,347.15
2013-03-26,342.2
2013-03-28,356.55
2013-04-01,373.15
2013-04-02,378.15
2013-04-03,414.75
2013-04-04,409.95
2013-04-05,412.0
2013-04-08,415.2
2013-04-09,449.9
2013-04-10,434.25
2013-04-11,414.1
2013-04-12,411.1
2013-04-15,410.15
2013-04-16,405.95
2013-04-17,401.95
2013-04-18,405.7
2013-04-22,411.75
2013-04-23,422.25
2013-04-25,406.5
2013-04-26,405.15
2013-04-29,408.75
2013-04-30,403.95
2013-05-02,408.3
2013-05-03,414.8
2013-05-06,413.25
2013-05-07,419.0
2013-05-08,416.65
2013-05-09,410.15
2013-05-10,409.0
2013-05-11,408.95
2013-05-13,411.1
2013-05-14,409.8
2013-05-15,408.7
2013-05-16,407.0
2013-05-17,406.1
2013-05-20,404.2
2013-05-21,392.2
2013-05-22,396.1
2013-05-23,399.0
2013-05-24,395.1
2013-05-27,418.6
2013-05-28,436.25
2013-05-29,448.65
2013-05-30,493.55
2013-05-31,480.2
2013-06-03,493.75
2013-06-04,485.9
2013-06-05,480.55
2013-06-06,476.65
2013-06-07,475.9
2013-06-10,460.8
2013-06-11,451.3
2013-06-12,449.05
2013-06-13,449.4
2013-06-14,457.65
2013-06-17,468.55
2013-06-18,464.05
2013-06-19,452.55
2013-06-20,445.55
2013-06-21,446.25
2013-06-24,428.3
2013-06-25,437.3
2013-06-26,424.5
2013-06-27,425.45
2013-06-28,422.6
2013-07-01,436.2
2013-07-02,450.05
2013-07-03,440.05
2013-07-04,449.2
2013-07-05,455.2
2013-07-08,455.0
2013-07-09,487.65
2013-07-10,480.3
2013-07-11,478.9
2013-07-12,475.0
2013-07-15,482.35
2013-07-16,475.3
2013-07-17,487.5
2013-07-18,493.65
2013-07-19,498.7
2013-07-22,506.35
2013-07-23,497.9
2013-07-24,492.6
2013-07-25,482.7
2013-07-26,483.0
2013-07-29,474.9
2013-07-30,453.55
2013-07-31,446.0
2013-08-01,445.5
2013-08-02,443.25
2013-08-05,443.85
2013-08-06,433.15
2013-08-07,425.15
2013-08-08,438.45
2013-08-12,438.35
2013-08-13,449.05
2013-08-14,435.9
2013-08-16,417.9
2013-08-19,427.1
2013-08-20,428.15
2013-08-21,428.35
2013-08-22,432.05
2013-08-23,431.2
2013-08-26,436.25
2013-08-27,421.85
2013-08-28,404.05
2013-08-29,405.5
2013-08-30,395.4
2013-09-02,392.85
2013-09-03,392.05
2013-09-04,408.65
2013-09-05,400.05
2013-09-06,403.75
2013-09-10,402.05
2013-09-11,407.8
2013-09-12,409.95
2013-09-13,401.25
2013-09-16,388.5
2013-09-17,374.75
2013-09-18,377.0
2013-09-19,372.95
2013-09-20,393.45
2013-09-23,382.45
2013-09-24,388.1
2013-09-25,383.5
2013-09-26,371.65
2013-09-27,360.25
2013-09-30,368.25
2013-10-01,369.15
2013-10-03,374.35
2013-10-04,367.0
2013-10-07,383.6
