Date,HDFCMFGETF
2013-01-01,3028.5
2013-01-02,3024.85
2013-01-03,3045.15
2013-01-04,3009.15
2013-01-07,3016.15
2013-01-08,3001.2
2013-01-09,2997.75
2013-01-10,2990.1
2013-01-11,2995.75
2013-01-14,2993.0
2013-01-15,3010.75
2013-01-16,3011.75
2013-01-17,3003.05
2013-01-18,3003.35
2013-01-21,3002.85
2013-01-22,3011.6
2013-01-23,3013.9
2013-01-24,3005.45
2013-01-25,2999.5
2013-01-28,2995.7
2013-01-29,2989.75
2013-01-30,2984.95
2013-01-31,2986.2
2013-02-01,2982.75
2013-02-04,2976.6
2013-02-05,2976.3
2013-02-06,2971.4
2013-02-07,2998.35
2013-02-08,2992.7
2013-02-11,2980.05
2013-02-12,2974.1
2013-02-13,2974.0
2013-02-14,2966.45
2013-02-15,2964.5
2013-02-18,2938.7
2013-02-19,2926.35
2013-02-20,2907.25
2013-02-21,2861.1
2013-02-22,2886.4
2013-02-25,2874.95
2013-02-26,2877.35
2013-02-27,2873.9
2013-02-28,2863.3
2013-03-01,2863.85
2013-03-04,2872.95
2013-03-05,2866.25
2013-03-06,2857.7
2013-03-07,2909.15
2013-03-08,2876.7
2013-03-11,2865.25
2013-03-12,2860.85
2013-03-13,2870.1
2013-03-14,2844.0
2013-03-15,2887.5
2013-03-18,2877.55
2013-03-19,2876.0
2013-03-20,2888.55
2013-03-21,2871.55
2013-03-22,2876.35
2013-03-25,2864.7
2013-03-26,2861.6
2013-03-28,2867.25
2013-04-01,2906.0
2013-04-02,2887.05
2013-04-03,2841.2
2013-04-04,2837.25
2013-04-05,2843.55
2013-04-08,2901.5
2013-04-09,2872.45
2013-04-10,2871.8
2013-04-11,2852.65
2013-04-12,2812.45
2013-04-15,2548.9
2013-04-16,2563.25
2013-04-17,2573.35
2013-04-18,2565.75
2013-04-22,2657.0
2013-04-23,2627.7
2013-04-25,2650.75
2013-04-26,2680.95
2013-04-29,2684.0
2013-04-30,2682.8
2013-05-02,2642.85
2013-05-03,2661.35
2013-05-06,2668.4
2013-05-07,2661.9
2013-05-08,2658.7
2013-05-09,2678.5
2013-05-10,2673.65
2013-05-11,2684.05
2013-05-13,2667.75
2013-05-14,2657.45
2013-05-15,2638.6
2013-05-16,2590.05
