Date,KRBL
2013-01-01,27.05
2013-01-02,27.75
2013-01-03,27.65
2013-01-04,26.95
2013-01-07,26.8
2013-01-08,26.8
2013-01-09,26.7
2013-01-10,26.65
2013-01-11,26.3
2013-01-14,26.45
2013-01-15,26.45
2013-01-16,25.55
2013-01-17,25.25
2013-01-18,25.05
2013-01-21,25.7
2013-01-22,25.45
2013-01-23,25.85
2013-01-24,25.45
2013-01-25,25.2
2013-01-28,25.4
2013-01-29,25.25
2013-01-30,26.6
2013-01-31,26.95
2013-02-01,26.55
2013-02-04,26.65
2013-02-05,26.3
2013-02-06,27.0
2013-02-07,27.1
2013-02-08,26.75
2013-02-11,27.1
2013-02-12,27.4
2013-02-13,26.15
2013-02-14,25.65
2013-02-15,24.8
2013-02-18,24.45
2013-02-19,24.45
2013-02-20,25.15
2013-02-21,24.75
2013-02-22,25.2
2013-02-25,24.6
2013-02-26,24.15
2013-02-27,24.15
2013-02-28,24.1
2013-03-01,24.1
2013-03-04,24.2
2013-03-05,24.35
2013-03-06,24.3
2013-03-07,24.35
2013-03-08,24.3
2013-03-11,24.3
2013-03-12,24.25
2013-03-13,24.1
2013-03-14,23.95
2013-03-15,23.7
2013-03-18,23.35
2013-03-19,22.6
2013-03-20,22.3
2013-03-21,22.45
2013-03-22,21.9
2013-03-25,22.1
2013-03-26,21.65
2013-03-28,21.75
2013-04-01,23.05
2013-04-02,23.65
2013-04-03,22.9
2013-04-04,22.6
2013-04-05,22.65
2013-04-08,22.95
2013-04-09,22.75
2013-04-10,22.7
2013-04-11,22.7
2013-04-12,22.9
2013-04-15,23.6
2013-04-16,23.8
2013-04-17,24.3
2013-04-18,24.55
2013-04-22,24.1
2013-04-23,23.75
2013-04-25,24.25
2013-04-26,24.2
2013-04-29,24.0
2013-04-30,24.05
2013-05-02,23.85
2013-05-03,23.85
2013-05-06,24.5
2013-05-07,24.3
2013-05-08,24.25
2013-05-09,24.05
2013-05-10,24.1
2013-05-11,24.25
2013-05-13,24.0
2013-05-14,24.05
2013-05-15,24.15
2013-05-16,24.95
2013-05-17,24.35
2013-05-20,24.5
2013-05-21,24.65
2013-05-22,24.35
2013-05-23,24.1
2013-05-24,24.0
2013-05-27,24.35
2013-05-28,24.75
2013-05-29,24.95
2013-05-30,24.45
2013-05-31,24.65
2013-06-03,24.6
2013-06-04,24.5
2013-06-05,24.5
2013-06-06,24.25
2013-06-07,24.25
2013-06-10,24.05
2013-06-11,23.65
2013-06-12,23.25
2013-06-13,22.8
2013-06-14,22.4
2013-06-17,21.95
2013-06-18,21.8
2013-06-19,23.75
2013-06-20,22.45
2013-06-21,22.45
2013-06-24,21.45
2013-06-25,21.95
2013-06-26,21.45
2013-06-27,21.3
2013-06-28,21.7
2013-07-01,21.65
2013-07-02,21.05
2013-07-03,20.4
2013-07-04,20.55
2013-07-05,20.45
2013-07-08,19.95
2013-07-09,20.0
2013-07-10,20.15
2013-07-11,20.35
2013-07-12,20.15
2013-07-15,20.45
2013-07-16,20.45
2013-07-17,20.2
2013-07-18,20.45
2013-07-19,20.35
2013-07-22,20.4
2013-07-23,20.35
2013-07-24,20.3
2013-07-25,20.0
2013-07-26,19.95
2013-07-29,20.0
2013-07-30,20.05
2013-07-31,20.2
2013-08-01,20.2
2013-08-02,20.2
2013-08-05,20.2
2013-08-06,20.2
2013-08-07,20.4
2013-08-08,20.5
2013-08-12,20.75
2013-08-13,22.2
