Date,FLFL
2013-10-17,82.7
2013-10-18,81.6
2013-10-21,83.4
2013-10-22,79.55
2013-10-23,79.65
2013-10-24,77.9
2013-10-25,75.85
2013-10-28,74.1
2013-10-29,74.35
2013-10-30,73.7
2013-10-31,70.7
2013-11-01,72.05
2013-11-03,73.0
2013-11-05,73.45
2013-11-06,71.95
2013-11-07,73.0
2013-11-08,72.8
2013-11-11,71.6
2013-11-12,70.1
2013-11-13,70.0
2013-11-14,69.2
2013-11-18,71.95
2013-11-19,70.7
2013-11-20,69.95
2013-11-21,67.85
2013-11-22,62.55
2013-11-25,60.5
2013-11-26,58.55
2013-11-27,56.2
2013-11-28,66.75
2013-11-29,65.75
2013-12-02,67.3
2013-12-03,67.35
2013-12-04,64.05
2013-12-05,66.9
2013-12-06,65.6
2013-12-09,68.1
2013-12-10,69.0
2013-12-11,70.05
2013-12-12,68.7
2013-12-13,66.0
2013-12-16,62.9
2013-12-17,62.95
2013-12-18,61.95
2013-12-19,63.2
2013-12-20,63.95
2013-12-23,65.95
2013-12-24,66.95
2013-12-26,68.05
2013-12-27,70.1
2013-12-30,70.7
2013-12-31,75.9
2014-01-01,74.7
2014-01-02,72.2
2014-01-03,74.0
2014-01-06,74.95
2014-01-07,74.9
2014-01-08,75.8
2014-01-09,72.0
2014-01-10,71.3
2014-01-13,70.0
2014-01-14,67.8
2014-01-15,69.35
2014-01-16,68.3
2014-01-17,68.65
2014-01-20,68.6
2014-01-21,67.65
2014-01-22,68.5
2014-01-23,68.4
2014-01-24,67.1
2014-01-27,64.9
2014-01-28,64.95
2014-01-29,65.1
2014-01-30,64.6
2014-01-31,64.35
2014-02-03,64.2
2014-02-04,64.45
2014-02-05,63.95
2014-02-06,63.55
2014-02-07,63.9
2014-02-10,64.1
2014-02-11,64.1
2014-02-12,64.25
2014-02-13,64.2
2014-02-14,64.0
2014-02-17,64.2
2014-02-18,63.95
2014-02-19,64.2
2014-02-20,64.3
2014-02-21,64.75
2014-02-24,65.0
2014-02-25,64.3
2014-02-26,64.0
2014-02-28,64.45
2014-03-03,63.95
2014-03-04,62.0
2014-03-05,63.55
2014-03-06,63.55
2014-03-07,64.4
2014-03-10,62.35
2014-03-11,62.95
2014-03-12,61.75
2014-03-13,60.95
2014-03-14,59.9
2014-03-18,60.05
2014-03-19,59.5
2014-03-20,59.55
2014-03-21,58.8
2014-03-22,58.25
2014-03-24,58.05
2014-03-25,59.2
2014-03-26,61.0
2014-03-27,59.9
2014-03-28,59.2
2014-03-31,59.65
2014-04-01,61.25
2014-04-02,63.5
2014-04-03,63.45
2014-04-04,65.35
2014-04-07,64.0
2014-04-09,65.6
2014-04-10,64.65
2014-04-11,64.5
2014-04-15,71.1
2014-04-16,67.85
2014-04-17,72.0
2014-04-21,71.2
2014-04-22,68.75
2014-04-23,75.85
2014-04-25,80.3
2014-04-28,82.9
2014-04-29,78.45
2014-04-30,80.85
2014-05-02,97.0
2014-05-05,93.6
2014-05-06,91.95
2014-05-07,90.65
2014-05-08,87.35
2014-05-09,92.15
2014-05-12,91.85
2014-05-13,93.05
2014-05-14,91.95
2014-05-15,91.05
2014-05-16,90.8
2014-05-19,93.9
2014-05-20,92.6
2014-05-21,89.95
2014-05-22,98.95
2014-05-23,96.65
2014-05-26,93.9
2014-05-27,93.45
2014-05-28,93.55
2014-05-29,97.95
2014-05-30,94.9
