Date,PHOENIXLTD
2013-01-01,255.6
2013-01-02,265.3
2013-01-03,264.0
2013-01-04,260.1
2013-01-07,257.9
2013-01-08,255.75
2013-01-09,255.7
2013-01-10,255.05
2013-01-11,251.35
2013-01-14,246.75
2013-01-15,246.05
2013-01-16,255.6
2013-01-17,257.3
2013-01-18,252.05
2013-01-21,248.85
2013-01-22,247.1
2013-01-23,249.8
2013-01-24,252.1
2013-01-25,252.55
2013-01-28,256.7
2013-01-29,260.35
2013-01-30,262.85
2013-01-31,272.0
2013-02-01,279.9
2013-02-04,270.3
2013-02-05,270.0
2013-02-06,269.0
2013-02-07,270.3
2013-02-08,269.75
2013-02-11,268.4
2013-02-12,269.05
2013-02-13,267.95
2013-02-14,269.5
2013-02-15,267.9
2013-02-18,260.35
2013-02-19,260.0
2013-02-20,258.4
2013-02-21,258.9
2013-02-22,258.5
2013-02-25,259.0
2013-02-26,258.4
2013-02-27,253.85
2013-02-28,252.15
2013-03-01,245.2
2013-03-04,248.1
2013-03-05,257.3
2013-03-06,264.8
2013-03-07,259.25
2013-03-08,259.35
2013-03-11,263.7
2013-03-12,259.95
2013-03-13,260.0
2013-03-14,260.1
2013-03-15,265.1
2013-03-18,265.55
2013-03-19,264.35
2013-03-20,263.55
2013-03-21,266.0
2013-03-22,260.65
2013-03-25,261.35
2013-03-26,264.1
2013-03-28,274.7
2013-04-01,254.45
2013-04-02,253.4
2013-04-03,249.75
2013-04-04,250.1
2013-04-05,251.15
2013-04-08,251.9
2013-04-09,250.8
2013-04-10,251.6
2013-04-11,254.15
2013-04-12,249.15
2013-04-15,250.45
2013-04-16,255.05
2013-04-17,257.1
2013-04-18,259.7
2013-04-22,263.75
2013-04-23,268.5
2013-04-25,271.1
2013-04-26,273.25
2013-04-29,269.5
2013-04-30,271.45
2013-05-02,272.25
2013-05-03,268.35
2013-05-06,270.1
2013-05-07,271.55
2013-05-08,268.3
2013-05-09,271.85
2013-05-10,271.45
2013-05-11,268.4
2013-05-13,271.0
2013-05-14,270.75
2013-05-15,275.05
2013-05-16,276.4
2013-05-17,278.7
2013-05-20,280.1
2013-05-21,278.1
2013-05-22,277.6
2013-05-23,270.0
2013-05-24,272.45
2013-05-27,276.95
2013-05-28,283.4
2013-05-29,281.15
2013-05-30,284.1
2013-05-31,281.05
2013-06-03,279.6
2013-06-04,280.05
2013-06-05,280.3
2013-06-06,280.2
2013-06-07,281.4
2013-06-10,280.2
2013-06-11,275.4
2013-06-12,270.35
2013-06-13,263.65
2013-06-14,258.3
2013-06-17,260.1
2013-06-18,261.1
2013-06-19,262.2
2013-06-20,261.75
2013-06-21,259.0
2013-06-24,258.0
2013-06-25,252.25
2013-06-26,252.2
2013-06-27,249.65
2013-06-28,257.7
2013-07-01,251.35
2013-07-02,248.25
2013-07-03,247.05
2013-07-04,245.95
2013-07-05,247.95
2013-07-08,248.3
2013-07-09,251.75
2013-07-10,251.9
2013-07-11,250.0
2013-07-12,256.45
2013-07-15,253.15
2013-07-16,251.6
2013-07-17,249.9
