Date,PILITA
2013-10-31,3.1
2013-11-05,3.7
2013-11-08,3.7
2013-11-19,3.7
2013-11-20,3.7
2013-11-21,3.55
2013-11-22,3.7
2013-11-25,3.55
2013-11-26,3.4
2013-11-27,3.35
2013-11-28,3.4
2014-06-13,7.6
2014-06-16,7.3
2014-06-17,7.5
2014-06-18,7.7
2014-06-19,7.55
2014-06-20,7.85
2014-06-23,7.65
2014-06-24,7.6
2014-06-25,7.7
2014-06-26,7.5
2014-06-27,7.75
2014-08-06,8.6
2014-08-07,8.65
2014-08-08,8.55
2014-08-11,8.75
2014-08-12,8.7
2014-08-13,8.45
2014-08-14,8.55
2014-08-18,8.75
2014-08-19,8.6
2014-08-20,8.6
2014-08-21,8.7
2014-08-22,8.9
2014-08-25,9.0
2014-08-26,9.4
2014-08-27,9.8
2014-08-28,10.0
2014-09-01,10.4
2014-09-02,10.6
2014-09-03,10.85
2014-09-04,11.1
2014-09-05,11.25
2014-09-08,11.75
2014-09-09,11.95
2014-09-10,12.1
2014-09-11,12.1
2014-09-12,12.4
2014-09-15,12.5
2014-09-16,12.25
2014-09-17,12.45
2014-09-18,12.9
2014-09-19,13.05
2014-09-22,13.35
2014-09-23,13.25
2014-09-24,13.45
2014-09-25,12.85
2014-09-26,13.1
2014-09-29,13.05
2014-09-30,13.15
2014-10-01,13.25
2014-10-07,13.3
2014-10-08,13.85
2014-10-09,14.35
2014-10-10,14.65
2014-10-13,14.95
2014-10-14,15.5
2014-10-16,16.4
2014-10-17,16.6
2014-10-20,17.45
2014-10-21,17.95
2014-10-22,19.1
2014-10-23,19.55
2014-10-27,20.0
2014-10-28,19.35
2014-10-29,18.5
2014-10-30,17.6
2014-10-31,17.6
2014-11-03,18.3
2014-11-05,18.75
2014-11-07,19.05
2014-11-10,19.4
2014-11-11,19.55
2014-11-12,20.05
2014-11-13,20.85
2014-11-14,21.5
2014-11-17,22.0
2014-11-18,21.4
2014-11-19,20.3
2014-11-20,20.35
2014-11-21,19.9
2014-11-24,19.25
2014-11-25,18.2
2014-11-26,17.6
2014-11-27,17.0
2014-11-28,18.2
2014-12-01,19.2
2014-12-02,19.0
2014-12-03,18.1
2014-12-04,18.1
2014-12-05,18.15
2014-12-08,18.15
2014-12-09,18.8
2014-12-10,20.55
2014-12-11,22.2
2014-12-12,23.25
2014-12-15,23.15
2014-12-16,21.05
2014-12-17,19.8
2014-12-18,21.65
2014-12-19,22.25
2014-12-22,23.7
2014-12-23,24.1
2014-12-24,24.45
2014-12-26,25.0
2014-12-29,25.0
2014-12-30,24.55
2014-12-31,24.95
2015-01-01,24.0
2015-01-02,24.7
2015-01-05,26.85
2015-01-06,24.45
2015-01-07,23.35
2015-01-08,23.3
2015-01-09,23.1
2015-01-12,21.35
2015-01-13,20.7
2015-01-14,19.9
2015-01-15,20.25
2015-01-16,21.85
2015-01-19,22.75
2015-01-20,23.4
2015-01-21,22.65
2015-01-22,21.5
2015-01-23,19.95
2015-01-27,19.7
2015-01-28,19.35
2015-01-29,17.55
2015-01-30,17.4
2015-02-02,18.9
2015-02-03,19.45
2015-02-04,19.3
2015-02-05,18.95
2015-02-06,18.1
2015-02-09,17.75
2015-02-10,17.15
2015-02-11,17.85
2015-02-12,18.1
2015-02-13,17.6
2015-02-16,17.45
2015-02-18,17.45
2015-02-19,16.75
2015-02-20,16.85
2015-02-23,16.4
2015-02-24,17.5
2015-02-25,17.25
2015-02-26,17.15
2015-02-27,16.75
2015-02-28,16.95
2015-03-02,16.45
2015-03-03,17.2
2015-03-04,16.65
2015-03-05,16.25
2015-03-09,15.4
2015-03-10,15.6
2015-03-11,15.05
2015-03-12,15.2
2015-03-13,15.5
2015-03-16,14.3
2015-03-17,14.1
2015-03-18,13.2
2015-03-19,12.8
2015-03-20,12.35
2015-03-23,13.0
2015-03-24,13.35
2015-03-25,13.95
2015-03-26,13.6
2015-03-27,13.8
2015-03-30,14.25
2015-03-31,13.75
2015-04-01,14.2
2015-04-06,14.95
2015-04-07,14.95
2015-04-08,14.95
2015-04-09,14.7
2015-04-10,14.9
2015-04-13,15.5
2015-04-15,16.25
2015-04-16,15.95
2015-04-17,16.1
2015-04-20,15.3
2015-04-21,15.5
2015-04-22,15.35
2015-04-23,15.35
2015-04-24,14.2
2015-04-27,14.6
2015-04-28,14.75
2015-04-29,15.05
2015-04-30,14.6
2015-05-04,15.65
2015-05-05,17.65
2015-05-06,16.9
2015-05-07,17.3
2015-05-08,17.0
