Date,FINCABLES
2013-01-01,57.9
2013-01-02,58.9
2013-01-03,58.35
2013-01-04,58.85
2013-01-07,57.85
2013-01-08,57.6
2013-01-09,56.8
2013-01-10,56.8
2013-01-11,55.4
2013-01-14,55.95
2013-01-15,56.7
2013-01-16,57.05
2013-01-17,56.9
2013-01-18,56.1
2013-01-21,58.0
2013-01-22,57.3
2013-01-23,56.55
2013-01-24,55.55
2013-01-25,55.2
2013-01-28,55.55
2013-01-29,56.8
2013-01-30,57.3
2013-01-31,58.0
2013-02-01,57.75
2013-02-04,57.85
2013-02-05,57.1
2013-02-06,56.0
2013-02-07,55.15
2013-02-08,55.1
2013-02-11,55.2
2013-02-12,57.1
2013-02-13,56.05
2013-02-14,50.9
2013-02-15,50.2
2013-02-18,51.15
2013-02-19,52.95
2013-02-20,53.9
2013-02-21,52.6
2013-02-22,52.9
2013-02-25,51.25
2013-02-26,49.4
2013-02-27,50.1
2013-02-28,47.25
2013-03-01,48.3
2013-03-04,46.05
2013-03-05,47.55
2013-03-06,48.25
2013-03-07,46.4
2013-03-08,47.45
2013-03-11,48.15
2013-03-12,48.15
2013-03-13,46.9
2013-03-14,46.45
2013-03-15,46.4
2013-03-18,45.5
2013-03-19,43.95
2013-03-20,42.35
2013-03-21,42.85
2013-03-22,42.35
2013-03-25,43.3
2013-03-26,46.35
2013-03-28,45.6
2013-04-01,50.45
2013-04-02,52.45
2013-04-03,50.45
2013-04-04,49.55
2013-04-05,50.1
2013-04-08,50.0
2013-04-09,49.0
2013-04-10,48.25
2013-04-11,49.2
2013-04-12,49.1
2013-04-15,48.1
2013-04-16,48.55
2013-04-17,47.5
2013-04-18,47.0
2013-04-22,47.8
2013-04-23,49.8
2013-04-25,52.25
2013-04-26,53.05
2013-04-29,53.7
2013-04-30,51.55
2013-05-02,50.05
2013-05-03,48.45
2013-05-06,52.45
2013-05-07,52.5
2013-05-08,51.65
2013-05-09,55.6
2013-05-10,56.05
2013-05-11,55.7
2013-05-13,55.45
2013-05-14,56.25
2013-05-15,56.85
2013-05-16,58.15
2013-05-17,56.85
2013-05-20,56.9
2013-05-21,55.75
2013-05-22,53.9
2013-05-23,52.6
2013-05-24,53.25
2013-05-27,54.0
2013-05-28,53.95
2013-05-29,53.05
2013-05-30,52.95
2013-05-31,52.45
2013-06-03,52.1
2013-06-04,52.25
2013-06-05,52.25
2013-06-06,52.55
2013-06-07,52.85
2013-06-10,52.35
2013-06-11,52.1
2013-06-12,51.3
2013-06-13,49.55
2013-06-14,50.75
2013-06-17,50.8
2013-06-18,50.75
2013-06-19,52.1
2013-06-20,50.8
2013-06-21,50.05
2013-06-24,47.35
2013-06-25,47.45
2013-06-26,47.7
2013-06-27,47.8
2013-06-28,49.3
2013-07-01,50.6
2013-07-02,51.75
2013-07-03,50.4
2013-07-04,53.15
2013-07-05,55.25
2013-07-08,56.05
2013-07-09,56.85
2013-07-10,55.95
2013-07-11,55.35
2013-07-12,54.35
2013-07-15,57.05
2013-07-16,57.3
2013-07-17,61.7
2013-07-18,62.1
2013-07-19,64.55
2013-07-22,63.65
2013-07-23,64.1
2013-07-24,59.8
2013-07-25,58.0
2013-07-26,56.5
2013-07-29,57.65
2013-07-30,54.3
2013-07-31,54.55
2013-08-01,53.55
2013-08-02,51.0
2013-08-05,51.7
2013-08-06,50.75
2013-08-07,51.9
2013-08-08,54.4
2013-08-12,54.65
2013-08-13,54.2
2013-08-14,54.6
2013-08-16,54.6
2013-08-19,52.95
2013-08-20,52.65
2013-08-21,51.7
2013-08-22,52.3
2013-08-23,52.55
2013-08-26,53.55
2013-08-27,51.7
2013-08-28,51.95
2013-08-29,51.75
2013-08-30,51.6
2013-09-02,51.2
2013-09-03,50.25
2013-09-04,51.0
2013-09-05,51.85
2013-09-06,51.85
2013-09-10,51.75
2013-09-11,51.95
2013-09-12,51.7
2013-09-13,52.25
2013-09-16,51.75
2013-09-17,51.8
2013-09-18,51.55
2013-09-19,52.95
2013-09-20,53.0
2013-09-23,52.8
2013-09-24,52.9
2013-09-25,51.95
2013-09-26,53.4
2013-09-27,55.55
2013-09-30,55.8
2013-10-01,56.05
2013-10-03,56.45
2013-10-04,57.75
2013-10-07,58.6
2013-10-08,57.15
2013-10-09,58.5
2013-10-10,57.15
2013-10-11,57.75
2013-10-14,59.1
2013-10-15,57.45
2013-10-17,58.0
2013-10-18,57.9
2013-10-21,58.9
2013-10-22,59.3
2013-10-23,60.4
2013-10-24,59.25
2013-10-25,57.65
2013-10-28,57.25
2013-10-29,57.8
2013-10-30,60.65
2013-10-31,60.9
2013-11-01,58.95
2013-11-03,60.95
2013-11-05,61.0
2013-11-06,64.25
2013-11-07,66.3
2013-11-08,65.5
2013-11-11,65.95
2013-11-12,65.8
2013-11-13,67.55
2013-11-14,72.85
2013-11-18,74.7
2013-11-19,73.0
2013-11-20,73.2
2013-11-21,71.85
2013-11-22,70.7
