Date,IL&FSENGG
2013-01-01,59.65
2013-01-02,60.6
2013-01-03,60.35
2013-01-04,62.95
2013-01-07,63.2
2013-01-08,63.2
2013-01-09,62.75
2013-01-10,62.85
2013-01-11,62.55
2013-01-14,62.5
2013-01-15,62.95
2013-01-16,62.95
2013-01-17,63.5
2013-01-18,63.05
2013-01-21,64.4
2013-01-22,64.65
2013-01-23,65.15
2013-01-24,65.1
2013-01-25,64.9
2013-01-28,65.55
2013-01-29,62.9
2013-01-30,63.0
2013-01-31,63.0
2013-02-01,63.3
2013-02-04,62.8
2013-02-05,62.3
2013-02-06,62.05
2013-02-07,61.6
2013-02-08,61.4
2013-02-11,61.55
2013-02-12,61.55
2013-02-13,61.35
2013-02-14,61.35
2013-02-15,60.95
2013-02-18,60.85
2013-02-19,60.85
2013-02-20,61.1
2013-02-21,61.15
2013-02-22,60.8
2013-02-25,61.05
2013-02-26,57.1
2013-02-27,57.65
2013-02-28,56.05
2013-03-01,55.5
2013-03-04,53.05
2013-03-05,53.6
2013-03-06,53.45
2013-03-07,54.15
2013-03-08,54.6
2013-03-11,54.4
2013-03-12,56.5
2013-03-13,56.4
2013-03-14,55.55
2013-03-15,54.6
2013-03-18,54.25
2013-03-19,49.9
2013-03-20,45.75
2013-03-21,42.0
2013-03-22,40.25
2013-03-25,37.35
2013-03-26,36.95
2013-03-28,37.8
2013-04-01,40.1
2013-04-02,43.55
2013-04-03,43.4
2013-04-04,40.35
2013-04-05,40.2
2013-04-08,40.65
2013-04-09,39.35
2013-04-10,39.95
2013-04-11,40.3
2013-04-12,39.6
2013-04-15,39.65
2013-04-16,40.3
2013-04-17,42.65
2013-04-18,44.0
2013-04-22,43.7
2013-04-23,43.05
2013-04-25,43.4
2013-04-26,43.65
2013-04-29,43.65
2013-04-30,40.8
2013-05-02,39.1
2013-05-03,38.6
2013-05-06,38.9
2013-05-07,39.45
2013-05-08,39.0
2013-05-09,38.6
2013-05-10,38.3
2013-05-11,38.8
2013-05-13,37.85
2013-05-14,37.6
2013-05-15,40.0
2013-05-16,39.25
2013-05-17,39.6
2013-05-20,38.75
2013-05-21,39.85
2013-05-22,39.45
2013-05-23,37.25
2013-05-24,37.9
2013-05-27,38.5
2013-05-28,38.1
2013-05-29,37.4
2013-05-30,36.85
2013-05-31,35.95
2013-06-03,34.05
2013-06-04,34.2
2013-06-05,33.9
2013-06-06,34.1
2013-06-07,33.55
2013-06-10,32.25
2013-06-11,32.35
2013-06-12,32.1
2013-06-13,31.15
2013-06-14,31.75
2013-06-17,32.0
2013-06-18,32.75
2013-06-19,34.15
2013-06-20,33.2
2013-06-21,33.0
2013-06-24,31.15
2013-06-25,31.4
2013-06-26,31.45
2013-06-27,30.85
2013-06-28,31.0
2013-07-01,32.65
2013-07-02,33.2
2013-07-03,32.0
2013-07-04,31.95
2013-07-05,31.2
2013-07-08,30.45
2013-07-09,30.85
2013-07-10,31.85
2013-07-11,32.25
2013-07-12,31.95
2013-07-15,31.75
2013-07-16,33.65
2013-07-17,31.7
2013-07-18,31.6
2013-07-19,31.3
2013-07-22,30.95
2013-07-23,31.15
2013-07-24,30.5
2013-07-25,29.6
2013-07-26,28.75
2013-07-29,26.4
2013-07-30,24.95
2013-07-31,23.3
2013-08-01,22.9
2013-08-02,19.5
2013-08-05,21.45
2013-08-06,23.55
2013-08-07,25.75
2013-08-08,25.85
2013-08-12,25.5
2013-08-13,25.05
2013-08-14,25.75
2013-08-16,24.5
2013-08-19,23.55
2013-08-20,24.35
2013-08-21,24.05
2013-08-22,23.85
2013-08-23,24.2
2013-08-26,24.15
2013-08-27,24.05
2013-08-28,23.1
2013-08-29,23.95
2013-08-30,23.65
2013-09-02,23.55
2013-09-03,23.45
2013-09-04,24.1
2013-09-05,24.4
2013-09-06,25.5
2013-09-10,26.15
2013-09-11,26.8
2013-09-12,26.55
2013-09-13,29.2
2013-09-16,32.1
2013-09-17,30.75
2013-09-18,28.6
2013-09-19,30.55
2013-09-20,30.6
2013-09-23,29.8
2013-09-24,30.15
2013-09-25,29.5
2013-09-26,29.25
2013-09-27,30.05
2013-09-30,28.85
2013-10-01,29.6
2013-10-03,28.9
2013-10-04,28.75
2013-10-07,31.6
2013-10-08,34.75
2013-10-09,34.2
2013-10-10,37.45
2013-10-11,35.6
2013-10-14,33.85
2013-10-15,33.05
2013-10-17,32.65
2013-10-18,32.25
2013-10-21,32.15
2013-10-22,32.7
2013-10-23,32.0
2013-10-24,30.9
2013-10-25,31.25
2013-10-28,31.45
2013-10-29,31.45
2013-10-30,31.3
2013-10-31,31.7
2013-11-01,33.15
2013-11-03,34.8
2013-11-05,36.5
2013-11-06,38.2
2013-11-07,38.0
2013-11-08,37.75
2013-11-11,39.6
2013-11-12,37.5
2013-11-13,38.0
2013-11-14,37.95
2013-11-18,36.4
2013-11-19,36.3
2013-11-20,35.6
2013-11-21,35.0
2013-11-22,35.0
2013-11-25,35.1
2013-11-26,34.75
2013-11-27,33.95
2013-11-28,33.4
2013-11-29,34.25
2013-12-02,33.85
2013-12-03,33.55
2013-12-04,34.0
2013-12-05,34.2
2013-12-06,33.6
2013-12-09,34.15
2013-12-10,33.9
2013-12-11,33.75
2013-12-12,32.85
2013-12-13,31.55
2013-12-16,31.4
2013-12-17,31.55
2013-12-18,32.0
2013-12-19,31.95
2013-12-20,32.75
2013-12-23,33.8
2013-12-24,34.3
2013-12-26,36.85
2013-12-27,38.0
2013-12-30,41.8
2013-12-31,43.85
2014-01-01,46.0
2014-01-02,48.1
2014-01-03,45.7
2014-01-06,45.45
2014-01-07,44.1
2014-01-08,44.15
2014-01-09,43.2
2014-01-10,42.7
2014-01-13,42.0
2014-01-14,42.1
2014-01-15,41.05
2014-01-16,39.8
2014-01-17,39.2
2014-01-20,41.15
2014-01-21,40.1
2014-01-22,39.4
2014-01-23,39.6
2014-01-24,38.95
2014-01-27,38.3
2014-01-28,37.6
2014-01-29,37.9
2014-01-30,37.05
2014-01-31,37.5
2014-02-03,37.35
2014-02-04,36.5
2014-02-05,36.75
2014-02-06,36.7
2014-02-07,36.6
2014-02-10,36.5
2014-02-11,37.3
2014-02-12,36.6
2014-02-13,36.0
2014-02-14,37.05
2014-02-17,36.05
2014-02-18,35.55
2014-02-19,35.6
2014-02-20,34.95
2014-02-21,34.8
2014-02-24,34.55
2014-02-25,34.55
2014-02-26,34.15
2014-02-28,34.1
2014-03-03,34.4
2014-03-04,33.85
2014-03-05,35.5
2014-03-06,37.25
2014-03-07,37.55
2014-03-10,38.2
2014-03-11,38.05
2014-03-12,40.25
2014-03-13,39.25
2014-03-14,38.35
2014-03-18,38.7
2014-03-19,35.95
2014-03-20,36.45
2014-03-21,39.7
2014-03-22,42.05
2014-03-24,41.45
2014-03-25,39.0
2014-03-26,37.6
2014-03-27,39.4
2014-03-28,40.75
2014-03-31,40.2
2014-04-01,41.95
2014-04-02,45.1
2014-04-03,47.15
2014-04-04,48.4
2014-04-07,46.2
2014-04-09,47.4
2014-04-10,47.55
2014-04-11,46.7
2014-04-15,45.3
2014-04-16,44.3
2014-04-17,45.0
2014-04-21,46.25
2014-04-22,50.85
2014-04-23,48.6
2014-04-25,48.15
2014-04-28,48.1
2014-04-29,47.15
2014-04-30,46.0
2014-05-02,44.7
2014-05-05,44.1
2014-05-06,44.1
2014-05-07,43.55
2014-05-08,42.85
2014-05-09,44.1
2014-05-12,45.4
2014-05-13,50.95
2014-05-14,49.95
2014-05-15,51.5
2014-05-16,53.4
2014-05-19,63.1
2014-05-20,71.8
2014-05-21,71.8
2014-05-22,69.05
2014-05-23,68.05
2014-05-26,64.35
2014-05-27,63.15
2014-05-28,66.5
2014-05-29,64.25
2014-05-30,63.3
2014-06-02,63.95
2014-06-03,64.85
2014-06-04,71.3
2014-06-05,72.75
2014-06-06,71.3
2014-06-09,72.85
2014-06-10,71.8
2014-06-11,69.45
2014-06-12,69.85
2014-06-30,64.75
2014-07-01,67.95
2014-07-02,69.75
2014-07-03,68.95
2014-07-04,67.05
2014-07-07,67.75
2014-07-08,64.45
2014-07-09,62.55
2014-07-10,64.25
2014-07-11,64.65
2014-07-14,62.55
2014-07-15,63.25
2014-07-16,65.05
2014-07-17,66.75
2014-07-18,65.4
2014-07-21,65.35
2014-07-22,64.3
2014-07-23,62.95
2014-07-24,62.25
2014-07-25,59.75
2014-07-28,59.25
2014-07-30,60.35
2014-07-31,59.7
2014-08-01,58.8
2014-08-04,59.95
2014-08-05,59.3
2014-08-06,63.35
2014-08-07,62.4
2014-08-08,60.0
2014-08-11,57.45
2014-08-12,55.3
2014-08-13,52.1
2014-08-14,51.75
