Date,DELTAMAGNT
2013-01-03,34.5
2013-01-10,35.9
2013-02-06,32.9
2013-02-07,31.35
2013-02-13,29.8
2013-02-14,31.25
2013-02-15,31.25
2013-02-19,32.8
2013-02-20,31.5
2013-02-22,33.0
2013-02-25,31.5
2013-02-26,30.0
2013-02-27,30.0
2013-03-06,31.5
2013-04-05,28.45
2013-04-16,28.0
2013-06-17,29.35
2013-08-06,30.5
2013-08-12,31.5
2013-12-04,27.5
2013-12-12,28.85
2013-12-17,28.85
2013-12-23,27.45
2013-12-27,26.1
2014-01-01,27.4
2014-01-08,27.0
2014-01-16,27.0
2014-01-17,26.1
2014-01-20,27.4
2014-01-21,27.0
2014-01-22,27.6
2014-01-24,28.95
2014-01-27,30.3
2014-01-30,31.8
2014-02-03,33.35
2014-02-04,32.75
2014-02-06,32.35
2014-02-12,32.0
2014-02-18,31.95
2014-02-19,30.4
2014-02-20,30.1
2014-02-24,31.0
2014-02-25,30.0
2014-02-26,28.5
2014-02-28,29.9
2014-08-14,23.65
2014-08-18,24.8
2014-08-19,26.0
2014-08-20,27.3
2014-08-21,28.65
2014-08-22,30.05
2014-08-25,31.55
2014-08-26,31.0
2014-08-28,30.05
2014-09-02,31.1
2014-09-03,32.0
2014-09-04,31.5
2014-09-05,32.5
2014-09-09,30.9
2014-09-10,32.4
2014-09-12,32.4
2014-09-15,32.6
2014-09-17,34.0
2014-09-18,32.45
2014-09-22,34.05
2014-09-23,35.75
2014-09-25,37.5
2014-09-26,38.0
2014-09-29,39.9
2014-09-30,41.85
2014-10-01,42.75
2014-10-07,42.75
2014-10-08,42.0
2014-10-09,43.0
2014-11-13,34.25
2014-11-17,35.95
2014-11-19,37.7
2014-11-20,39.45
2014-11-21,40.8
2014-11-25,38.8
2014-11-26,39.0
2014-11-27,37.5
2014-12-02,35.65
2014-12-04,36.6
2014-12-05,35.3
2014-12-09,33.0
2014-12-11,33.25
2014-12-12,36.0
2014-12-15,34.0
2014-12-16,33.05
2014-12-17,32.0
2014-12-18,35.2
2014-12-24,33.0
2014-12-26,33.0
2015-01-06,35.0
2015-01-08,38.7
2015-01-09,38.25
2015-01-12,40.45
2015-01-13,44.6
2015-01-14,48.0
2015-01-15,44.0
2015-01-16,44.7
2015-01-19,42.3
2015-01-21,42.05
2015-01-22,45.95
2015-01-23,42.55
2015-01-27,46.45
2015-01-29,45.4
2015-01-30,41.0
2015-02-02,42.5
2015-02-03,45.0
2015-02-04,41.35
2015-02-05,43.1
2015-02-06,41.5
2015-02-09,44.3
2015-02-10,39.05
2015-02-11,42.9
2015-02-12,43.8
2015-02-13,42.65
2015-02-16,41.5
2015-02-18,44.95
2015-02-19,41.9
2015-02-20,41.95
2015-02-23,39.7
2015-02-24,38.4
2015-02-25,38.05
2015-02-26,38.0
2015-02-27,39.8
2015-02-28,37.5
2015-03-02,38.25
2015-03-03,38.55
2015-03-04,37.0
2015-03-05,37.5
2015-03-09,37.0
2015-03-10,37.95
2015-03-12,36.15
2015-03-13,36.15
2015-03-16,35.75
2015-03-18,35.85
2015-03-19,36.9
2015-03-25,32.35
2015-03-26,34.5
2015-04-01,37.45
2015-04-06,37.95
2015-04-08,35.9
2015-04-09,35.9
2015-04-10,35.3
2015-04-13,36.6
2015-04-15,37.15
2015-04-17,35.85
2015-04-20,34.0
2015-04-21,34.0
2015-04-22,36.7
2015-04-23,39.9
2015-04-24,36.1
2015-04-27,37.0
2015-04-28,37.0
2015-04-29,35.5
2015-05-04,41.7
2015-05-05,39.8
2015-05-06,40.0
2015-05-07,41.9
2015-05-08,40.0
2015-05-11,41.0
2015-05-13,33.95
2015-05-14,34.7
2015-05-15,33.0
2015-05-18,34.9
2015-05-20,33.05
2015-05-21,32.2
2015-05-22,33.05
2015-05-25,33.15
2015-05-26,33.95
2015-05-27,34.0
2015-05-28,35.0
2015-05-29,34.7
2015-06-01,30.9
2015-06-05,34.0
2015-06-09,33.95
2015-06-10,31.05
2015-06-11,30.55
2015-06-12,32.95
2015-06-15,31.0
2015-06-16,33.85
2015-06-17,31.15
2015-06-19,30.3
2015-06-22,30.25
2015-06-26,30.0
2015-06-30,30.7
2015-07-01,30.3
2015-07-02,33.4
2015-07-03,31.75
2015-07-06,31.75
2015-07-07,30.65
2015-07-09,32.15
2015-07-10,33.6
2015-07-13,32.95
2015-07-14,31.5
2015-07-15,30.55
2015-07-16,30.55
2015-07-17,31.0
2015-07-23,31.5
2015-07-24,32.55
2015-07-27,33.05
2015-07-28,33.85
2015-07-29,34.0
2015-07-30,33.55
2015-07-31,33.6
2015-08-03,31.95
2015-08-04,31.1
2015-08-05,31.95
2015-08-06,33.5
2015-08-07,36.85
2015-08-10,40.5
2015-08-11,44.55
2015-08-12,44.0
2015-08-13,45.9
2015-08-18,43.65
2015-08-21,41.5
2015-08-25,39.45
2015-08-26,37.5
2015-08-27,35.75
2015-08-28,35.0
2015-08-31,33.25
2015-09-01,33.55
2015-09-02,33.95
2015-09-03,32.3
2015-09-07,31.5
2015-09-15,30.25
2015-09-16,31.15
2015-09-18,31.85
2015-10-07,32.0
2015-10-08,29.2
2015-10-09,31.1
2015-10-12,30.0
2015-10-13,32.8
2015-10-14,32.8
2015-10-15,31.0
2015-10-19,33.5
2015-10-20,33.0
2015-10-21,33.0
2015-10-27,33.5
2015-10-28,33.2
2015-11-02,30.0
2015-11-03,30.0
2015-11-04,31.0
2015-11-05,31.1
2015-11-06,31.1
2015-11-10,31.1
2015-11-16,30.0
2015-11-17,30.0
2015-11-19,30.05
2015-11-23,31.2
2015-11-27,31.5
2015-11-30,32.5
2015-12-01,31.0
2015-12-02,32.55
2015-12-03,34.15
2015-12-07,34.05
2015-12-08,32.95
2015-12-10,32.0
2015-12-15,33.55
2015-12-16,31.95
2015-12-17,30.7
2015-12-18,31.9
2015-12-21,31.85
2015-12-22,32.1
2015-12-23,31.0
2015-12-28,30.75
2015-12-29,31.0
2015-12-30,31.5
2015-12-31,32.1
2016-01-01,31.95
2016-01-04,30.4
2016-01-05,31.85
2016-01-07,30.75
2016-01-11,32.0
2016-01-12,32.7
2016-01-13,32.2
2016-01-14,32.5
2016-01-15,31.0
2016-01-18,32.0
2016-01-19,31.0
2016-01-20,29.5
2016-01-21,30.9
2016-01-22,30.85
2016-01-27,32.35
2016-01-29,31.95
2016-02-01,31.95
2016-02-02,32.95
2016-02-04,31.5
2016-02-05,32.85
2016-02-16,31.25
2016-02-17,31.3
2016-02-23,31.25
2016-03-08,31.35
2016-03-09,31.0
2016-03-14,29.5
2016-03-15,29.5
2016-03-16,30.9
2016-03-18,29.9
2016-03-21,30.2
2016-03-23,30.0
2016-03-28,29.0
2016-03-30,27.55
2016-04-01,28.9
2016-04-04,29.75
2016-04-06,29.5
2016-04-08,28.05
2016-04-11,29.15
2016-04-13,28.9
2016-04-18,27.55
2016-04-20,27.5
2016-04-22,27.5
2016-04-25,28.85
2016-04-26,28.85
2016-04-29,28.85
2016-05-03,28.85
2016-05-06,28.75
2016-05-11,27.35
2016-05-16,28.2
2016-05-17,26.8
2016-05-20,25.5
2016-05-23,26.2
2016-05-24,24.9
2016-05-25,23.7
2016-05-26,24.85
2016-05-27,26.0
2016-06-02,26.0
2016-06-06,27.3
2016-06-14,25.95
2016-06-16,25.75
2016-06-17,25.0
2016-06-20,25.0
2016-06-22,23.75
2016-06-23,23.75
2016-06-29,23.1
2016-07-04,24.25
2016-07-05,24.25
2016-07-08,25.0
2016-07-11,25.05
2016-07-12,25.5
2016-07-13,26.75
2016-07-14,25.45
2016-07-15,25.0
2016-07-18,24.0
2016-07-21,25.2
2016-07-25,26.45
2016-07-26,27.75
2016-07-27,27.0
2016-07-29,27.0
2016-08-01,27.0
2016-08-02,26.0
2016-08-03,26.15
2016-08-04,25.0
2016-08-09,26.25
2016-08-18,26.25
2016-08-19,27.0
2016-08-22,28.0
2016-08-23,26.6
2016-08-24,25.75
2016-08-25,26.0
2016-08-26,26.0
2016-08-30,27.3
2016-08-31,28.0
2016-09-01,29.4
2016-09-02,30.85
2016-09-06,31.35
2016-09-07,30.5
2016-09-08,32.0
2016-09-09,30.6
2016-09-14,32.05
2016-09-15,33.65
2016-09-19,32.25
2016-09-20,32.1
2016-09-22,33.7
2016-09-27,35.35
2016-09-28,33.8
2016-09-29,35.45
2016-09-30,35.5
2016-10-03,33.75
2016-10-04,32.2
2016-10-05,30.75
2016-10-07,32.05
2016-10-10,32.0
2016-11-09,40.0
2016-11-10,41.0
2016-11-11,38.95
2016-11-15,37.05
2016-11-16,35.2
2016-11-17,34.0
2016-11-18,33.0
2016-11-21,33.0
2016-11-22,33.0
2016-11-28,34.65
2016-11-29,34.0
2016-11-30,34.0
2016-12-06,32.4
2016-12-07,33.0
2016-12-12,34.0
2016-12-13,34.0
2016-12-14,35.7
2016-12-15,36.1
2016-12-20,36.1
2016-12-21,37.85
2016-12-22,36.0
2016-12-23,34.7
2017-01-05,36.0
2017-01-06,37.8
2017-01-10,39.0
2017-01-11,38.05
2017-01-12,37.7
2017-01-13,37.7
2017-01-17,37.0
2017-01-18,37.0
2017-01-20,36.0
2017-01-24,36.0
2017-01-25,37.8
2017-01-27,39.65
2017-01-30,41.6
2017-01-31,39.55
2017-02-01,40.25
2017-02-02,42.25
2017-02-03,44.3
2017-02-06,42.25
2017-02-07,40.65
2017-02-08,42.65
2017-02-10,40.65
2017-02-13,40.65
2017-02-15,38.65
2017-02-16,37.7
2017-02-17,37.4
2017-02-20,37.25
2017-02-22,37.55
2017-02-23,37.25
2017-02-27,38.95
2017-02-28,39.9
2017-03-03,40.25
2017-03-08,38.3
2017-03-10,39.95
2017-03-15,38.0
2017-03-16,38.05
2017-03-17,37.3
2017-03-20,37.3
2017-03-21,37.5
2017-03-22,37.25
2017-03-28,37.25
2017-03-29,37.3
2017-03-30,37.25
2017-03-31,37.25
2017-04-05,39.1
2017-04-06,39.0
2017-04-07,39.0
2017-04-10,40.95
2017-04-11,42.0
2017-04-12,43.0
2017-04-13,42.0
2017-04-17,40.0
2017-04-18,39.25
2017-04-19,40.95
2017-04-24,41.15
2017-04-26,40.0
2017-04-27,40.0
2017-04-28,39.0
2017-05-02,39.95
2017-05-03,40.1
2017-05-04,39.0
2017-05-05,40.8
2017-05-09,41.3
2017-05-10,39.4
2017-05-11,37.6
2017-05-12,38.7
2017-05-15,40.0
2017-05-16,40.0
2017-05-17,40.0
2017-05-18,39.4
2017-05-19,37.6
2017-05-24,35.8
2017-05-26,37.55
2017-05-30,35.75
2017-05-31,36.0
2017-06-02,37.5
2017-06-05,38.45
2017-06-06,38.3
2017-06-07,40.2
2017-06-08,42.2
2017-06-09,44.3
2017-06-12,46.5
2017-06-13,48.8
2017-06-14,50.05
2017-06-15,50.2
2017-06-16,47.95
2017-06-19,46.0
2017-06-20,43.7
2017-06-21,44.05
2017-08-23,35.95
2017-08-24,37.7
2017-08-28,38.15
2017-08-29,36.3
2017-08-30,38.1
2017-08-31,37.95
2017-09-01,36.1
2017-09-04,37.9
2017-09-05,38.95
2017-09-06,38.2
2017-09-07,40.1
2017-09-08,41.0
2017-09-11,42.5
2017-09-12,40.4
2017-09-13,40.05
2017-09-14,42.05
2017-09-15,44.15
2017-09-18,43.55
2017-09-19,41.4
2017-09-20,39.5
2017-09-21,39.1
2017-09-22,37.75
2017-09-25,37.75
2017-09-26,38.0
2017-09-27,38.0
2017-09-28,38.0
2017-10-03,36.1
2017-10-04,36.0
2017-10-05,37.75
2017-10-06,37.75
2017-10-09,39.45
2017-10-12,40.9
2017-10-13,40.0
2017-10-16,38.5
2017-10-18,40.35
2017-10-19,42.3
2017-10-23,40.25
2017-10-24,39.3
2017-10-25,39.0
2017-10-27,40.95
2017-10-30,42.9
2017-10-31,45.0
2017-11-01,45.05
2017-11-02,47.25
2017-11-03,47.0
2017-11-06,45.2
2017-11-07,45.45
2017-11-08,45.45
2017-11-09,45.0
2017-11-10,45.0
2017-11-13,45.5
2017-11-14,43.25
2017-11-15,42.0
2017-11-16,43.95
2017-11-17,45.15
2017-11-20,47.3
2017-11-21,49.65
2017-11-22,50.75
2017-11-23,53.0
2017-11-24,55.65
2017-11-27,58.1
2017-11-28,58.85
2017-11-29,55.95
2017-11-30,53.2
2017-12-01,50.55
2017-12-04,48.15
2017-12-05,45.75
2017-12-06,47.65
2017-12-07,49.85
2017-12-08,52.1
2017-12-11,54.7
2017-12-12,55.05
2017-12-13,54.35
2017-12-14,52.05
2017-12-15,49.55
2017-12-18,52.0
2017-12-19,53.0
2017-12-20,54.7
2017-12-21,55.7
2017-12-22,58.25
2017-12-26,59.55
2017-12-27,59.2
2017-12-28,60.95
2017-12-29,63.95
