Date,SHREERAMA
2013-01-01,3.9
2013-01-02,4.05
2013-01-03,4.05
2013-01-04,4.0
2013-01-07,4.15
2013-01-08,4.2
2013-01-09,4.35
2013-01-10,5.2
2013-01-11,6.2
2013-01-14,6.8
2013-01-15,7.2
2013-01-16,6.7
2013-01-17,6.6
2013-01-18,6.5
2013-01-21,6.7
2013-01-22,6.55
2013-01-23,6.6
2013-01-24,6.65
2013-01-25,6.65
2013-01-28,6.6
2013-01-29,6.5
2013-01-30,6.6
2013-01-31,6.5
2013-02-01,6.3
2013-02-04,6.0
2013-02-05,5.8
2013-02-06,6.05
2013-02-07,6.2
2013-02-08,6.3
2013-02-11,6.05
2013-02-12,5.95
2013-02-13,6.0
2013-02-14,5.8
2013-02-15,5.65
2013-02-18,5.65
2013-02-19,5.7
2013-02-20,5.85
2013-02-21,5.9
2013-02-22,5.7
2013-02-25,6.05
2013-02-26,5.9
2013-02-27,5.7
2013-02-28,5.5
2013-03-01,5.4
2013-03-04,5.4
2013-03-05,5.25
2013-03-06,5.25
2013-03-07,5.1
2013-03-08,5.15
2013-03-11,5.2
2013-03-12,5.05
2013-03-13,5.3
2013-03-14,5.1
2013-03-15,5.1
2013-03-18,4.95
2013-03-19,5.0
2013-03-20,4.9
2013-03-21,4.6
2013-03-22,4.5
2013-03-25,4.15
2013-03-26,4.45
2013-03-28,4.5
2013-04-01,5.0
2013-04-02,5.05
2013-04-05,4.75
2013-04-08,4.65
2013-04-09,4.65
2013-04-10,4.95
2013-04-11,5.1
2013-04-12,5.05
2013-04-15,5.0
2013-04-16,4.6
2013-04-17,4.65
2013-04-18,4.75
2013-04-22,4.7
2013-04-23,4.65
2013-04-25,4.7
2013-04-26,4.55
2013-04-29,4.5
2013-04-30,4.3
2013-05-02,4.4
2013-05-03,4.35
2013-05-06,4.45
2013-05-07,4.7
2013-05-08,4.9
2013-05-09,5.85
2013-05-10,7.0
2013-05-11,7.7
2013-05-13,8.4
2013-05-14,8.35
2013-05-15,8.5
2013-05-16,8.3
2013-05-17,8.25
2013-05-20,8.15
2013-05-21,7.9
2013-05-22,7.65
2013-05-23,7.7
2013-05-24,7.7
2013-05-27,7.6
2013-05-28,7.65
2013-05-29,7.65
2013-05-30,8.4
2013-05-31,8.8
2013-06-03,8.8
2013-06-04,8.7
2013-06-05,8.9
2013-06-06,9.05
2013-06-07,9.2
2013-06-10,9.0
2013-06-11,8.85
2013-06-12,9.0
2013-06-13,8.85
2013-08-30,8.45
2013-09-02,8.4
2013-09-03,8.4
2013-09-04,8.5
2013-09-05,8.4
2013-09-06,8.4
2013-09-10,8.4
2013-09-11,8.4
2013-09-12,8.5
2013-09-13,8.6
2013-09-16,8.35
2013-09-17,8.4
2013-09-18,8.55
2013-09-19,8.35
2013-09-20,8.45
2013-09-23,8.35
2013-09-24,8.45
2013-09-25,8.4
2013-09-26,8.35
2013-09-27,8.5
2013-09-30,8.3
2013-10-01,8.35
2013-10-03,8.45
2013-10-04,8.8
2013-10-07,8.95
2013-10-08,8.85
2013-10-09,8.9
2013-10-10,8.7
2013-10-11,8.75
2013-10-14,8.55
2013-10-15,8.55
2013-10-17,8.45
2013-10-18,8.6
2013-10-21,8.45
2013-10-22,8.5
2013-10-23,8.55
2013-10-24,8.5
2013-10-25,8.4
2013-10-28,8.45
2013-10-29,8.5
2013-10-30,8.65
2013-10-31,8.65
2013-11-01,8.55
2013-11-03,8.55
2013-11-05,8.7
2013-11-06,8.6
2013-11-07,8.55
2013-11-08,8.75
2013-11-11,8.8
2013-11-12,8.8
2013-11-13,8.7
2013-11-14,8.8
2013-11-18,8.7
2013-11-19,8.65
2013-11-20,8.7
2013-11-21,8.6
2013-11-22,8.65
2013-11-25,8.6
2013-11-26,8.6
2013-11-27,8.55
2013-11-28,8.6
2013-11-29,8.65
2013-12-02,8.6
2013-12-03,8.65
2013-12-04,8.65
2013-12-05,8.8
2013-12-06,8.8
2013-12-09,8.65
2013-12-10,8.65
2013-12-11,8.65
2013-12-12,8.65
2013-12-13,8.65
2013-12-16,8.65
2013-12-17,8.75
2013-12-18,8.7
2013-12-19,8.65
2013-12-20,8.6
2013-12-23,8.7
2013-12-24,8.5
2013-12-26,8.5
2013-12-27,8.5
2013-12-30,8.6
2013-12-31,8.5
2014-01-01,8.45
2014-01-02,8.75
2014-01-03,8.65
2014-01-06,8.65
2014-01-07,8.85
2014-01-08,8.95
2014-01-09,8.95
2014-01-10,8.95
2014-01-13,8.95
2014-01-14,8.7
2014-01-15,8.6
2014-01-16,8.65
2014-01-17,8.55
2014-01-20,8.5
2014-01-21,8.25
2014-01-22,8.5
2014-01-23,8.55
2014-01-24,8.45
