Date,ALPHAGEO
2013-01-01,46.5
2013-01-02,46.65
2013-01-03,47.1
2013-01-04,46.75
2013-01-07,46.75
2013-01-08,47.25
2013-01-09,46.65
2013-01-10,46.4
2013-01-11,45.4
2013-01-14,49.9
2013-01-15,53.35
2013-01-16,54.15
2013-01-17,54.55
2013-01-18,54.15
2013-01-21,54.9
2013-01-22,54.95
2013-01-23,51.2
2013-01-24,51.4
2013-01-25,48.35
2013-01-28,49.8
2013-01-29,48.35
2013-01-30,47.85
2013-01-31,47.6
2013-02-01,46.65
2013-02-04,46.35
2013-02-05,45.55
2013-02-06,47.9
2013-02-07,45.85
2013-02-08,45.1
2013-02-11,44.25
2013-02-12,42.95
2013-02-13,43.15
2013-02-14,41.2
2013-02-15,43.85
2013-02-18,42.0
2013-02-19,43.25
2013-02-20,41.85
2013-02-21,41.55
2013-02-22,40.0
2013-02-25,40.1
2013-02-26,40.0
2013-02-27,40.85
2013-02-28,40.55
2013-03-01,40.05
2013-03-04,40.0
2013-03-05,39.9
2013-03-06,40.1
2013-03-07,40.0
2013-03-08,39.55
2013-03-11,39.75
2013-03-12,39.45
2013-03-13,38.65
2013-03-14,37.3
2013-03-15,38.0
2013-03-18,38.2
2013-03-19,37.55
2013-03-20,37.75
2013-03-21,37.0
2013-03-22,33.3
2013-03-25,33.75
2013-03-26,32.0
2013-03-28,31.2
2013-04-01,34.55
2013-04-02,36.95
2013-04-03,39.45
2013-04-04,36.35
2013-04-05,38.15
2013-04-08,38.7
2013-04-09,38.35
2013-04-10,37.85
2013-04-11,38.75
2013-04-12,38.0
2013-04-15,38.0
2013-04-16,37.1
2013-04-17,36.5
2013-04-18,37.85
2013-04-22,36.65
2013-04-23,36.3
2013-04-25,35.4
2013-04-26,34.5
2013-04-29,34.6
2013-04-30,34.1
2013-05-02,34.8
2013-05-03,34.25
2013-05-06,37.9
2013-05-07,37.0
2013-05-08,37.15
2013-05-09,35.95
2013-05-10,35.05
2013-05-11,34.7
2013-05-13,34.8
2013-05-14,33.95
2013-05-15,34.3
2013-05-16,34.0
2013-05-17,33.6
2013-05-20,34.4
2013-05-21,34.0
2013-05-22,33.9
2013-05-23,34.0
2013-05-24,33.6
2013-05-27,33.25
2013-05-28,33.5
2013-05-29,31.7
2013-05-30,31.7
2013-05-31,29.95
2013-06-03,28.4
2013-06-04,28.1
2013-06-05,27.1
2013-06-06,28.0
2013-06-07,27.9
2013-06-10,25.5
2013-06-11,24.1
2013-06-12,25.2
2013-06-13,23.35
2013-06-14,25.3
2013-06-17,26.5
2013-06-18,25.55
2013-06-19,25.2
2013-06-20,27.85
2013-06-21,27.4
2013-06-24,27.25
2013-06-25,25.5
2013-06-26,24.0
2013-06-27,23.5
2013-06-28,23.35
2013-07-01,24.3
2013-07-02,24.5
2013-07-03,24.7
2013-07-04,24.1
2013-07-05,24.55
2013-07-08,24.6
2013-07-09,24.55
2013-07-10,24.1
2013-07-11,25.7
2013-07-12,27.05
2013-07-15,30.45
2013-07-16,28.95
2013-07-17,30.45
2013-07-18,27.7
2013-07-19,27.05
2013-07-22,26.6
2013-07-23,26.55
2013-07-24,28.4
2013-07-25,29.4
2013-07-26,27.05
2013-07-29,24.55
2013-07-30,24.25
2013-07-31,22.95
2013-08-01,22.8
2013-08-02,23.05
2013-08-05,23.8
2013-08-06,22.15
2013-08-07,23.65
2013-08-08,23.75
