Date,SIGNET
2016-05-18,33.45
2016-05-19,31.05
2016-05-20,30.5
2016-05-23,30.2
2016-05-24,28.65
2016-05-25,27.7
2016-05-26,26.05
2016-05-27,26.95
2016-05-30,21.6
2016-05-31,19.45
2016-06-01,21.1
2016-06-02,23.1
2016-06-03,22.8
2016-06-06,21.85
2016-06-07,23.0
2016-06-08,22.05
2016-06-09,21.7
2016-06-10,23.85
2016-06-13,21.5
2016-06-14,20.95
2016-06-15,20.05
2016-06-16,20.15
2016-06-17,21.45
2016-06-20,21.1
2016-06-21,20.75
2016-06-22,19.9
2016-06-23,20.05
2016-06-24,19.0
2016-06-27,18.95
2016-06-28,19.7
2016-06-29,19.3
2016-06-30,19.45
2016-07-01,18.65
2016-07-04,18.65
2016-07-05,17.95
2016-07-07,18.15
2016-07-08,18.8
2016-07-11,18.15
2016-07-12,17.95
2016-07-13,16.9
2016-07-14,17.0
2016-07-15,16.8
2016-07-18,16.9
2016-07-19,16.4
2016-07-20,16.15
2016-07-21,18.35
2016-07-22,19.3
2016-07-25,18.9
2016-07-26,18.3
2016-07-27,18.3
2016-07-28,17.7
2016-07-29,17.6
2016-08-01,18.2
2016-08-02,18.0
2016-08-03,17.65
2016-08-04,19.5
2016-08-05,20.6
2016-08-08,22.05
2016-08-09,23.2
2016-08-10,23.0
2016-08-11,25.5
2016-08-12,30.55
2016-08-16,31.0
2016-08-17,30.45
2016-08-18,30.7
2016-08-19,30.2
2016-08-22,29.95
2016-08-23,30.0
2016-08-24,29.8
2016-08-25,30.35
2016-08-26,29.85
2016-08-29,29.9
2016-08-30,32.85
2016-08-31,32.5
2016-09-01,33.25
2016-09-02,33.45
2016-09-06,40.05
2016-09-07,37.35
2016-09-08,37.7
2016-09-09,36.55
2016-09-12,35.0
2016-09-14,35.15
2016-09-15,35.0
2016-09-16,36.6
2016-09-19,40.65
2016-09-20,39.65
2016-09-21,40.65
2016-09-22,40.6
2016-09-23,39.6
2016-09-26,40.65
2016-09-27,40.15
2016-09-28,39.65
2016-09-29,31.75
2016-09-30,34.7
2016-10-03,36.05
2016-10-04,35.3
2016-10-05,35.85
2016-10-06,35.2
2016-10-07,35.0
2016-10-10,34.15
2016-10-13,36.45
2016-10-14,37.65
2016-10-17,36.2
2016-10-18,37.5
2016-10-19,38.8
2016-10-20,39.0
2016-10-21,37.55
2016-10-24,42.25
2016-10-25,42.75
2016-10-26,43.05
2016-10-27,42.35
2016-10-28,41.25
2016-10-30,43.8
2016-11-01,42.2
2016-11-02,40.5
2016-11-03,40.4
2016-11-04,37.2
2016-11-07,37.15
2016-11-08,37.15
2016-11-09,31.45
2016-11-10,33.0
2016-11-11,30.65
2016-11-15,24.95
2016-11-16,23.55
2016-11-17,22.3
2016-11-18,21.55
2016-11-21,23.55
2016-11-22,22.8
2016-11-23,23.7
2016-11-24,22.8
2016-11-25,24.45
2016-11-28,24.7
2016-11-29,25.0
2016-11-30,25.1
2016-12-01,25.3
2016-12-02,24.7
2016-12-05,24.6
2016-12-06,24.8
2016-12-07,24.75
2016-12-08,24.6
2016-12-09,24.3
2016-12-12,25.7
2016-12-13,25.5
2016-12-14,24.55
2016-12-15,24.1
2016-12-16,23.05
2016-12-19,24.2
2016-12-20,22.5
2016-12-21,22.15
2016-12-22,20.95
2016-12-23,22.35
2016-12-26,20.95
2016-12-27,21.0
2016-12-28,20.85
2016-12-29,20.95
2016-12-30,20.7
2017-01-02,20.75
2017-01-03,20.6
2017-01-04,22.35
2017-01-05,22.7
2017-01-06,22.45
2017-01-09,21.8
2017-01-10,21.4
2017-01-11,21.0
2017-01-12,21.0
2017-01-13,20.85
2017-01-16,20.85
2017-01-17,20.55
2017-01-18,21.05
2017-01-19,21.3
2017-01-20,20.85
2017-01-23,21.0
2017-01-24,22.8
2017-01-25,24.95
2017-01-27,24.05
2017-01-30,23.3
2017-01-31,22.15
2017-02-01,22.9
2017-02-02,22.25
2017-02-03,22.6
2017-02-06,22.2
2017-02-07,21.9
2017-02-08,21.7
2017-02-09,21.7
2017-02-10,21.9
2017-02-13,21.55
2017-02-14,21.45
2017-02-15,20.95
2017-02-16,20.85
2017-02-17,20.7
2017-02-20,20.9
2017-02-21,20.55
2017-02-22,20.5
2017-02-23,20.45
2017-02-27,20.3
2017-02-28,20.05
2017-03-01,20.0
2017-03-02,19.55
2017-03-03,18.45
2017-03-06,19.75
2017-03-07,18.85
2017-03-08,18.75
2017-03-09,18.2
2017-03-10,18.5
2017-03-14,17.15
2017-03-15,17.0
2017-03-16,17.1
2017-03-17,17.0
2017-03-20,16.45
2017-03-21,16.9
2017-03-22,17.2
2017-03-23,16.45
2017-03-24,16.45
2017-03-27,16.25
2017-03-28,16.0
2017-03-29,15.65
2017-03-30,16.05
2017-03-31,17.2
2017-04-03,16.3
2017-04-05,16.1
2017-04-06,16.0
2017-04-07,16.0
2017-04-10,15.55
2017-04-11,15.75
2017-04-12,15.6
2017-04-13,15.0
2017-04-17,15.45
2017-04-18,14.5
2017-04-19,13.85
2017-04-20,13.5
2017-04-21,13.75
2017-04-24,14.35
2017-04-25,14.55
2017-04-26,13.8
2017-04-27,13.5
2017-04-28,13.2
2017-05-02,12.95
2017-05-03,12.55
2017-05-04,12.5
2017-05-05,12.25
2017-05-08,11.95
2017-05-09,12.15
2017-05-10,11.75
2017-05-11,11.85
2017-05-12,11.75
2017-05-15,11.35
2017-05-16,11.25
2017-05-17,12.3
2017-05-18,12.25
2017-05-19,12.85
2017-05-22,11.55
2017-05-23,11.05
2017-05-24,10.5
2017-05-25,11.3
2017-05-26,11.7
2017-05-29,10.75
2017-05-30,11.0
2017-05-31,10.75
2017-06-01,10.65
2017-06-02,10.8
2017-06-05,10.85
2017-06-06,10.45
2017-06-07,10.0
2017-06-08,9.45
2017-06-09,8.9
2017-06-12,8.2
2017-06-13,8.0
2017-06-14,8.9
2017-06-15,9.8
2017-06-16,10.0
2017-06-19,9.6
