Date,ORBTEXP
2013-11-05,101.05
2013-11-06,101.15
2013-11-07,101.0
2013-11-08,107.65
2013-11-11,105.1
2013-11-12,104.3
2013-11-13,101.0
2013-11-14,100.0
2013-11-18,100.5
2013-11-19,96.2
2013-11-20,98.0
2013-11-21,94.2
2013-11-22,94.6
2013-11-25,94.45
2013-11-26,96.35
2013-11-27,99.55
2013-11-28,100.1
2013-11-29,101.05
2013-12-02,101.05
2013-12-03,100.3
2013-12-04,100.95
2013-12-05,98.25
2013-12-06,97.6
2013-12-09,94.0
2013-12-10,93.25
2013-12-11,95.6
2013-12-12,95.35
2013-12-13,98.75
2013-12-16,97.6
2013-12-17,99.35
2013-12-18,98.1
2013-12-19,99.15
2013-12-20,99.1
2013-12-23,99.0
2013-12-24,98.25
2013-12-26,98.45
2013-12-27,97.95
2013-12-30,97.4
2013-12-31,99.75
2014-01-01,99.45
2014-01-02,99.0
2014-01-03,96.0
2014-01-06,94.75
2014-01-07,95.05
2014-01-08,93.6
2014-01-09,94.2
2014-01-10,95.2
2014-01-13,95.85
2014-01-14,95.0
2014-01-15,93.1
2014-01-16,94.9
2014-01-17,95.05
2014-01-20,94.25
2014-01-21,92.75
2014-01-22,93.25
2014-01-23,93.35
2014-01-24,92.05
2014-01-27,90.2
2014-01-28,92.45
2014-01-29,92.8
2014-01-30,95.0
2014-01-31,94.95
2014-02-03,93.1
2014-02-04,93.0
2014-02-05,95.0
2014-02-06,95.25
2014-02-07,95.55
2014-02-10,94.0
2014-02-11,93.2
2014-02-12,93.35
2014-02-13,93.0
2014-02-14,90.5
2014-02-17,92.0
2014-02-18,92.85
2014-02-19,95.3
2014-02-20,95.3
2014-02-21,94.5
2014-02-24,95.0
2014-02-25,96.35
2014-02-26,93.5
2014-02-28,92.5
2014-03-03,107.45
2014-03-04,118.8
2014-03-05,109.0
2014-03-06,108.7
2014-03-07,107.4
2014-03-10,100.4
2014-03-11,96.35
2014-03-12,101.25
2014-03-13,104.05
2014-03-14,101.6
2014-03-18,104.2
2014-03-19,103.0
2014-03-20,102.6
2014-03-21,100.85
2014-03-22,100.5
2014-03-24,101.95
2014-03-25,100.85
2014-03-26,97.95
2014-03-27,101.1
2014-03-28,102.35
2014-03-31,104.65
2014-04-01,106.0
2014-04-02,98.7
2014-04-03,100.2
2014-04-04,101.0
2014-04-07,100.35
2014-04-09,99.75
2014-04-10,110.75
2014-04-11,108.95
2014-04-15,109.0
2014-04-16,108.0
2014-04-17,125.65
2014-04-21,127.9
2014-04-22,117.45
2014-04-23,118.6
2014-04-25,122.0
2014-04-28,122.95
2014-04-29,123.0
2014-04-30,122.85
2014-05-02,119.5
2014-05-05,118.75
2014-05-06,118.4
