Date,KARURVYSYA
2013-01-01,568.55
2013-01-02,553.45
2013-01-03,548.65
2013-01-04,552.5
2013-01-07,557.05
2013-01-08,547.1
2013-01-09,544.55
2013-01-10,538.4
2013-01-11,532.05
2013-01-14,542.25
2013-01-15,555.7
2013-01-16,553.6
2013-01-17,552.75
2013-01-18,544.35
2013-01-21,539.35
2013-01-22,534.7
2013-01-23,529.25
2013-01-24,519.4
2013-01-25,527.15
2013-01-28,523.7
2013-01-29,534.0
2013-01-30,527.6
2013-01-31,528.7
2013-02-01,519.25
2013-02-04,507.2
2013-02-05,509.45
2013-02-06,512.2
2013-02-07,498.4
2013-02-08,492.05
2013-02-11,503.85
2013-02-12,500.8
2013-02-13,494.85
2013-02-14,490.0
2013-02-15,489.05
2013-02-18,486.95
2013-02-19,495.75
2013-02-20,500.95
2013-02-21,490.95
2013-02-22,481.75
2013-02-25,485.9
2013-02-26,477.45
2013-02-27,478.15
2013-02-28,467.65
2013-03-01,466.95
2013-03-04,453.35
2013-03-05,466.0
2013-03-06,485.45
2013-03-07,477.3
2013-03-08,469.4
2013-03-11,467.75
2013-03-12,464.25
2013-03-13,472.45
2013-03-14,472.45
2013-03-15,470.15
2013-03-18,474.4
2013-03-19,462.95
2013-03-20,452.2
2013-03-21,445.5
2013-03-22,441.9
2013-03-25,444.2
2013-03-26,450.7
2013-03-28,450.4
2013-04-01,454.2
2013-04-02,459.95
2013-04-03,465.75
2013-04-04,449.75
2013-04-05,449.05
2013-04-08,448.0
2013-04-09,446.6
2013-04-10,441.45
2013-04-11,441.5
2013-04-12,443.45
2013-04-15,440.7
2013-04-16,442.65
2013-04-17,447.15
2013-04-18,450.15
2013-04-22,457.95
2013-04-23,456.4
2013-04-25,463.7
2013-04-26,465.55
2013-04-29,461.7
2013-04-30,468.2
2013-05-02,475.25
2013-05-03,471.5
2013-05-06,472.45
2013-05-07,476.85
2013-05-08,470.9
2013-05-09,461.6
2013-05-10,462.2
2013-05-11,465.85
2013-05-13,461.45
2013-05-14,466.9
2013-05-15,478.5
2013-05-16,477.15
2013-05-17,485.9
2013-05-20,484.85
2013-05-21,488.95
2013-05-22,486.4
2013-05-23,472.65
2013-05-24,475.5
2013-05-27,474.05
2013-05-28,469.2
2013-05-29,468.9
2013-05-30,459.6
2013-05-31,455.05
