Date,JMTAUTOLTD
2013-01-01,47.5
2013-01-02,47.25
2013-01-03,48.0
2013-01-04,47.3
2013-01-07,46.4
2013-01-08,55.35
2013-01-09,52.85
2013-01-10,49.9
2013-01-11,48.7
2013-01-14,49.85
2013-01-15,49.9
2013-01-16,49.8
2013-01-17,49.25
2013-01-18,49.35
2013-01-21,59.2
2013-01-22,71.0
2013-01-23,78.1
2013-01-24,79.75
2013-01-25,87.7
2013-01-28,90.7
2013-01-29,86.4
2013-01-30,89.6
2013-01-31,94.05
2013-02-01,94.15
2013-02-04,91.05
2013-02-05,90.1
2013-02-06,90.85
2013-02-07,91.6
2013-02-08,91.45
2013-02-11,91.25
2013-02-12,89.2
2013-02-13,91.2
2013-02-14,93.25
2013-02-15,94.1
2013-02-18,95.0
2013-02-19,94.2
2013-02-20,93.05
2013-02-21,93.45
2013-02-22,91.5
2013-02-25,91.9
2013-02-26,88.7
2013-02-27,89.8
2013-02-28,87.15
2013-06-14,95.45
2013-06-17,90.75
2013-06-18,86.5
2013-06-19,90.8
2013-06-20,95.3
2013-06-21,100.05
2013-06-24,105.05
2013-06-25,109.9
2013-06-26,111.7
2013-06-27,117.25
2013-06-28,122.55
2013-07-01,125.95
2013-07-02,122.35
2013-07-03,120.9
2013-07-04,122.45
2013-07-05,122.8
2013-07-08,121.5
2013-07-09,120.05
2013-07-10,121.0
2013-07-11,121.0
2013-07-12,121.0
2013-07-15,121.0
2013-07-16,122.0
2013-07-17,121.0
2013-07-18,122.8
2013-07-19,120.1
2013-07-22,125.9
2013-07-23,122.0
2013-07-24,120.1
2013-07-26,122.0
2013-07-29,120.25
2013-07-30,121.9
2013-07-31,120.1
2013-08-01,120.1
2013-08-02,121.5
2013-08-05,121.55
2013-08-06,121.1
2013-08-07,123.5
2013-08-08,121.0
2013-08-13,120.6
2013-08-14,120.6
2013-08-16,126.6
2013-08-19,130.0
2013-08-20,128.0
2013-08-21,127.0
2013-08-22,126.15
2013-08-23,129.65
2013-08-26,130.15
2013-08-27,129.95
2013-08-28,128.5
2013-08-29,129.45
2013-08-30,128.0
2013-09-02,129.5
2013-09-03,129.0
2013-09-04,128.25
2013-09-05,129.0
2013-09-06,128.05
2013-09-10,129.0
2013-09-11,129.15
2013-09-12,132.95
2013-09-13,119.7
2013-09-16,108.55
2013-09-17,106.0
2013-09-19,106.5
2013-09-20,106.5
2013-09-23,106.5
2013-09-24,106.0
2013-09-25,106.0
2013-09-26,108.0
2013-09-27,102.95
2013-09-30,108.05
2013-10-04,106.55
2013-10-07,110.95
2013-10-09,105.5
2013-10-10,105.2
2013-10-11,103.05
2013-10-15,106.1
2013-10-17,105.0
2013-10-18,106.1
2013-10-21,106.75
2013-10-22,106.2
2013-10-23,106.0
2013-10-24,106.6
2013-10-25,106.2
2013-10-29,105.5
2013-10-30,102.0
2013-10-31,104.85
2013-11-01,105.5
2013-11-06,100.25
2013-11-08,98.9
2013-11-11,98.0
2013-11-12,95.5
2013-11-13,97.0
2013-11-14,104.85
2013-11-18,104.0
2013-11-19,114.25
2013-11-20,122.0
2013-11-21,128.1
2013-11-22,134.0
2013-11-25,139.9
2013-11-26,144.8
2013-11-27,145.0
2013-11-28,149.0
2013-11-29,145.0
2013-12-02,145.0
2013-12-05,148.0
2013-12-09,150.0
2013-12-10,142.5
2013-12-11,135.5
2013-12-12,129.0
2013-12-13,122.9
2013-12-16,128.0
2013-12-17,134.4
2013-12-18,141.1
2013-12-19,145.0
2013-12-20,147.0
2013-12-23,150.0
2013-12-24,146.1
2013-12-26,145.05
2013-12-27,145.0
2013-12-30,145.0
2013-12-31,146.0
2014-01-01,150.1
2014-01-02,150.0
2014-01-06,144.0
2014-01-07,140.0
2014-01-08,139.0
2014-01-09,135.0
2014-01-10,141.0
2014-01-13,140.0
2014-01-14,140.0
2014-01-20,140.05
2014-01-21,147.0
2014-01-22,152.0
2014-01-23,159.6
2014-01-24,160.05
2014-01-27,158.9
2014-01-28,161.7
2014-01-29,159.0
2014-01-30,161.9
2014-01-31,159.5
2014-02-03,154.0
2014-02-04,154.0
2014-02-05,161.5
2014-02-06,159.0
2014-02-07,159.75
2014-02-11,159.4
2014-02-13,159.95
2014-02-14,157.45
2014-02-17,160.0
2014-02-18,153.35
2014-02-25,151.0
2014-02-26,146.1
2014-02-28,139.05
2014-03-04,145.9
2014-03-05,138.85
2014-03-06,145.0
2014-03-10,151.0
2014-03-11,159.85
2014-03-12,152.6
2014-03-13,161.65
2014-03-14,163.6
2014-03-18,175.45
2014-03-19,175.0
2014-03-21,174.0
2014-03-24,166.25
2014-03-25,175.0
2014-03-26,170.55
2014-03-27,167.0
2014-06-13,444.35
2014-06-16,466.55
2014-06-17,489.85
2014-06-18,480.1
2014-06-19,482.55
2014-06-20,472.95
2014-06-23,457.4
2014-06-24,455.15
2014-06-25,461.95
2014-06-26,458.65
2014-06-27,455.65
2014-08-06,180.25
2014-08-07,171.25
2014-08-08,162.7
2014-08-11,154.6
2014-08-12,149.5
2014-08-13,142.05
2014-08-14,134.95
2014-08-18,141.65
2014-08-19,145.35
2014-08-20,142.85
2014-08-21,141.55
2014-08-22,135.9
2014-08-25,135.45
2014-08-26,136.0
2014-08-27,130.5
2014-08-28,124.0
2014-09-01,119.9
2014-09-02,119.2
2014-09-03,124.0
2014-09-04,122.05
2014-09-05,124.2
2014-09-08,130.4
2014-09-09,136.9
2014-09-10,143.7
2014-09-11,150.45
2014-09-12,149.45
2014-09-15,156.3
2014-09-16,150.45
2014-09-17,146.45
2014-09-18,153.7
2014-09-19,160.0
2014-09-22,157.7
2014-09-23,157.3
2014-09-24,155.8
2014-09-25,150.3
2014-09-26,148.0
2014-09-29,144.75
2014-09-30,144.0
2014-10-01,137.3
2014-10-07,130.45
2014-10-08,127.65
2014-10-09,140.4
2014-10-10,144.9
2014-10-13,138.85
2014-10-14,139.65
2014-10-16,129.9
2014-10-17,128.6
2014-10-20,125.4
2014-10-21,122.6
2014-10-22,123.6
2014-10-23,121.8
2014-10-27,130.1
2014-10-28,128.75
2014-10-29,132.65
2014-10-30,128.55
2014-10-31,125.35
2014-11-03,124.7
2014-11-05,125.0
2014-11-07,125.05
2014-11-10,125.45
2014-11-11,122.35
2014-11-12,123.8
2014-11-13,123.55
2014-11-14,122.45
2014-11-17,132.5
2014-11-18,134.5
2014-11-19,130.55
2014-11-20,126.7
2014-11-21,125.45
2014-11-24,122.2
2014-11-25,120.95
2014-11-26,120.0
2014-11-27,120.5
2014-11-28,119.7
2014-12-01,120.2
2014-12-02,116.9
2014-12-03,118.55
2014-12-04,118.6
2014-12-05,115.4
2014-12-08,112.55
2014-12-09,116.1
2014-12-10,138.25
2014-12-11,140.3
2014-12-12,137.4
2014-12-15,128.15
2014-12-16,113.6
2014-12-17,111.3
2014-12-18,109.6
2014-12-19,115.35
2014-12-22,117.1
2014-12-23,112.85
2014-12-24,112.15
2014-12-26,110.9
2014-12-29,109.6
2014-12-30,111.05
2014-12-31,106.6
2015-01-01,106.55
2015-01-02,108.35
2015-01-05,106.95
2015-01-06,104.7
2015-01-07,101.6
2015-01-08,105.15
2015-01-09,103.05
2015-01-12,101.45
2015-01-13,100.2
2015-01-14,116.55
2015-01-15,128.75
2015-01-16,136.0
2015-01-19,153.85
2015-01-20,159.0
2015-01-21,163.5
2015-01-22,166.4
2015-01-23,149.9
2015-01-27,152.7
2015-01-28,160.6
2015-01-29,164.2
2015-01-30,170.9
2015-02-02,166.2
2015-02-03,160.15
2015-02-04,164.45
2015-02-05,161.05
2015-02-06,159.7
2015-02-09,148.05
2015-02-10,145.3
2015-02-11,147.25
2015-02-12,145.2
2015-02-13,140.75
2015-02-16,143.0
2015-02-18,138.8
2015-02-19,137.05
2015-02-20,132.45
2015-02-23,124.15
2015-02-24,132.95
2015-02-25,133.05
2015-02-26,130.05
2015-02-27,128.75
2015-02-28,128.0
2015-03-02,130.3
2015-03-03,146.25
2015-03-04,151.2
2015-03-05,157.8
2015-03-09,162.0
2015-03-10,158.05
2015-03-11,158.5
2015-03-12,166.45
2015-03-13,159.0
2015-03-16,157.0
2015-03-17,168.35
2015-03-18,158.4
2015-03-19,167.1
2015-03-20,156.0
2015-03-23,166.3
2015-03-24,172.9
2015-03-25,163.4
2015-03-26,163.5
2015-03-27,159.15
2015-03-30,158.7
2015-03-31,157.4
2015-04-01,159.15
2015-04-06,157.2
2015-04-07,154.2
2015-04-08,154.5
2015-04-09,151.0
2015-04-10,170.0
2015-04-13,167.65
2015-04-15,162.55
2015-04-16,164.7
2015-04-17,163.65
2015-04-20,161.85
2015-04-21,165.0
2015-04-22,164.8
2015-04-23,170.0
2015-04-24,164.05
2015-04-27,154.0
2015-04-28,157.85
2015-04-29,158.8
2015-04-30,153.05
2015-05-04,166.0
2015-05-05,163.0
2015-05-06,157.8
2015-05-07,151.9
2015-05-08,157.8
2015-05-11,155.45
2015-05-12,152.7
2015-05-13,154.5
2015-05-14,152.45
2015-05-15,152.6
2015-05-18,151.8
2015-05-19,152.1
2015-05-20,152.7
2015-05-21,154.0
2015-05-22,153.0
2015-05-25,152.55
2015-05-26,149.5
2015-05-27,149.0
2015-05-28,149.85
2015-05-29,150.5
2015-06-01,153.5
2015-06-02,152.15
2015-06-03,154.3
2015-06-04,152.35
2015-06-05,151.1
2015-06-08,140.35
2015-06-09,147.55
2015-06-10,149.4
2015-06-11,145.7
2015-06-12,148.1
2015-06-15,145.45
2015-06-16,142.6
2015-06-17,150.0
2015-06-18,145.8
2015-06-19,143.0
2015-06-22,146.0
2015-06-23,146.4
2015-06-24,145.65
2015-06-25,34.95
2015-06-26,41.9
2015-06-29,45.85
2015-06-30,50.4
2015-07-01,51.0
2015-07-02,52.35
2015-07-03,49.75
2015-07-06,48.85
2015-07-07,51.2
2015-07-08,50.7
2015-07-09,53.2
2015-07-10,55.85
2015-07-13,58.6
2015-07-14,61.5
2015-07-15,64.55
2015-07-16,67.75
2015-07-17,71.1
2015-07-20,74.65
2015-07-21,78.35
2015-07-22,82.25
2015-07-23,86.35
2015-07-24,90.65
2015-07-27,95.15
2015-07-28,99.9
2015-07-29,104.85
2015-07-30,110.05
2015-07-31,115.55
2015-08-03,121.3
2015-08-04,127.35
2015-08-05,131.1
2015-08-06,137.65
2015-08-07,141.1
2015-08-10,135.2
2015-08-11,128.45
2015-08-12,129.7
2015-08-13,126.75
2015-08-14,124.2
2015-08-17,118.0
2015-08-18,123.1
2015-08-19,117.8
2015-08-20,111.95
2015-08-21,106.4
2015-08-24,101.1
2015-08-25,96.05
2015-08-26,91.25
2015-08-27,86.7
2015-08-28,82.4
2015-08-31,78.3
2015-09-01,74.4
2015-09-02,70.7
2015-09-03,67.2
2015-09-04,63.85
2015-09-07,60.7
2015-09-08,57.7
2015-09-09,54.85
2015-09-10,52.15
2015-09-11,54.75
2015-09-14,57.45
2015-09-15,60.25
2015-09-16,63.0
2015-09-18,65.45
2015-09-21,62.2
2015-09-22,59.1
2015-09-23,56.15
2015-09-24,54.0
2015-09-28,51.3
2015-09-29,51.9
2015-09-30,52.45
2015-10-01,50.0
2015-10-05,50.85
2015-10-06,51.45
2015-10-07,49.0
2015-10-08,49.45
2015-10-09,51.9
2015-10-12,50.55
2015-10-13,50.0
2015-10-14,50.0
2015-10-15,52.05
2015-10-16,53.9
2015-10-19,53.55
2015-10-20,52.55
2015-10-21,52.3
2015-10-23,53.25
2015-10-26,53.75
2015-10-27,56.4
2015-10-28,58.25
2015-10-29,57.45
2015-10-30,58.7
2015-11-02,57.5
2015-11-03,60.35
2015-11-04,62.2
2015-11-05,59.6
2015-11-06,57.35
2015-11-09,58.8
2015-11-10,62.6
2015-11-11,66.95
2015-11-13,67.25
2015-11-16,65.9
2015-11-17,64.8
2015-11-18,69.2
2015-11-19,70.4
2015-11-20,69.5
2015-11-23,70.5
2015-11-24,70.3
2015-11-26,77.3
2015-11-27,81.85
2015-11-30,86.1
2015-12-01,89.0
2015-12-02,93.45
2015-12-03,96.15
2015-12-04,100.65
2015-12-07,103.8
2015-12-08,98.65
2015-12-09,93.75
2015-12-10,98.0
2015-12-11,97.1
2015-12-14,98.15
2015-12-15,99.7
2015-12-16,96.55
2015-12-17,100.0
2015-12-18,99.4
2015-12-21,101.7
2015-12-22,97.25
2015-12-23,97.15
2015-12-24,96.15
2015-12-28,94.0
2015-12-29,91.35
2015-12-30,90.4
2015-12-31,87.75
2016-01-01,88.55
2016-01-04,86.85
2016-01-05,86.55
2016-01-06,84.95
2016-01-07,88.95
2016-01-08,89.85
2016-01-11,90.7
2016-01-12,88.95
2016-01-13,87.5
2016-01-14,86.95
2016-01-15,81.9
2016-01-18,80.25
2016-01-19,82.05
2016-01-20,76.4
2016-01-21,80.45
2016-01-22,80.1
2016-01-25,82.0
2016-01-27,80.4
2016-01-28,78.7
2016-01-29,78.2
2016-02-01,78.8
2016-02-02,79.7
2016-02-03,76.0
2016-02-04,75.15
2016-02-05,68.4
2016-02-08,76.3
2016-02-09,72.5
2016-02-10,70.6
2016-02-11,66.9
2016-02-12,56.95
2016-02-15,67.25
2016-02-16,73.55
2016-02-17,68.55
2016-02-18,69.55
2016-02-19,69.0
2016-02-22,65.05
2016-02-23,63.6
2016-02-24,57.55
2016-02-25,57.5
2016-02-26,57.0
2016-02-29,53.85
2016-03-01,56.05
2016-03-02,54.45
2016-03-03,55.95
2016-03-04,56.05
2016-03-08,55.15
2016-03-09,55.95
2016-03-10,56.25
2016-03-11,55.6
2016-03-14,55.7
2016-03-15,55.3
2016-03-16,54.9
2016-03-17,54.25
2016-03-18,51.8
2016-03-21,53.25
2016-03-22,53.2
2016-03-23,52.2
2016-03-28,49.0
