Date,FCL
2015-01-15,246.05
2015-01-16,236.0
2015-01-19,249.35
2015-01-20,242.95
2015-01-21,244.25
2015-01-22,220.65
2015-01-23,242.45
2015-01-27,243.95
2015-01-28,238.65
2015-01-29,257.9
2015-01-30,259.05
2015-02-02,258.7
2015-02-03,259.25
2015-02-04,263.25
2015-02-05,257.0
2015-02-06,258.65
2015-02-09,253.4
2015-02-10,246.5
2015-02-11,270.1
2015-02-12,125.15
2015-02-13,124.85
2015-02-16,121.65
2015-02-18,127.65
2015-02-19,127.5
2015-02-20,135.05
2015-02-23,131.65
2015-02-24,126.95
2015-02-25,134.2
2015-02-26,131.2
2015-02-27,126.0
2015-02-28,129.25
2015-03-02,129.05
2015-03-03,127.35
2015-03-04,128.95
2015-03-05,129.9
2015-03-09,126.3
2015-03-10,122.0
2015-03-11,123.7
2015-03-12,122.25
2015-03-13,120.75
2015-03-16,121.8
2015-03-17,118.9
2015-03-18,112.95
2015-03-19,111.2
2015-03-20,110.15
2015-03-23,111.1
2015-03-24,103.7
2015-03-25,99.8
2015-03-26,96.6
2015-03-27,100.0
2015-03-30,110.6
2015-03-31,111.0
2015-04-01,117.55
2015-04-06,116.45
2015-04-07,114.8
2015-04-08,118.7
2015-04-09,123.65
2015-04-10,126.6
2015-04-13,128.75
2015-04-15,126.15
2015-04-16,123.7
2015-04-17,134.8
2015-04-20,128.15
2015-04-21,125.6
2015-04-22,138.9
2015-04-23,140.3
2015-04-24,132.25
2015-04-27,129.0
2015-04-28,126.65
2015-04-29,125.85
2015-04-30,122.05
2015-05-04,123.6
2015-05-05,126.55
2015-05-06,122.5
2015-05-07,117.65
2015-05-08,120.6
2015-05-11,119.7
2015-05-12,117.2
2015-05-13,128.85
2015-05-14,134.35
2015-05-15,132.25
2015-05-18,136.95
2015-05-19,141.45
2015-05-20,150.4
2015-05-21,142.15
2015-05-22,151.1
2015-05-25,153.75
2015-05-26,162.35
2015-05-27,171.05
2015-05-28,169.3
2015-05-29,166.8
2015-06-01,171.55
2015-06-02,171.25
2015-06-03,157.95
2015-06-04,160.9
2015-06-05,186.55
2015-06-08,176.0
2015-06-09,164.0
2015-06-10,176.9
2015-06-11,33.9
2015-06-12,33.25
2015-06-15,35.6
2015-06-16,34.55
2015-06-17,34.1
2015-06-18,33.4
2015-06-19,33.2
2015-06-22,33.6
2015-06-23,33.5
2015-06-24,33.15
2015-06-25,36.15
2015-06-26,35.9
2015-06-29,35.15
2015-06-30,39.2
2015-07-01,37.85
2015-07-02,37.25
2015-07-03,39.8
2015-07-06,41.9
2015-07-07,39.7
2015-07-08,39.05
2015-07-09,39.05
2015-07-10,38.75
2015-07-13,39.3
2015-07-14,37.6
2015-07-15,37.05
2015-07-16,36.4
2015-07-17,36.55
2015-07-20,37.15
2015-07-21,35.85
2015-07-22,35.95
2015-07-23,35.55
2015-07-24,35.5
2015-07-27,35.0
2015-07-28,34.6
2015-07-29,33.65
2015-07-30,37.15
2015-07-31,38.2
2015-08-03,37.85
2015-08-04,37.05
2015-08-05,37.7
2015-08-06,36.7
2015-08-07,34.75
2015-08-10,35.4
2015-08-11,34.6
2015-08-12,34.6
2015-08-13,33.0
2015-08-14,33.25
2015-08-17,30.5
2015-08-18,28.8
2015-08-19,23.4
2015-08-20,21.1
2015-08-21,21.4
2015-08-24,19.8
2015-08-25,19.35
2015-08-26,18.65
2015-08-27,19.5
2015-08-28,21.45
2015-08-31,23.15
2015-09-01,25.45
2015-09-02,26.45
2015-09-03,25.15
2015-09-04,23.9
2015-09-07,22.75
2015-09-08,21.65
2015-09-09,21.0
2015-09-10,20.0
2015-09-11,21.0
2015-09-14,22.05
2015-09-15,23.0
2015-09-16,22.2
2015-09-18,22.35
2015-09-21,21.75
2015-09-22,21.3
2015-09-23,21.2
2015-09-24,21.05
2015-09-28,20.75
2015-09-29,20.0
2015-09-30,20.05
2015-10-01,20.95
2015-10-05,22.35
2015-10-06,24.55
2015-10-07,25.55
2015-10-08,25.25
2015-10-09,24.85
2015-10-12,24.75
2015-10-13,24.3
2015-10-14,24.15
2015-10-15,24.15
2015-10-16,23.6
2015-10-19,23.85
2015-10-20,24.25
2015-10-21,23.95
2015-10-23,24.0
2015-10-26,24.0
2015-10-27,23.95
2015-10-28,23.75
2015-10-29,23.7
2015-10-30,23.85
2015-11-02,24.25
2015-11-03,24.35
2015-11-04,24.0
2015-11-05,23.95
2015-11-06,22.5
2015-11-09,23.0
