Date,KNRCON
2013-01-01,107.4
2013-01-02,109.85
2013-01-03,120.0
2013-01-04,120.1
2013-01-07,116.2
2013-01-08,113.55
2013-01-09,112.15
2013-01-10,112.0
2013-01-11,110.65
2013-01-14,110.15
2013-01-15,109.2
2013-01-16,111.0
2013-01-17,110.5
2013-01-18,110.0
2013-01-21,112.0
2013-01-22,108.75
2013-01-23,112.0
2013-01-24,112.0
2013-01-25,109.9
2013-01-28,111.4
2013-01-29,110.45
2013-01-30,109.0
2013-01-31,108.1
2013-02-01,109.4
2013-02-04,111.5
2013-02-05,108.1
2013-02-06,107.0
2013-02-07,109.9
2013-02-08,107.2
2013-02-11,106.0
2013-02-12,104.35
2013-02-13,104.65
2013-02-14,105.05
2013-02-15,105.45
2013-02-18,102.8
2013-02-19,105.0
2013-02-20,103.25
2013-02-21,101.55
2013-02-22,103.0
2013-02-25,102.3
2013-02-26,94.85
2013-02-27,95.15
2013-02-28,96.3
2013-03-01,96.6
2013-03-04,90.7
2013-03-05,96.4
2013-03-06,94.8
2013-03-07,93.1
2013-03-08,94.0
2013-03-11,94.5
2013-03-12,91.5
2013-03-13,90.1
2013-03-14,89.25
2013-03-15,90.85
2013-03-18,87.7
2013-03-19,84.2
2013-03-20,82.6
2013-03-21,79.8
2013-03-22,78.25
2013-03-25,85.55
2013-03-26,82.25
2013-03-28,88.0
2013-04-01,89.0
2013-04-02,86.0
2013-04-03,87.9
2013-04-04,84.0
2013-04-05,81.6
2013-04-08,82.1
2013-04-09,81.15
2013-04-10,79.4
2013-04-11,77.1
2013-04-12,82.05
2013-04-15,81.2
2013-04-16,81.65
2013-04-17,82.85
2013-04-18,82.95
2013-04-22,81.35
2013-04-23,80.05
2013-04-25,81.95
2013-04-26,80.0
2013-04-29,76.1
2013-04-30,75.0
2013-05-02,80.7
2013-05-03,81.0
2013-05-06,78.5
2013-05-07,79.0
2013-05-08,78.0
2013-05-09,77.05
2013-05-10,80.0
2013-05-11,79.0
2013-05-13,77.35
2013-05-14,80.0
2013-05-15,79.85
2013-05-16,79.7
2013-05-17,84.75
2013-05-20,81.7
2013-05-21,79.05
2013-05-22,79.9
2013-05-23,76.5
2013-05-24,76.0
2013-05-27,72.65
2013-05-28,73.45
2013-05-29,70.1
2013-05-30,71.4
2013-05-31,73.25
2013-06-03,73.5
2013-06-04,73.4
2013-06-05,72.05
2013-06-06,69.4
2013-06-07,70.1
2013-06-10,73.65
2013-06-11,74.4
2013-06-12,77.65
2013-06-13,75.1
2013-06-14,75.5
2013-06-17,77.95
2013-06-18,76.7
2013-06-19,75.15
2013-06-20,80.0
2013-06-21,79.6
2013-06-24,74.4
2013-06-25,73.45
2013-06-26,77.0
2013-06-27,73.8
2013-06-28,80.35
2013-07-01,78.1
2013-07-02,77.6
2013-07-03,78.8
2013-07-04,74.05
2013-07-05,79.85
2013-07-08,76.0
2013-07-09,78.8
2013-07-11,78.0
2013-07-22,77.0
2013-07-23,74.0
2013-07-25,84.9
2013-07-26,86.05
2013-07-29,77.0
2013-07-30,79.95
2013-07-31,85.0
2013-08-01,81.0
2013-08-02,85.0
