Date,TWL
2013-01-01,367.65
2013-01-02,369.55
2013-01-03,371.0
2013-01-04,371.45
2013-01-07,374.4
2013-01-08,372.95
2013-01-09,377.3
2013-01-10,360.4
2013-01-11,339.1
2013-01-14,336.8
2013-01-15,343.85
2013-01-16,339.25
2013-01-17,336.95
2013-01-18,332.05
2013-01-21,334.5
2013-01-22,331.95
2013-01-23,329.4
2013-01-24,312.8
2013-01-25,314.75
2013-01-28,322.0
2013-01-29,319.85
2013-01-30,318.85
2013-01-31,320.6
2013-02-01,321.5
2013-02-04,330.75
2013-02-05,326.6
2013-02-06,319.1
2013-02-07,306.8
2013-02-08,306.75
2013-02-11,307.55
2013-02-12,307.95
2013-02-13,302.3
2013-02-14,292.95
2013-02-15,295.25
2013-02-18,298.7
2013-02-19,296.4
2013-02-20,296.2
2013-02-21,293.7
2013-02-22,281.6
2013-02-25,266.3
2013-02-26,244.3
2013-02-27,211.15
2013-02-28,195.15
2013-03-01,188.1
2013-03-04,181.9
2013-03-05,183.3
2013-03-06,187.3
2013-03-07,185.45
2013-03-08,185.85
2013-03-11,193.3
2013-03-12,197.75
2013-03-13,190.75
2013-03-14,188.4
2013-03-15,186.55
2013-03-18,185.45
2013-03-19,181.9
2013-03-20,173.0
2013-03-21,165.45
2013-03-22,160.6
2013-03-25,162.05
2013-03-26,163.15
2013-03-28,165.45
2013-04-01,174.75
2013-04-02,181.0
2013-04-03,181.35
2013-04-04,176.3
2013-04-05,179.55
2013-04-08,175.75
2013-04-09,167.85
2013-04-10,166.4
2013-04-11,168.1
2013-04-12,167.5
2013-04-15,166.4
2013-04-16,168.7
2013-04-17,168.8
2013-04-18,169.1
2013-04-22,171.35
2013-04-23,170.7
2013-04-25,171.5
2013-04-26,169.85
2013-04-29,168.5
2013-04-30,168.45
2013-05-02,168.4
2013-05-03,167.55
2013-05-06,169.75
2013-05-07,175.2
2013-05-08,176.55
2013-05-09,173.95
2013-05-10,172.4
2013-05-11,173.55
2013-05-13,170.95
2013-05-14,169.15
2013-05-15,169.35
2013-05-16,171.7
2013-05-17,169.95
2013-05-20,169.05
2013-05-21,165.85
2013-05-22,163.75
2013-05-23,158.1
2013-05-24,157.35
2013-05-27,158.0
2013-05-28,156.8
2013-05-29,158.45
2013-05-30,156.9
2013-05-31,152.5
2013-06-03,152.7
2013-06-04,151.1
2013-06-05,152.55
2013-06-06,151.1
2013-06-07,150.8
2013-06-10,147.8
2013-06-11,140.75
2013-06-12,135.8
2013-06-13,131.7
2013-06-14,132.45
2013-06-17,129.15
2013-06-18,126.55
2013-06-19,121.85
2013-06-20,116.45
