Date,GANECOS
2015-03-09,166.05
2015-03-10,158.5
2015-03-11,157.75
2015-03-12,152.85
2015-03-13,149.95
2015-03-16,148.6
2015-03-17,151.25
2015-03-18,151.0
2015-03-19,151.95
2015-03-20,144.75
2015-03-23,142.95
2015-03-24,145.0
2015-03-25,141.5
2015-03-26,135.95
2015-03-27,136.8
2015-03-30,146.7
2015-03-31,145.15
2015-04-01,152.25
2015-04-06,153.0
2015-04-07,147.65
2015-04-08,144.2
2015-04-09,139.2
2015-04-10,140.5
2015-04-13,140.45
2015-04-15,136.8
2015-04-16,145.55
2015-04-17,142.7
2015-04-20,144.0
2015-04-21,144.5
2015-04-22,143.05
2015-04-23,159.7
2015-04-24,148.55
2015-04-27,143.6
2015-04-28,144.0
2015-04-29,158.95
2015-04-30,169.45
2015-05-04,167.45
2015-05-05,169.9
2015-05-06,158.95
2015-05-07,160.7
2015-05-08,164.05
2015-05-11,161.7
2015-05-12,163.95
2015-05-13,168.35
2015-05-14,168.9
2015-05-15,168.45
2015-05-18,169.0
2015-05-19,168.7
2015-05-20,169.55
2015-05-21,168.6
2015-05-22,168.3
2015-05-25,166.3
2015-05-26,165.0
2015-05-27,165.3
2015-05-28,165.55
2015-05-29,171.85
2015-06-01,170.75
2015-06-02,167.05
2015-06-03,169.25
2015-06-04,165.95
2015-06-05,164.85
2015-06-08,164.15
2015-06-09,159.05
2015-06-10,157.35
2015-06-11,157.9
2015-06-12,151.8
2015-06-15,152.4
2015-06-16,156.65
2015-06-17,154.85
2015-06-18,157.95
2015-06-19,157.7
2015-06-22,158.8
2015-06-23,162.7
2015-06-24,159.65
2015-06-25,158.75
2015-06-26,158.4
2015-06-29,152.9
2015-06-30,152.0
2015-07-01,156.3
2015-07-02,149.05
2015-07-03,147.3
2015-07-06,150.25
2015-07-07,146.4
2015-07-08,144.3
2015-07-09,142.55
2015-07-10,141.55
2015-07-13,147.35
2015-07-14,147.75
2015-07-15,152.15
2015-07-16,156.25
2015-07-17,160.95
2015-07-20,167.3
2015-07-21,164.0
2015-07-22,167.15
2015-07-23,163.55
2015-07-24,171.6
2015-07-27,172.15
2015-07-28,173.95
2015-07-29,169.5
2015-07-30,170.7
2015-07-31,168.45
2015-08-03,164.65
2015-08-04,158.9
2015-08-05,165.65
2015-08-06,166.7
2015-08-07,174.0
2015-08-10,170.35
2015-08-11,163.7
2015-08-12,156.2
2015-08-13,149.05
2015-08-14,160.0
2015-08-17,157.65
2015-08-18,153.55
2015-08-19,154.05
2015-08-20,148.85
2015-08-21,147.1
2015-08-24,128.85
2015-08-25,132.65
2015-08-26,132.0
2015-08-27,132.9
2015-08-28,130.5
2015-08-31,130.0
2015-09-01,126.8
2015-09-02,126.65
2015-09-03,130.05
2015-09-04,126.8
2015-09-07,121.85
2015-09-08,121.5
2015-09-09,122.85
2015-09-10,120.4
2015-09-11,120.0
2015-09-14,118.55
2015-09-15,119.05
2015-09-16,120.05
2015-09-18,122.0
2015-09-21,124.9
2015-09-22,123.8
2015-09-23,119.45
2015-09-24,119.05
2015-09-28,119.05
2015-09-29,115.2
2015-09-30,117.75
2015-10-01,118.0
2015-10-05,120.0
2015-10-06,117.75
2015-10-07,119.0
