Date,SANDESH
2013-01-01,275.75
2013-01-02,270.95
2013-01-03,276.35
2013-01-04,272.85
2013-01-07,272.35
2013-01-08,270.7
2013-01-09,276.0
2013-01-10,275.0
2013-01-11,275.85
2013-01-14,331.0
2013-01-15,354.35
2013-01-16,357.8
2013-01-17,357.2
2013-01-18,354.85
2013-01-21,345.1
2013-01-22,335.4
2013-01-23,338.35
2013-01-24,318.35
2013-01-25,329.2
2013-01-28,374.7
2013-01-29,362.35
2013-01-30,355.05
2013-01-31,344.0
2013-02-01,350.85
2013-02-04,347.35
2013-02-05,333.05
2013-02-06,331.75
2013-02-07,326.05
2013-02-08,338.0
2013-02-11,326.25
2013-02-12,320.65
2013-02-13,326.2
2013-02-14,318.0
2013-02-15,312.0
2013-02-18,332.8
2013-02-19,318.9
2013-02-20,326.35
2013-02-21,317.05
2013-02-22,330.0
2013-02-25,311.0
2013-02-26,309.65
2013-02-27,308.6
2013-02-28,306.85
2013-03-01,303.95
2013-03-04,301.5
2013-03-05,304.7
2013-03-06,300.5
2013-03-07,300.15
2013-03-08,297.65
2013-03-11,296.0
2013-03-12,300.0
2013-03-13,313.4
2013-03-14,300.9
2013-03-15,301.85
2013-03-18,299.95
2013-03-19,295.6
2013-03-20,305.2
2013-03-21,295.0
2013-03-22,295.0
2013-03-25,290.25
2013-03-26,282.0
2013-03-28,280.15
2013-04-01,284.0
2013-04-02,302.3
2013-04-03,299.9
2013-04-04,301.0
2013-04-05,299.0
2013-04-08,287.5
2013-04-09,290.65
2013-04-10,289.95
2013-04-11,288.95
2013-04-12,284.75
2013-04-15,300.0
2013-04-16,279.5
2013-04-17,277.0
2013-04-18,277.4
2013-04-22,274.5
2013-04-23,290.65
2013-04-25,283.0
2013-04-29,283.9
2013-05-02,280.3
2013-05-06,278.05
2013-05-07,284.9
2013-05-08,275.45
2013-05-09,280.0
2013-05-10,282.4
2013-05-13,275.0
2013-05-14,271.15
2013-05-15,280.0
2013-05-16,275.1
2013-05-17,279.45
2013-05-20,278.0
2013-05-21,274.6
2013-05-22,277.7
2013-05-23,275.0
2013-05-24,272.4
2013-05-27,279.8
2013-05-28,273.9
2013-05-29,278.15
2013-05-30,276.0
2013-05-31,275.4
2013-06-03,275.1
2013-06-04,275.25
2013-06-05,278.0
2013-06-06,277.0
2013-06-07,275.35
2013-06-10,276.2
2013-06-11,282.95
2013-06-12,277.9
2013-06-13,276.5
2013-06-14,277.85
2013-06-17,278.0
2013-06-18,287.0
2013-06-19,278.0
2013-06-20,274.0
2013-06-21,272.5
2013-06-24,264.6
2013-06-25,278.0
2013-06-26,266.05
2013-06-27,265.05
2013-06-28,277.95
2013-07-01,265.65
2013-07-02,279.95
2013-07-03,268.3
2013-07-04,304.2
2013-07-05,297.6
2013-07-10,285.0
2013-07-15,285.0
2013-07-17,300.0
2013-07-18,301.0
2013-08-13,265.0
2013-08-20,251.0
2013-08-23,250.0
2013-09-05,250.0
2013-09-11,245.0
2013-09-13,245.1
2013-09-17,245.0
2013-09-19,252.95
2013-09-20,246.05
2013-09-24,253.75
2013-09-25,258.0
2013-10-09,220.0
2013-10-10,223.0
2013-10-11,255.0
2013-10-14,246.0
2013-10-15,231.0
2013-10-17,248.0
2013-10-18,254.95
2013-10-22,255.0
