Date,RNAVAL
2014-02-26,33.9
2014-02-28,33.8
2014-03-03,33.75
2014-03-04,33.9
2014-03-05,34.1
2014-03-06,34.25
2014-03-07,34.6
2014-03-10,34.7
2014-03-11,34.5
2014-03-12,36.2
2014-03-13,36.9
2014-03-14,35.8
2014-03-18,35.6
2014-03-19,35.4
2014-03-20,35.4
2014-03-21,34.9
2014-03-22,34.95
2014-03-24,34.7
2014-03-25,33.75
2014-03-26,33.95
2014-03-27,33.8
2014-03-28,33.8
2014-03-31,35.4
2014-04-01,35.55
2014-04-02,36.55
2014-04-03,37.05
2014-04-04,37.15
2014-04-07,37.6
2014-04-09,39.45
2014-04-10,41.4
2014-04-11,43.4
2014-04-15,45.45
2014-04-16,44.0
2014-04-17,44.35
2014-04-21,46.5
2014-04-22,46.85
2014-04-23,47.55
2014-04-25,47.85
2014-04-28,49.55
2014-04-29,50.35
2014-04-30,47.85
2014-05-02,45.5
2014-05-05,43.25
2014-05-06,44.25
2014-05-07,42.05
2014-05-08,42.15
2014-05-09,41.9
2014-05-12,40.95
2014-05-13,42.85
2014-05-14,44.5
2014-05-15,42.75
2014-05-16,44.85
2014-05-19,47.05
2014-05-20,48.75
2014-05-21,50.8
2014-05-22,53.3
2014-05-23,55.95
2014-05-26,56.1
2014-05-27,58.9
2014-05-28,61.8
2014-05-29,64.4
2014-05-30,67.6
2014-06-02,65.25
2014-06-03,65.2
2014-06-04,68.45
2014-06-05,70.45
2014-06-06,72.55
2014-06-09,68.95
2014-06-10,65.55
2014-06-11,64.3
2014-06-12,65.6
2014-06-30,68.35
2014-07-01,67.75
2014-07-02,67.65
2014-07-03,66.4
2014-07-04,66.85
2014-07-07,70.15
2014-07-08,66.65
2014-07-09,63.35
2014-07-10,63.5
2014-07-11,60.35
2014-07-14,57.35
2014-07-15,57.7
2014-07-16,58.75
2014-07-17,59.65
2014-07-18,58.6
2014-07-21,58.75
2014-07-22,59.75
2014-07-23,58.35
2014-07-24,57.35
2014-07-25,54.8
2014-07-28,52.7
2014-07-30,51.25
2014-07-31,53.5
2014-08-01,53.55
2014-08-04,54.1
2014-08-05,53.0
2014-08-06,52.5
2014-08-07,51.3
2014-08-08,49.35
2014-08-11,49.9
2014-08-12,50.7
2014-08-13,48.2
2014-08-14,47.75
2014-08-18,50.05
2014-08-19,50.3
2014-08-20,50.75
2014-08-21,48.45
2014-08-22,48.85
2014-08-25,47.75
2014-08-26,45.55
2014-08-27,46.05
2014-08-28,46.55
2014-09-01,46.9
2014-09-02,46.45
2014-09-03,45.55
2014-09-04,44.05
2014-09-05,44.6
2014-09-08,45.8
2014-09-09,45.0
2014-09-10,47.25
