Date,GATI
2013-01-01,37.65
2013-01-02,38.05
2013-01-03,37.85
2013-01-04,37.65
2013-01-07,37.6
2013-01-08,37.4
2013-01-09,37.2
2013-01-10,36.8
2013-01-11,35.6
2013-01-14,36.45
2013-01-15,36.35
2013-01-16,36.0
2013-01-17,35.6
2013-01-18,35.55
2013-01-21,37.35
2013-01-22,36.1
2013-01-23,35.2
2013-01-24,35.25
2013-01-25,35.75
2013-01-28,35.35
2013-01-29,35.2
2013-01-30,35.0
2013-01-31,35.0
2013-02-01,34.75
2013-02-04,34.35
2013-02-05,34.2
2013-02-06,34.85
2013-02-07,34.45
2013-02-08,34.15
2013-02-11,34.05
2013-02-12,34.1
2013-02-13,33.85
2013-02-14,32.7
2013-02-15,32.1
2013-02-18,32.3
2013-02-19,33.1
2013-02-20,33.4
2013-02-21,32.5
2013-02-22,32.15
2013-02-25,32.35
2013-02-26,30.45
2013-02-27,30.0
2013-02-28,27.4
2013-03-01,28.5
2013-03-04,29.95
2013-03-05,31.45
2013-03-06,31.15
2013-03-07,31.05
2013-03-08,30.5
2013-03-11,29.4
2013-03-12,29.15
2013-03-13,28.85
2013-03-14,29.2
2013-03-15,28.65
2013-03-18,28.35
2013-03-19,27.95
2013-03-20,26.0
2013-03-21,25.65
2013-03-22,25.5
2013-03-25,25.3
2013-03-26,26.15
2013-03-28,26.85
2013-04-01,27.9
2013-04-02,27.9
2013-04-03,27.4
2013-04-04,26.8
2013-04-05,26.7
2013-04-08,27.0
2013-04-09,26.15
2013-04-10,27.55
2013-04-11,27.05
2013-04-12,27.25
2013-04-15,27.4
2013-04-16,27.35
2013-04-17,27.6
2013-04-18,27.4
2013-04-22,27.5
2013-04-23,28.1
2013-04-25,27.75
2013-04-26,28.45
2013-04-29,28.95
2013-04-30,28.8
2013-05-02,29.25
2013-05-03,29.15
2013-05-06,29.55
2013-05-07,30.45
2013-05-08,30.7
2013-05-09,30.65
2013-05-10,30.75
2013-05-11,30.75
2013-05-13,29.25
2013-05-14,29.1
2013-05-15,29.7
2013-05-16,29.45
2013-05-17,29.45
2013-05-20,29.45
2013-05-21,29.45
2013-05-22,28.7
2013-05-23,26.8
2013-05-24,27.3
2013-05-27,26.6
2013-05-28,26.4
2013-05-29,26.35
2013-05-30,26.2
2013-05-31,25.85
2013-06-03,26.05
2013-06-04,25.75
2013-06-05,25.8
2013-06-06,25.85
2013-06-07,25.7
2013-06-10,25.5
2013-06-11,26.1
2013-06-12,27.7
2013-06-13,26.55
2013-06-14,29.0
2013-06-17,29.2
