Date,IFBIND
2013-01-01,106.3
2013-01-02,105.1
2013-01-03,106.15
2013-01-04,107.7
2013-01-07,107.95
2013-01-08,106.9
2013-01-09,109.05
2013-01-10,107.6
2013-01-11,105.5
2013-01-14,105.75
2013-01-15,115.05
2013-01-16,111.1
2013-01-17,109.2
2013-01-18,107.5
2013-01-21,107.4
2013-01-22,107.1
2013-01-23,105.85
2013-01-24,99.25
2013-01-25,94.7
2013-01-28,94.95
2013-01-29,93.35
2013-01-30,95.0
2013-01-31,106.65
2013-02-01,102.15
2013-02-04,100.9
2013-02-05,99.05
2013-02-06,100.05
2013-02-07,97.65
2013-02-08,98.0
2013-02-11,101.05
2013-02-12,100.3
2013-02-13,100.6
2013-02-14,97.5
2013-02-15,96.15
2013-02-18,99.0
2013-02-19,98.05
2013-02-20,101.2
2013-02-21,100.55
2013-02-22,99.7
2013-02-25,96.3
2013-02-26,94.7
2013-02-27,93.0
2013-02-28,91.4
2013-03-01,90.85
2013-03-04,86.85
2013-03-05,89.6
2013-03-06,92.85
2013-03-07,91.6
2013-03-08,91.8
2013-03-11,89.75
2013-03-12,89.85
2013-03-13,88.25
2013-03-14,87.45
2013-03-15,87.6
2013-03-18,86.6
2013-03-19,85.0
2013-03-20,81.95
2013-03-21,79.45
2013-03-22,77.05
2013-03-25,76.0
2013-03-26,79.1
2013-03-28,80.8
2013-04-01,85.15
2013-04-02,87.8
2013-04-03,84.2
2013-04-04,85.0
2013-04-05,85.4
2013-04-08,85.15
2013-04-09,85.0
2013-04-10,85.15
2013-04-11,86.25
2013-04-12,85.75
2013-04-15,86.0
2013-04-16,86.0
2013-04-17,84.4
2013-04-18,85.2
2013-04-22,84.6
2013-04-23,85.0
2013-04-25,85.2
2013-04-26,84.95
2013-04-29,85.1
2013-04-30,85.9
2013-05-02,85.15
2013-05-03,83.7
2013-05-06,84.15
2013-05-07,84.7
2013-05-08,83.1
2013-05-09,82.5
2013-05-10,84.3
2013-05-11,85.8
2013-05-13,83.4
2013-05-14,82.6
2013-05-15,85.15
2013-05-16,84.15
2013-05-17,84.45
2013-05-20,84.25
2013-05-21,83.5
2013-05-22,83.15
2013-05-23,78.35
2013-05-24,79.0
2013-05-27,81.35
2013-05-28,82.5
2013-05-29,79.35
2013-05-30,73.55
