Date,SEAMECLTD
2013-01-01,79.45
2013-01-02,80.0
2013-01-03,79.5
2013-01-04,80.85
2013-01-07,80.55
2013-01-08,81.4
2013-01-09,80.7
2013-01-10,79.25
2013-01-11,79.95
2013-01-14,79.55
2013-01-15,79.55
2013-01-16,78.25
2013-01-17,78.55
2013-01-18,78.15
2013-01-21,78.1
2013-01-22,77.15
2013-01-23,78.05
2013-01-24,77.6
2013-01-25,78.0
2013-01-28,77.05
2013-01-29,76.15
2013-01-30,74.8
2013-01-31,75.75
2013-02-01,75.2
2013-02-04,74.1
2013-02-05,75.95
2013-02-06,75.05
2013-02-07,73.85
2013-02-08,72.55
2013-02-11,68.9
2013-02-12,68.55
2013-02-13,68.1
2013-02-14,67.0
2013-02-15,65.1
2013-02-18,64.2
2013-02-19,66.85
2013-02-20,65.75
2013-02-21,63.1
2013-02-22,63.15
2013-02-25,63.0
2013-02-26,62.65
2013-02-27,61.6
2013-02-28,61.25
2013-03-01,59.8
2013-03-04,60.9
2013-03-05,60.25
2013-03-06,60.85
2013-03-07,60.5
2013-03-08,60.9
2013-03-11,60.15
2013-03-12,59.65
2013-03-13,60.45
2013-03-14,60.4
2013-03-15,59.95
2013-03-18,59.7
2013-03-19,60.25
2013-03-20,59.45
2013-03-21,59.85
2013-03-22,58.7
2013-03-25,55.5
2013-03-26,53.5
2013-03-28,55.45
2013-04-01,56.4
2013-04-02,56.05
2013-04-03,56.6
2013-04-04,55.65
2013-04-05,56.8
2013-04-08,55.0
2013-04-09,55.0
2013-04-10,55.55
2013-04-11,55.1
2013-04-12,54.35
2013-04-15,55.0
2013-04-16,55.55
2013-04-17,56.3
2013-04-18,55.95
2013-04-22,55.2
2013-04-23,55.0
2013-04-25,55.8
2013-04-26,56.9
2013-04-29,57.0
2013-04-30,57.0
2013-05-02,55.75
2013-05-03,55.25
2013-05-06,55.1
2013-05-07,55.8
2013-05-08,55.6
2013-05-09,56.05
2013-05-10,55.35
2013-05-11,55.7
2013-05-13,56.05
2013-05-14,56.55
2013-05-15,57.6
2013-05-16,56.95
2013-05-17,57.0
2013-05-20,56.7
2013-05-21,56.8
2013-05-22,56.95
2013-05-23,55.15
2013-05-24,56.9
2013-05-27,55.9
2013-05-28,55.1
2013-05-29,55.3
2013-05-30,54.15
2013-05-31,55.15
2013-06-03,53.4
2013-06-04,52.95
2013-06-05,53.25
2013-06-06,52.5
2013-06-07,52.65
2013-06-10,53.05
2013-06-11,52.0
2013-06-12,51.0
2013-06-13,51.4
2013-06-14,50.25
2013-06-17,51.0
2013-06-18,50.65
2013-06-19,52.5
2013-06-20,50.1
2013-06-21,48.0
2013-06-24,46.8
2013-06-25,48.05
2013-06-26,47.95
2013-06-27,47.8
2013-06-28,48.95
2013-07-01,50.0
2013-07-02,50.0
2013-07-03,47.95
2013-07-04,47.25
2013-07-05,48.25
2013-07-08,50.2
2013-07-09,49.95
2013-07-10,50.45
2013-07-11,50.0
2013-07-12,50.4
2013-07-15,49.9
2013-07-16,50.1
2013-07-17,50.55
2013-07-18,50.3
2013-07-19,50.7
2013-07-22,49.75
2013-07-23,49.55
2013-07-24,48.95
2013-07-25,48.3
2013-07-26,47.35
2013-07-29,45.05
2013-07-30,46.6
2013-07-31,44.3
2013-08-01,45.75
2013-08-02,42.85
2013-08-05,42.7
2013-08-06,42.45
2013-08-07,42.35
2013-08-08,41.05
2013-08-12,41.8
2013-08-13,42.25
2013-08-14,44.3
2013-08-16,43.3
2013-08-19,45.0
2013-08-20,43.25
2013-08-21,42.2
2013-08-22,41.2
2013-08-23,44.25
2013-08-26,44.0
