Date,MPSLTD
2013-03-01,120.35
2013-03-04,123.05
2013-03-05,122.45
2013-03-06,124.1
2013-03-07,127.2
2013-03-08,128.75
2013-03-11,127.9
2013-03-12,128.4
2013-03-13,126.35
2013-03-14,126.8
2013-03-15,127.45
2013-03-18,128.4
2013-03-19,125.0
2013-03-20,118.4
2013-03-21,120.1
2013-03-22,122.8
2013-03-25,127.15
2013-03-26,126.05
2013-03-28,125.6
2013-04-01,126.55
2013-04-02,127.7
2013-04-03,126.6
2013-04-04,123.45
2013-04-05,122.2
2013-04-08,121.9
2013-04-09,122.0
2013-04-10,120.05
2013-04-11,117.75
2013-04-12,116.4
2013-04-15,120.65
2013-04-16,122.0
2013-04-17,121.15
2013-04-18,119.55
2013-04-22,118.95
2013-04-23,123.7
2013-04-25,122.9
2013-04-26,123.7
2013-04-29,119.7
2013-04-30,119.85
2013-05-02,118.1
2013-05-03,120.0
2013-05-06,118.55
2013-05-07,119.15
2013-05-08,116.5
2013-05-09,116.85
2013-05-10,124.45
2013-05-11,127.7
2013-05-13,126.95
2013-05-14,134.15
2013-05-15,133.95
2013-05-16,131.0
2013-05-17,128.4
2013-05-20,125.0
2013-05-21,125.75
2013-05-22,125.4
2013-05-23,120.55
2013-05-24,123.05
2013-05-27,130.05
2013-05-28,121.3
2013-05-29,121.45
2013-05-30,119.7
2013-05-31,115.25
2013-06-03,115.75
2013-06-04,114.5
2013-06-05,114.0
2013-06-06,114.75
2013-06-07,116.3
2013-06-10,116.0
2013-06-11,118.05
2013-06-12,118.0
2013-06-13,113.1
2013-06-14,119.45
2013-06-17,115.95
2013-06-18,117.5
2013-06-19,119.9
2013-06-20,117.45
2013-06-21,115.5
2013-06-24,115.2
2013-06-25,108.05
2013-06-26,104.2
2013-06-27,102.65
2013-06-28,107.4
2013-07-01,108.4
2013-07-02,109.85
2013-07-03,110.5
2013-07-04,112.95
2013-07-05,114.1
2013-07-08,111.9
2013-07-09,114.85
2013-07-10,114.0
2013-07-11,116.0
2013-07-12,118.4
2013-07-15,117.0
2013-07-16,120.0
2013-07-17,117.9
2013-07-18,120.3
2013-07-19,121.4
2013-07-22,122.8
2013-07-23,126.0
2013-07-24,120.95
2013-07-25,117.05
2013-07-26,112.35
2013-07-29,126.0
2013-07-30,123.7
2013-07-31,124.4
2013-08-01,126.3
2013-08-02,121.45
2013-08-05,116.0
2013-08-06,106.7
2013-08-07,112.05
2013-08-08,113.45
2013-08-12,116.85
2013-08-13,118.05
2013-08-14,118.7
2013-08-16,116.7
2013-08-19,115.15
2013-08-20,113.7
2013-08-21,110.65
2013-08-22,114.65
2013-08-23,119.65
2013-08-26,118.85
2013-08-27,117.9
2013-08-28,113.0
2013-08-29,114.3
2013-08-30,117.0
2013-09-02,117.0
2013-09-03,117.95
2013-09-04,116.35
2013-09-05,111.85
2013-09-06,112.3
2013-09-10,112.5
2013-09-11,109.2
2013-09-12,110.05
2013-09-13,111.55
2013-09-16,110.75
2013-09-17,110.8
2013-09-18,112.15
2013-09-19,111.85
2013-09-20,109.6
2013-09-23,111.1
2013-09-24,112.2
2013-09-25,111.6
2013-09-26,110.2
2013-09-27,110.05
2013-09-30,115.15
2013-10-01,125.1
2013-10-03,122.5
2013-10-04,122.05
2013-10-07,124.7
2013-10-08,129.3
2013-10-09,129.35
2013-10-10,135.7
2013-10-11,143.15
2013-10-14,145.95
2013-10-15,141.0
2013-10-17,142.0
2013-10-18,164.4
2013-10-21,164.5
2013-10-22,162.45
2013-10-23,160.6
2013-10-24,157.85
2013-10-25,155.1
2013-10-28,155.9
2013-10-29,154.5
2013-10-30,159.7
2013-10-31,157.7
2013-11-01,170.9
2013-11-03,175.15
2013-11-05,172.0
2013-11-06,175.5
2013-11-07,169.15
2013-11-08,167.8
2013-11-11,167.25
2013-11-12,166.45
2013-11-13,166.95
2013-11-14,175.95
2013-11-18,184.95
2013-11-19,182.2
2013-11-20,187.05
2013-11-21,189.55
2013-11-22,185.25
2013-11-25,184.4
2013-11-26,182.05
2013-11-27,176.85
2013-11-28,175.7
2013-11-29,175.6
2013-12-02,176.55
2013-12-03,179.7
2013-12-04,180.7
2013-12-05,184.05
2013-12-06,190.35
2013-12-09,189.85
2013-12-10,191.1
2013-12-11,191.2
2013-12-12,187.1
2013-12-13,185.35
2013-12-16,182.85
2013-12-17,183.5
2013-12-18,189.85
2013-12-19,186.95
2013-12-20,190.0
2013-12-23,189.35
2013-12-24,191.0
2013-12-26,204.8
2013-12-27,207.75
2013-12-30,224.35
2013-12-31,227.85
2014-01-01,229.95
2014-01-02,228.55
2014-01-03,231.9
2014-01-06,224.3
2014-01-07,214.9
2014-01-08,216.7
2014-01-09,214.75
2014-01-10,213.5
2014-01-13,221.1
2014-01-14,232.8
2014-01-15,244.8
2014-01-16,238.8
2014-01-17,228.6
2014-01-20,220.25
2014-01-21,217.75
2014-01-22,218.0
2014-01-23,219.15
2014-01-24,210.3
2014-01-27,214.6
2014-01-28,221.7
2014-01-29,223.45
2014-01-30,219.7
2014-01-31,222.15
2014-02-03,225.05
2014-02-04,225.35
2014-02-05,244.4
2014-02-06,243.0
2014-02-07,243.75
2014-02-10,244.45
2014-02-11,247.6
2014-02-12,244.15
2014-02-13,240.9
2014-02-14,247.95
2014-02-17,297.5
2014-02-18,331.0
2014-02-19,332.25
2014-02-20,320.9
2014-02-21,321.45
2014-02-24,328.7
2014-02-25,317.65
2014-02-26,322.9
2014-02-28,361.55
2014-03-03,412.05
2014-03-04,406.05
2014-03-05,394.65
2014-03-06,385.7
2014-03-07,365.3
2014-03-10,379.95
2014-03-11,371.25
2014-03-12,363.2
2014-03-13,365.5
2014-03-14,362.65
2014-03-18,365.65
2014-03-19,380.75
2014-03-20,381.9
2014-03-21,383.3
2014-03-22,381.7
2014-03-24,377.9
2014-03-25,388.2
2014-03-26,369.0
2014-03-27,367.85
2014-03-28,367.45
2014-03-31,363.6
2014-04-01,363.65
2014-04-02,363.45
2014-04-03,359.0
2014-04-04,366.9
2014-04-07,369.05
2014-04-09,368.15
2014-04-10,368.35
2014-04-11,367.6
2014-04-15,363.95
2014-04-16,362.85
2014-04-17,363.85
2014-04-21,366.25
2014-04-22,402.85
2014-04-23,392.85
2014-04-25,382.6
2014-04-28,370.55
2014-04-29,373.7
2014-04-30,362.8
2014-05-02,363.75
2014-05-05,364.8
2014-05-06,381.7
2014-05-07,373.75
2014-05-08,374.95
2014-05-09,369.8
2014-05-12,362.45
2014-05-13,366.45
2014-05-14,379.05
2014-05-15,374.5
2014-05-16,360.05
2014-05-19,364.1
2014-05-20,363.25
2014-05-21,375.25
2014-05-22,382.2
2014-05-23,331.0
2014-05-26,326.1
2014-05-27,336.45
2014-05-28,328.55
2014-05-29,326.4
2014-05-30,330.9
2014-06-02,329.05
2014-06-03,322.1
2014-06-04,318.05
2014-06-05,321.65
2014-06-06,322.75
2014-06-09,322.1
2014-06-10,348.3
2014-06-11,350.1
2014-06-12,351.55
2014-06-13,345.35
2014-06-16,348.9
2014-06-17,350.05
2014-06-18,340.75
2014-06-19,336.25
2014-06-20,343.55
2014-06-23,337.7
2014-06-24,334.9
2014-06-25,339.5
2014-06-26,336.6
2014-06-27,345.45
2014-06-30,360.95
2014-07-01,361.65
2014-07-02,358.2
2014-07-03,356.0
2014-07-04,357.1
2014-07-07,353.35
2014-07-08,338.3
2014-07-09,334.8
