Date,GREENPOWER
2014-02-25,9.55
2014-02-26,9.45
2014-02-28,9.6
2014-03-03,9.5
2014-03-04,9.35
2014-03-05,9.35
2014-03-06,9.4
2014-03-07,9.1
2014-03-10,8.95
2014-03-11,9.0
2014-03-12,9.0
2014-03-13,8.9
2014-03-14,9.1
2014-03-18,9.15
2014-03-19,9.05
2014-03-20,9.15
2014-03-21,9.1
2014-03-22,9.05
2014-03-24,8.9
2014-03-25,8.75
2014-03-26,8.7
2014-03-27,8.9
2014-03-28,9.05
2014-03-31,9.3
2014-04-01,9.5
2014-04-02,9.65
2014-04-03,9.65
2014-04-04,9.75
2014-04-07,10.05
2014-04-09,11.95
2014-04-10,11.0
2014-04-11,11.05
2014-04-15,11.0
2014-04-16,10.35
2014-04-17,10.35
2014-04-21,10.65
2014-04-22,10.6
2014-04-23,10.5
2014-04-25,10.45
2014-04-28,10.6
2014-04-29,10.55
2014-04-30,10.25
2014-05-02,9.95
2014-05-05,9.9
2014-05-06,10.0
2014-05-07,10.05
2014-05-08,9.8
2014-05-09,10.05
2014-05-12,10.0
2014-05-13,10.15
2014-05-14,10.35
2014-05-15,11.1
2014-05-16,11.05
2014-05-19,13.15
2014-05-20,13.7
2014-05-21,13.1
2014-05-22,14.35
2014-05-23,17.2
2014-05-26,16.9
2014-05-27,15.65
2014-05-28,15.4
2014-05-29,15.4
2014-05-30,15.25
2014-06-02,15.55
2014-06-03,15.8
2014-06-04,16.85
2014-06-05,16.85
2014-06-06,17.05
2014-06-09,17.55
2014-06-10,17.15
2014-06-11,17.55
2014-06-12,18.05
2014-08-06,15.5
2014-08-07,15.2
2014-08-08,15.05
2014-08-11,15.35
2014-08-12,15.6
2014-08-13,15.45
2014-08-14,15.25
2014-08-18,14.8
2014-08-19,14.75
2014-08-20,14.85
2014-08-21,14.85
2014-08-22,14.55
2014-08-25,14.2
2014-08-26,14.1
2014-08-27,14.0
2014-08-28,13.9
2014-09-01,14.25
2014-09-02,14.25
2014-09-03,14.2
2014-09-04,13.85
2014-09-05,13.7
2014-09-08,13.35
2014-09-09,13.35
2014-09-10,13.45
2014-09-11,13.65
2014-09-12,13.95
2014-09-15,13.75
2014-09-16,13.45
