Date,ALLSEC
2013-03-01,48.9
2013-03-04,50.15
2013-03-05,50.0
2013-03-06,49.9
2013-03-07,49.0
2013-03-08,48.5
2013-03-11,49.8
2013-03-12,47.55
2013-03-13,47.25
2013-03-14,46.05
2013-03-15,46.4
2013-03-18,47.1
2013-03-19,45.1
2013-03-20,45.05
2013-03-21,45.1
2013-03-22,46.5
2013-03-25,46.5
2013-03-26,47.25
2013-03-28,47.55
2013-04-01,47.0
2013-04-02,48.8
2013-04-03,50.1
2013-04-04,52.6
2013-04-05,55.1
2013-04-10,52.35
2013-06-17,45.3
2013-06-18,43.05
2013-06-19,40.9
2013-06-25,38.9
2013-07-01,37.0
2013-07-02,35.15
2013-07-03,33.4
2013-07-04,31.75
2013-07-08,32.25
2013-07-09,33.0
2013-07-10,32.25
2013-07-15,31.0
2013-07-16,32.4
2013-07-17,31.2
2013-07-18,31.5
2013-07-19,31.0
2013-07-25,29.45
2013-07-26,29.45
2013-07-29,30.9
2013-08-01,30.5
2013-08-05,29.0
2013-08-07,27.55
2013-08-12,26.2
2013-08-13,27.5
2013-08-14,26.15
2013-08-16,25.5
2013-08-20,26.75
2013-08-21,27.0
2013-08-26,26.0
2013-08-27,26.0
2013-08-28,25.0
2013-08-30,23.75
2013-09-02,23.75
2013-09-03,22.7
2013-09-05,22.0
2013-09-06,21.0
2013-09-10,20.1
2013-09-11,21.1
2013-09-13,20.05
2013-09-18,19.1
2013-09-20,20.0
2013-09-23,21.0
2013-09-24,22.05
2013-09-25,22.0
2013-09-27,23.05
2013-11-29,26.65
2013-12-02,25.35
2013-12-11,24.1
2013-12-12,24.1
2013-12-18,22.9
2013-12-20,21.8
2013-12-23,21.6
2013-12-26,21.6
2013-12-27,22.65
2013-12-30,21.55
2013-12-31,21.0
2014-01-02,20.75
2014-01-03,21.5
2014-01-06,20.65
2014-01-07,20.95
2014-01-08,21.95
2014-01-09,21.45
2014-01-10,22.0
2014-01-13,23.1
2014-01-14,24.25
2014-01-15,25.45
2014-01-16,26.7
2014-01-17,28.0
2014-01-20,29.4
2014-01-21,30.85
2014-01-22,32.35
2014-01-23,33.95
2014-01-24,35.6
2014-01-27,37.35
2014-01-28,35.9
2014-01-29,34.15
2014-01-30,34.65
2014-03-03,28.1
2014-03-04,29.35
2014-03-05,30.65
2014-03-06,32.15
2014-03-07,30.95
2014-03-10,30.6
