Date,PGEL
2013-01-01,368.1
2013-01-02,381.7
2013-01-03,388.5
2013-01-04,389.35
2013-01-07,389.2
2013-01-08,382.9
2013-01-09,371.3
2013-01-10,384.3
2013-01-11,374.15
2013-01-14,369.85
2013-01-15,374.5
2013-01-16,364.15
2013-01-17,361.9
2013-01-18,353.3
2013-01-21,343.5
2013-01-22,354.1
2013-01-23,338.2
2013-01-24,333.05
2013-01-25,371.05
2013-01-28,358.55
2013-01-29,364.2
2013-01-30,360.5
2013-01-31,362.85
2013-02-01,371.05
2013-02-04,365.1
2013-02-05,363.4
2013-02-06,364.1
2013-02-07,358.0
2013-02-08,361.05
2013-02-11,356.7
2013-02-12,349.55
2013-02-13,343.75
2013-02-14,339.25
2013-02-15,326.25
2013-02-18,337.5
2013-02-19,343.75
2013-02-20,332.9
2013-02-21,335.3
2013-02-22,359.85
2013-02-25,341.35
2013-02-26,273.1
2013-02-27,218.5
2013-02-28,196.65
2013-03-01,190.5
2013-03-04,171.45
2013-03-05,162.9
2013-03-06,154.8
2013-03-07,147.1
2013-03-08,139.75
2013-03-11,132.8
2013-03-12,126.2
2013-03-13,119.9
2013-03-14,113.95
2013-03-15,108.3
2013-03-18,103.15
2013-03-19,98.0
2013-03-20,96.3
2013-03-21,96.25
2013-03-22,94.95
2013-03-25,91.05
2013-03-26,86.5
2013-03-28,82.2
2013-04-01,78.5
2013-04-02,77.95
2013-04-03,81.8
2013-04-04,85.5
2013-04-05,85.1
2013-04-08,83.3
2013-04-09,83.35
2013-04-10,84.95
2013-04-11,85.9
2013-04-12,84.15
2013-04-15,80.5
2013-04-16,82.5
2013-04-17,86.6
2013-04-18,86.45
2013-04-22,85.35
2013-04-23,85.05
2013-04-25,82.65
2013-04-26,79.4
2013-04-29,79.1
2013-04-30,81.35
2013-05-02,80.4
2013-05-03,77.25
2013-05-06,75.35
2013-05-07,72.05
2013-05-08,71.3
2013-05-09,76.25
2013-05-10,72.95
2013-05-11,75.0
2013-05-13,76.5
2013-05-14,76.1
2013-05-15,78.6
2013-05-16,78.45
2013-05-20,75.1
2013-05-21,72.05
2013-05-22,69.7
2013-05-23,68.15
2013-05-24,65.1
2013-05-27,65.8
2013-05-28,64.1
2013-05-29,62.95
2013-05-30,60.2
2013-05-31,58.65
2013-06-03,58.85
2013-06-04,59.3
2013-06-05,59.85
2013-06-06,58.9
2013-06-07,58.9
2013-06-10,63.65
2013-06-11,70.0
2013-06-12,71.25
2013-06-13,70.4
2013-06-14,66.85
2013-06-17,70.4
2013-06-18,71.55
2013-06-19,72.85
2013-06-20,72.45
2013-06-21,72.95
2013-06-24,71.95
2013-06-25,69.55
2013-06-26,70.2
2013-06-27,70.2
2013-06-28,70.7
2013-07-01,70.15
2013-07-02,71.4
2013-07-03,75.95
2013-07-04,78.55
2013-07-05,81.45
2013-07-08,82.3
2013-07-09,83.1
2013-07-10,82.0
