Date,NCLIND
2013-01-01,38.55
2013-01-02,39.1
2013-01-03,39.7
2013-01-04,39.7
2013-01-07,39.3
2013-01-08,39.85
2013-01-09,42.45
2013-01-10,41.55
2013-01-11,40.3
2013-01-14,39.65
2013-01-15,39.6
2013-01-16,38.75
2013-01-17,38.55
2013-01-18,37.75
2013-01-21,38.55
2013-01-22,38.55
2013-01-23,37.9
2013-01-24,36.75
2013-01-25,36.5
2013-01-28,36.35
2013-01-29,36.2
2013-01-30,36.3
2013-01-31,35.3
2013-02-01,34.95
2013-02-04,35.05
2013-02-05,34.8
2013-02-06,35.6
2013-02-07,34.7
2013-02-08,34.3
2013-02-11,34.25
2013-02-12,34.0
2013-02-13,33.8
2013-02-14,32.35
2013-02-15,32.1
2013-02-18,32.35
2013-02-19,32.45
2013-02-20,32.6
2013-02-21,32.3
2013-02-22,32.05
2013-02-25,32.1
2013-02-26,31.55
2013-02-27,31.1
2013-02-28,30.15
2013-03-01,31.05
2013-03-04,31.1
2013-03-05,30.55
2013-03-06,30.65
2013-03-07,30.3
2013-03-08,30.7
2013-03-11,31.85
2013-03-12,31.45
2013-03-13,31.45
2013-03-14,31.05
2013-03-15,31.1
2013-03-18,30.45
2013-03-19,30.05
2013-03-20,27.9
2013-03-21,28.75
2013-03-22,28.7
2013-03-25,27.4
2013-03-26,27.45
2013-03-28,27.05
2013-04-01,28.4
2013-04-02,28.15
2013-04-03,28.6
2013-04-04,28.05
2013-04-05,28.1
2013-04-08,28.0
2013-04-09,28.0
2013-04-10,26.7
2013-04-11,27.45
2013-04-12,27.35
2013-04-15,27.2
2013-04-16,27.65
2013-04-17,28.05
2013-04-18,27.4
2013-04-22,27.9
2013-04-23,27.95
2013-04-25,28.3
2013-04-26,28.3
2013-04-29,28.45
2013-04-30,28.45
2013-05-02,28.4
2013-05-03,28.8
2013-05-06,28.15
2013-05-07,29.35
2013-05-08,28.4
2013-05-09,28.35
2013-05-10,27.95
2013-05-11,27.9
2013-05-13,27.6
2013-05-14,27.9
2013-05-15,28.05
2013-05-16,28.25
2013-05-17,28.75
2013-05-20,28.6
2013-05-21,28.1
2013-05-22,27.55
2013-05-23,27.95
2013-05-24,27.65
2013-05-27,27.3
2013-05-28,27.2
2013-05-29,27.05
2013-05-30,26.65
2013-05-31,24.95
2013-06-03,25.75
2013-06-04,26.15
2013-06-05,26.0
2013-06-06,27.5
2013-06-07,27.35
2013-06-10,27.0
2013-06-11,26.05
2013-06-12,26.8
2013-06-13,26.7
2013-06-14,27.7
2013-06-17,27.5
2013-06-18,26.9
2013-06-19,27.05
2013-06-20,26.7
2013-06-21,26.5
2013-06-24,26.9
2013-06-25,25.4
2013-06-26,25.45
2013-06-27,26.85
2013-06-28,25.8
2013-07-01,25.75
2013-07-02,25.45
