Date,GUJFLUORO
2013-01-01,332.0
2013-01-02,339.7
2013-01-03,335.5
2013-01-04,340.1
2013-01-07,351.8
2013-01-08,351.05
2013-01-09,344.5
2013-01-10,339.7
2013-01-11,336.7
2013-01-14,339.95
2013-01-15,335.1
2013-01-16,330.8
2013-01-17,328.15
2013-01-18,326.05
2013-01-21,324.3
2013-01-22,318.0
2013-01-23,312.6
2013-01-24,290.15
2013-01-25,293.0
2013-01-28,291.9
2013-01-29,295.05
2013-01-30,284.75
2013-01-31,290.9
2013-02-01,295.9
2013-02-04,288.5
2013-02-05,280.6
2013-02-06,284.2
2013-02-07,283.3
2013-02-08,271.6
2013-02-11,270.3
2013-02-12,272.05
2013-02-13,272.3
2013-02-14,260.0
2013-02-15,269.3
2013-02-18,271.3
2013-02-19,279.7
2013-02-20,284.95
2013-02-21,282.35
2013-02-22,297.35
2013-02-25,299.8
2013-02-26,288.65
2013-02-27,285.9
2013-02-28,280.25
2013-03-01,294.6
2013-03-04,295.05
2013-03-05,301.05
2013-03-06,300.4
2013-03-07,299.6
2013-03-08,302.85
2013-03-11,298.45
2013-03-12,297.8
2013-03-13,296.75
2013-03-14,298.85
2013-03-15,297.5
2013-03-18,298.3
2013-03-19,290.9
2013-03-20,281.65
2013-03-21,275.65
2013-03-22,277.95
2013-03-25,292.3
2013-03-26,290.6
2013-03-28,299.4
2013-04-01,297.85
2013-04-02,298.1
2013-04-03,299.1
2013-04-04,297.9
2013-04-05,298.4
2013-04-08,295.25
2013-04-09,292.85
2013-04-10,294.2
2013-04-11,290.2
2013-04-12,289.75
2013-04-15,294.0
2013-04-16,295.05
2013-04-17,294.45
2013-04-18,290.4
2013-04-22,296.2
2013-04-23,294.25
2013-04-25,300.0
2013-04-26,295.1
2013-04-29,299.45
2013-04-30,297.55
2013-05-02,293.05
2013-05-03,294.8
2013-05-06,299.8
2013-05-07,298.0
2013-05-08,294.25
2013-05-09,289.25
2013-05-10,290.6
2013-05-11,297.5
2013-05-13,287.3
2013-05-14,285.65
2013-05-15,285.9
2013-05-16,285.05
2013-05-17,284.6
2013-05-20,284.85
2013-05-21,284.3
2013-05-22,280.8
2013-05-23,281.85
2013-05-24,284.3
2013-05-27,284.2
2013-05-28,284.45
2013-05-29,280.25
2013-05-30,281.8
2013-05-31,276.35
2013-06-03,268.35
2013-06-04,263.55
2013-06-05,255.65
2013-06-06,270.1
2013-06-07,284.95
2013-06-10,283.3
2013-06-11,274.95
2013-06-12,275.7
2013-06-13,269.8
2013-06-14,291.9
2013-06-17,287.7
2013-06-18,283.95
2013-06-19,288.6
2013-06-20,285.05
2013-06-21,283.1
2013-06-24,268.05
2013-06-25,265.25
2013-06-26,274.35
2013-06-27,271.7
2013-06-28,285.15
2013-07-01,281.2
2013-07-02,277.3
2013-07-03,274.95
2013-07-04,278.8
2013-07-05,283.55
2013-07-08,282.95
2013-07-09,279.5
2013-07-10,276.85
2013-07-11,280.05
2013-07-12,281.95
2013-07-15,278.05
2013-07-16,277.45
2013-07-17,278.7
2013-07-18,280.0
2013-07-19,278.2
2013-07-22,277.05
2013-07-23,274.5
2013-07-24,272.8
2013-07-25,270.5
2013-07-26,264.95
2013-07-29,262.35
2013-07-30,256.95
