Date,MMTC
2013-01-01,640.0
2013-01-02,640.2
2013-01-03,643.1
2013-01-04,643.3
2013-01-07,637.35
2013-01-08,637.6
2013-01-09,636.25
2013-01-10,634.8
2013-01-11,626.25
2013-01-14,630.0
2013-01-15,624.7
2013-01-16,618.85
2013-01-17,617.7
2013-01-18,611.1
2013-01-21,602.9
2013-01-22,600.55
2013-01-23,591.9
2013-01-24,576.9
2013-01-25,573.45
2013-01-28,573.65
2013-01-29,564.3
2013-01-30,559.1
2013-01-31,559.2
2013-02-01,559.25
2013-02-04,551.45
2013-02-05,538.1
2013-02-06,539.05
2013-02-07,525.5
2013-02-08,511.5
2013-02-11,608.75
2013-02-12,631.55
2013-02-13,600.6
2013-02-14,578.85
2013-02-15,553.0
2013-02-18,598.55
2013-02-19,596.7
2013-02-20,579.8
2013-02-21,553.75
2013-02-22,540.3
2013-02-25,513.9
2013-02-26,487.1
2013-02-27,471.7
2013-02-28,429.9
2013-03-01,407.35
2013-03-04,369.85
2013-03-05,338.05
2013-03-06,318.55
2013-03-07,302.3
2013-03-08,303.5
2013-03-11,296.9
2013-03-12,318.35
2013-03-13,314.8
2013-03-14,300.3
2013-03-15,296.35
2013-03-18,288.85
2013-03-19,276.8
2013-03-20,252.05
2013-03-21,239.45
2013-03-22,227.5
2013-03-25,216.45
2013-03-26,206.15
2013-03-28,198.45
2013-04-01,208.35
2013-04-02,218.75
2013-04-03,229.65
2013-04-04,236.65
2013-04-05,233.95
2013-04-08,231.75
2013-04-09,226.25
2013-04-10,218.35
2013-04-11,213.3
2013-04-12,209.0
2013-04-15,205.65
2013-04-16,215.9
2013-04-17,214.95
2013-04-18,216.2
2013-04-22,219.7
2013-04-23,221.95
2013-04-25,218.55
2013-04-26,216.2
2013-04-29,214.75
2013-04-30,213.8
2013-05-02,215.1
2013-05-03,214.1
2013-05-06,214.7
2013-05-07,225.4
2013-05-08,227.95
2013-05-09,231.9
2013-05-10,244.6
2013-05-11,264.85
2013-05-13,270.35
2013-05-14,261.9
2013-05-15,259.85
2013-05-16,264.3
2013-05-17,257.55
2013-05-20,257.05
2013-05-21,251.25
2013-05-22,245.75
2013-05-23,228.5
2013-05-24,234.25
2013-05-27,231.75
2013-05-28,239.8
2013-05-29,230.5
2013-05-30,228.55
2013-05-31,217.25
2013-06-03,216.5
2013-06-04,218.4
2013-06-05,224.6
2013-06-06,220.85
2013-06-07,217.6
2013-06-10,215.55
2013-06-11,206.1
2013-06-12,210.05
2013-06-13,189.05
2013-06-14,170.15
2013-06-17,161.65
2013-06-18,153.6
2013-06-19,145.95
2013-06-20,138.7
2013-06-21,131.8
2013-06-24,125.25
2013-06-25,119.0
2013-06-26,113.05
2013-06-27,107.4
2013-06-28,102.05
2013-07-01,96.95
2013-07-02,92.15
2013-07-03,87.55
2013-07-04,83.2
2013-07-05,79.05
2013-07-08,75.1
2013-07-09,71.35
2013-07-10,67.8
2013-07-11,64.45
2013-07-12,61.25
2013-07-15,58.2
2013-07-16,55.3
2013-07-17,52.55
2013-07-18,50.0
2013-07-19,52.5
2013-07-22,55.1
2013-07-23,55.85
2013-07-24,53.1
2013-07-25,51.25
2013-07-26,48.7
2013-07-29,46.3
2013-07-30,44.0
2013-07-31,42.75
2013-08-01,40.65
2013-08-02,38.65
2013-08-05,40.55
2013-08-06,42.55
2013-08-07,44.65
2013-08-08,46.85
2013-08-12,49.15
2013-08-13,51.6
2013-08-14,52.2
2013-08-16,49.6
2013-08-19,47.15
2013-08-20,49.3
2013-08-21,46.85
2013-08-22,48.05
2013-08-23,47.65
2013-08-26,47.7
2013-08-27,46.2
2013-08-28,46.25
2013-08-29,45.8
2013-08-30,45.7
2013-09-02,46.15
2013-09-03,45.45
2013-09-04,45.7
2013-09-05,47.85
2013-09-06,52.6
2013-09-10,53.65
2013-09-11,54.3
2013-09-12,53.15
2013-09-13,53.65
2013-09-16,52.7
2013-09-17,51.3
2013-09-18,51.65
2013-09-19,51.2
2013-09-20,51.15
2013-09-23,51.3
2013-09-24,50.7
2013-09-25,50.2
2013-09-26,49.85
2013-09-27,50.0
2013-09-30,48.25
2013-10-01,48.2
2013-10-03,49.15
2013-10-04,48.85
2013-10-07,48.4
2013-10-08,49.8
