Date,MINDAIND
2013-01-01,221.95
2013-01-02,218.25
2013-01-03,216.2
2013-01-04,224.75
2013-01-07,223.95
2013-01-08,220.35
2013-01-09,220.5
2013-01-10,219.9
2013-01-11,216.15
2013-01-14,215.7
2013-01-15,218.3
2013-01-16,217.8
2013-01-17,215.6
2013-01-18,210.15
2013-01-21,216.55
2013-01-22,218.15
2013-01-23,213.65
2013-01-24,208.25
2013-01-25,211.85
2013-01-28,209.2
2013-01-29,208.7
2013-01-30,208.0
2013-01-31,208.6
2013-02-01,208.75
2013-02-04,205.7
2013-02-05,202.75
2013-02-06,202.0
2013-02-07,194.0
2013-02-08,189.85
2013-02-11,187.35
2013-02-12,193.5
2013-02-13,190.0
2013-02-14,188.2
2013-02-15,181.95
2013-02-18,183.45
2013-02-19,181.0
2013-02-20,186.8
2013-02-21,183.75
2013-02-22,179.25
2013-02-25,178.6
2013-02-26,180.7
2013-02-27,183.85
2013-02-28,173.2
2013-03-01,175.0
2013-03-04,173.25
2013-03-05,170.05
2013-03-06,171.6
2013-03-07,180.0
2013-03-08,176.75
2013-03-11,179.35
2013-03-12,168.3
2013-03-13,175.0
2013-03-14,172.25
2013-03-15,180.2
2013-03-18,172.35
2013-03-19,167.5
2013-03-20,166.25
2013-03-21,158.8
2013-03-22,156.25
2013-03-25,158.15
2013-03-26,148.35
2013-03-28,155.65
2013-04-01,160.2
2013-04-02,161.0
2013-04-03,155.35
2013-04-04,157.0
2013-04-05,158.05
2013-04-08,159.7
2013-04-09,150.0
2013-04-10,149.45
2013-04-11,155.0
2013-04-12,146.8
2013-04-15,142.65
2013-04-16,150.0
2013-04-17,153.75
2013-04-18,150.05
2013-04-22,151.55
2013-04-23,159.95
2013-04-25,153.2
2013-04-26,158.1
2013-04-29,163.75
2013-04-30,159.95
2013-05-02,159.9
2013-05-03,160.0
2013-05-06,158.95
2013-05-07,160.8
2013-05-08,159.1
2013-05-09,161.15
2013-05-10,164.15
2013-05-11,156.75
2013-05-13,162.4
2013-05-14,155.7
2013-05-15,154.1
2013-05-16,152.0
2013-05-17,163.85
2013-05-20,162.05
2013-05-21,161.05
2013-05-22,164.4
2013-05-23,154.25
2013-05-24,156.85
2013-05-27,158.85
2013-05-28,153.7
2013-05-29,158.05
2013-05-30,159.05
2013-05-31,162.85
2013-06-03,161.0
2013-06-04,161.2
2013-06-05,168.0
2013-06-06,175.0
2013-06-07,180.0
2013-06-10,181.0
2013-06-11,181.0
2013-06-12,175.0
2013-06-13,172.05
2013-06-14,171.0
2013-06-17,179.35
2013-06-19,181.75
2013-06-20,163.4
2013-06-21,163.0
2013-06-24,165.2
2013-06-25,155.8
2013-06-26,159.9
2013-06-27,154.65
2013-06-28,155.45
2013-07-01,158.55
2013-07-02,161.95
2013-07-03,153.35
2013-07-04,155.2
2013-07-05,155.0
2013-07-08,156.0
