Date,ENERGYDEV
2013-01-01,25.05
2013-01-02,25.8
2013-01-03,26.75
2013-01-04,26.35
2013-01-07,25.85
2013-01-08,24.95
2013-01-09,23.3
2013-01-10,23.75
2013-01-11,23.65
2013-01-14,23.05
2013-01-15,23.1
2013-01-16,24.0
2013-01-17,23.25
2013-01-18,23.7
2013-01-21,23.55
2013-01-22,23.1
2013-01-23,22.7
2013-01-24,22.15
2013-01-25,23.3
2013-01-28,23.15
2013-01-29,23.5
2013-01-30,22.9
2013-01-31,23.05
2013-02-01,22.95
2013-02-04,22.55
2013-02-05,22.35
2013-02-06,22.85
2013-02-07,22.1
2013-02-08,21.4
2013-02-11,21.9
2013-02-12,22.1
2013-02-13,22.1
2013-02-14,22.0
2013-02-15,21.7
2013-02-18,21.45
2013-02-19,21.85
2013-02-20,21.6
2013-02-21,22.1
2013-02-22,21.8
2013-02-25,21.65
2013-02-26,20.4
2013-02-27,20.1
2013-02-28,20.8
2013-03-01,20.25
2013-03-04,18.75
2013-03-05,18.7
2013-03-06,18.35
2013-03-07,18.4
2013-03-08,18.1
2013-03-11,17.85
2013-03-12,18.2
2013-03-13,17.95
2013-03-14,17.1
2013-03-15,18.8
2013-03-18,18.25
2013-03-19,18.3
2013-03-20,16.3
2013-03-21,15.7
2013-03-22,15.2
2013-03-25,14.8
2013-03-26,14.75
2013-03-28,14.85
2013-04-01,16.55
2013-04-02,16.8
2013-04-03,16.5
2013-04-04,17.45
2013-04-05,17.5
2013-04-08,17.75
2013-04-09,18.0
2013-04-10,18.0
2013-04-11,19.4
2013-06-14,16.0
2013-06-17,16.8
2013-06-18,17.6
2013-06-19,17.2
2013-06-20,18.0
2013-06-21,17.6
2013-06-24,17.0
2013-06-25,16.85
2013-06-26,16.05
2013-06-27,16.0
2013-06-28,15.35
2013-07-01,15.55
2013-07-02,15.0
2013-07-03,14.25
2013-07-04,13.75
2013-07-05,14.1
2013-07-11,14.0
2013-07-15,13.75
2013-07-16,12.75
2013-07-17,13.45
2013-07-18,13.1
2013-07-19,13.05
2013-07-22,13.5
2013-07-23,13.5
2013-07-25,13.5
2013-07-26,14.4
2013-07-29,13.35
2013-07-30,12.5
2013-08-01,12.45
2013-08-02,12.2
2013-08-06,11.0
2013-08-07,10.2
2013-08-08,10.35
2013-08-12,10.3
2013-08-13,10.15
2013-08-14,11.15
2013-08-16,11.8
2013-08-19,11.25
2013-08-20,11.05
2013-08-21,11.4
2013-08-23,10.95
2013-08-28,10.4
2013-08-30,10.35
2013-09-02,11.35
2013-09-03,11.3
2013-09-04,11.0
2013-09-05,10.75
2013-09-06,11.7
2013-09-10,11.9
2013-09-11,12.45
2013-09-12,12.45
2013-09-16,13.0
2013-09-17,13.05
2013-09-19,12.3
2013-09-20,13.15
2013-09-23,14.45
2013-09-24,15.8
2013-09-25,15.55
2013-09-26,15.2
2013-09-27,15.9
2013-09-30,16.4
2013-10-01,15.6
2013-10-03,14.85
2013-10-04,15.0
2013-10-07,15.7
2013-10-09,16.4
2013-10-10,15.6
2013-10-15,15.6
2013-10-17,16.0
2013-10-22,16.8
2013-10-23,16.0
2013-10-24,15.2
2013-10-25,15.85
2013-10-28,15.1
2013-10-29,14.35
2013-10-30,14.0
2013-10-31,13.3
2013-11-01,13.5
2013-11-03,14.15
2013-11-05,14.5
2013-11-06,14.5
2013-11-07,13.8
2013-11-08,14.45
2013-11-11,15.15
2013-11-12,15.05
2013-11-13,14.6
2013-11-14,15.25
2013-11-18,14.95
2013-11-19,15.25
2013-11-20,14.5
2013-11-21,13.85
2013-11-22,13.65
2013-11-25,13.6
2013-11-26,14.25
2013-11-27,14.9
2013-11-28,15.6
2013-11-29,15.05
2013-12-02,14.4
2013-12-03,14.25
2013-12-04,14.25
2013-12-05,13.85
2013-12-06,14.05
2013-12-09,13.4
2013-12-10,14.05
2013-12-11,14.75
2013-12-12,14.95
2013-12-13,15.0
2013-12-16,14.95
2013-12-18,14.65
2013-12-19,15.35
2013-12-20,14.95
2013-12-23,15.0
2013-12-24,15.0
2013-12-26,15.05
2013-12-27,15.75
2014-01-01,15.9
2014-01-02,15.95
2014-01-06,16.0
2014-01-07,16.45
2014-01-08,16.75
2014-01-10,16.05
2014-01-13,15.5
2014-01-14,15.05
2014-01-15,15.8
2014-01-16,16.55
2014-01-17,16.8
2014-01-20,17.6
2014-01-21,18.45
2014-01-22,18.45
2014-01-23,18.5
2014-01-24,17.9
2014-01-27,18.1
2014-01-28,17.5
2014-01-29,17.4
2014-01-30,17.6
2014-01-31,18.0
2014-02-03,17.1
2014-02-04,17.25
2014-02-05,16.4
2014-02-06,16.65
