Date,GESHIP
2013-01-01,266.5
2013-01-02,268.2
2013-01-03,271.9
2013-01-04,279.65
2013-01-07,278.45
2013-01-08,273.05
2013-01-09,273.0
2013-01-10,263.95
2013-01-11,257.2
2013-01-14,254.3
2013-01-15,265.15
2013-01-16,260.7
2013-01-17,258.2
2013-01-18,253.2
2013-01-21,248.7
2013-01-22,245.7
2013-01-23,243.85
2013-01-24,242.4
2013-01-25,245.35
2013-01-28,248.15
2013-01-29,245.2
2013-01-30,243.95
2013-01-31,244.85
2013-02-01,239.55
2013-02-04,242.45
2013-02-05,232.85
2013-02-06,239.75
2013-02-07,240.0
2013-02-08,248.2
2013-02-11,245.5
2013-02-12,246.05
2013-02-13,245.45
2013-02-14,239.85
2013-02-15,256.05
2013-02-18,246.15
2013-02-19,242.9
2013-02-20,242.35
2013-02-21,240.2
2013-02-22,237.85
2013-02-25,239.45
2013-02-26,234.3
2013-02-27,236.55
2013-02-28,237.2
2013-03-01,233.6
2013-03-04,233.6
2013-03-05,229.1
2013-03-06,237.8
2013-03-07,238.8
2013-03-08,238.75
2013-03-11,240.3
2013-03-12,237.2
2013-03-13,236.85
2013-03-14,229.55
2013-03-15,231.95
2013-03-18,231.25
2013-03-19,230.1
2013-03-20,229.45
2013-03-21,229.8
2013-03-22,230.5
2013-03-25,230.0
2013-03-26,230.3
2013-03-28,230.1
2013-04-01,224.55
2013-04-02,234.6
2013-04-03,232.75
2013-04-04,230.05
2013-04-05,229.75
2013-04-08,229.85
2013-04-09,232.8
2013-04-10,227.25
2013-04-11,226.25
2013-04-12,223.85
2013-04-15,217.45
2013-04-16,218.6
2013-04-17,212.15
2013-04-18,207.75
2013-04-22,214.6
2013-04-23,209.2
2013-04-25,208.9
2013-04-26,210.55
2013-04-29,215.85
2013-04-30,217.1
2013-05-02,221.1
2013-05-03,227.6
2013-05-06,232.2
2013-05-07,230.8
2013-05-08,230.95
2013-05-09,235.85
2013-05-10,239.3
2013-05-11,240.1
2013-05-13,240.1
2013-05-14,242.1
2013-05-15,243.0
2013-05-16,243.05
2013-05-17,244.35
2013-05-20,247.05
2013-05-21,243.05
2013-05-22,242.6
2013-05-23,241.6
2013-05-24,242.55
2013-05-27,243.85
2013-05-28,246.0
2013-05-29,251.75
2013-05-30,246.6
2013-05-31,245.2
2013-06-03,251.6
2013-06-04,244.7
2013-06-05,244.3
2013-06-06,242.2
2013-06-07,239.15
2013-06-10,240.65
2013-06-11,237.4
2013-06-12,231.35
2013-06-13,231.85
2013-06-14,227.3
2013-06-17,227.5
2013-06-18,220.75
2013-06-19,224.25
2013-06-20,226.05
2013-06-21,219.65
2013-06-24,201.6
