Date,EDELWEISS
2013-01-01,35.75
2013-01-02,36.95
2013-01-03,37.5
2013-01-04,36.9
2013-01-07,36.9
2013-01-08,36.55
2013-01-09,35.4
2013-01-10,35.1
2013-01-11,34.55
2013-01-14,34.65
2013-01-15,37.1
2013-01-16,35.55
2013-01-17,36.0
2013-01-18,35.5
2013-01-21,35.2
2013-01-22,35.3
2013-01-23,35.0
2013-01-24,34.05
2013-01-25,34.8
2013-01-28,34.55
2013-01-29,34.0
2013-01-30,33.7
2013-01-31,33.3
2013-02-01,33.15
2013-02-04,33.0
2013-02-05,33.3
2013-02-06,33.15
2013-02-07,33.25
2013-02-08,33.7
2013-02-11,33.85
2013-02-12,33.2
2013-02-13,32.95
2013-02-14,33.85
2013-02-15,32.6
2013-02-18,32.75
2013-02-19,32.05
2013-02-20,32.35
2013-02-21,33.15
2013-02-22,32.25
2013-02-25,32.4
2013-02-26,30.2
2013-02-27,32.05
2013-02-28,31.35
2013-03-01,32.05
2013-03-04,32.45
2013-03-05,31.65
2013-03-06,32.95
2013-03-07,32.2
2013-03-08,32.5
2013-03-11,31.95
2013-03-12,32.4
2013-03-13,31.5
2013-03-14,31.4
2013-03-15,31.85
2013-03-18,31.05
2013-03-19,31.5
2013-03-20,31.0
2013-03-21,29.95
2013-03-22,30.0
2013-03-25,30.0
2013-03-26,30.0
2013-03-28,30.85
2013-04-01,31.0
2013-04-02,31.2
2013-04-03,30.7
2013-04-04,30.2
2013-04-05,30.25
2013-04-08,30.25
2013-04-09,29.95
2013-04-10,30.35
2013-04-11,30.45
2013-04-12,30.2
2013-04-15,30.0
2013-04-16,30.05
2013-04-17,30.0
2013-04-18,30.0
2013-04-22,30.05
2013-04-23,30.0
2013-04-25,30.0
2013-04-26,30.0
2013-04-29,30.9
2013-04-30,30.05
2013-05-02,30.0
2013-05-03,29.65
2013-05-06,30.0
2013-05-07,29.5
2013-05-08,30.0
2013-05-09,30.5
2013-05-10,30.15
2013-05-11,31.55
2013-05-13,31.55
2013-05-14,30.7
2013-05-15,31.55
2013-05-16,32.85
2013-05-17,32.8
2013-05-20,32.15
2013-05-21,31.95
2013-05-22,31.9
2013-05-23,30.95
2013-05-24,31.75
2013-05-27,33.2
