Date,HARITASEAT
2013-01-01,106.0
2013-01-02,102.7
2013-01-03,104.75
2013-01-04,105.8
2013-01-07,103.2
2013-01-08,104.3
2013-01-09,105.0
2013-01-10,103.45
2013-01-11,104.6
2013-01-14,102.0
2013-01-15,103.0
2013-01-16,101.35
2013-01-17,104.95
2013-01-18,104.95
2013-01-21,104.3
2013-01-22,102.75
2013-01-23,101.2
2013-01-24,101.1
2013-01-28,102.0
2013-01-29,103.7
2013-01-30,105.0
2013-01-31,104.9
2013-02-01,99.95
2013-02-04,99.95
2013-02-05,96.1
2013-02-06,100.05
2013-02-07,103.0
2013-02-11,97.65
2013-02-12,101.95
2013-02-13,97.45
2013-02-14,96.4
2013-02-15,99.75
2013-02-18,95.3
2013-02-19,92.5
2013-02-25,94.3
2013-02-26,90.15
2013-02-28,95.0
2013-03-04,89.35
2013-03-05,94.95
2013-03-06,95.0
2013-03-11,87.55
2013-03-12,87.0
2013-03-14,86.75
2013-03-15,94.85
2013-03-18,86.5
2013-03-19,82.0
2013-03-22,76.55
2013-03-25,76.05
2013-03-26,77.25
2013-03-28,75.5
2013-04-01,74.5
2013-04-02,74.5
2013-04-03,87.25
2013-04-04,82.25
2013-04-05,76.2
2013-04-08,74.5
2013-04-16,75.5
2013-04-18,76.0
2013-04-26,80.0
2013-04-29,65.5
2013-05-02,74.0
2013-05-07,78.0
2013-05-16,74.5
2013-05-17,75.45
2013-05-21,75.5
2013-05-22,77.95
2013-05-23,79.0
2013-05-27,79.0
2013-05-29,80.55
2013-05-30,80.0
2013-05-31,79.5
2013-06-12,78.5
2013-06-14,84.5
2013-06-19,76.2
2013-06-24,84.5
2013-06-26,80.0
2013-07-01,80.0
2013-08-19,84.0
2013-09-02,86.8
2013-09-04,87.25
2013-09-05,84.1
2013-09-18,87.25
2013-09-19,87.0
2013-09-23,87.0
2013-10-03,82.65
2013-10-08,78.55
2013-10-09,74.65
2013-10-11,74.65
2013-10-21,75.0
2013-10-28,75.0
2013-10-29,75.0
2013-10-30,75.0
2013-10-31,75.0
2013-11-08,78.5
2013-11-11,75.0
2013-11-19,75.0
2013-11-20,71.25
2013-11-21,74.0
2013-11-22,76.95
2013-11-26,80.0
2013-11-27,76.0
2013-11-29,72.2
2013-12-05,74.0
2013-12-12,73.5
2013-12-13,75.0
2013-12-16,75.0
2013-12-17,78.75
2013-12-18,81.0
2013-12-23,77.0
2013-12-30,76.5
2013-12-31,73.1
2014-01-01,71.5
2014-01-02,75.0
2014-01-06,78.75
2014-01-09,82.5
2014-01-13,78.4
2014-01-14,82.0
2014-01-15,79.0
2014-01-16,75.1
2014-01-17,75.0
2014-01-20,78.7
2014-01-21,75.0
2014-01-22,75.05
2014-01-23,78.7
2014-01-24,76.05
2014-02-03,72.5
2014-02-04,72.0
2014-02-06,69.2
2014-02-07,72.65
2014-02-11,76.15
2014-02-12,77.5
2014-02-18,74.25
2014-02-19,76.85
